key,0,1
#,,
int32,str,str
0,"TEXT_KINGZF003_05151_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Quest Sync<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
The electrope enthusiast is scrutinizing the machinery."
1,"TEXT_KINGZF003_05151_SEQ_01",""
2,"TEXT_KINGZF003_05151_SEQ_02",""
3,"TEXT_KINGZF003_05151_SEQ_03",""
4,"TEXT_KINGZF003_05151_SEQ_04",""
5,"TEXT_KINGZF003_05151_SEQ_05",""
6,"TEXT_KINGZF003_05151_SEQ_06",""
7,"TEXT_KINGZF003_05151_SEQ_07",""
8,"TEXT_KINGZF003_05151_SEQ_08",""
9,"TEXT_KINGZF003_05151_SEQ_09",""
10,"TEXT_KINGZF003_05151_SEQ_10",""
11,"TEXT_KINGZF003_05151_SEQ_11",""
12,"TEXT_KINGZF003_05151_SEQ_12",""
13,"TEXT_KINGZF003_05151_SEQ_13",""
14,"TEXT_KINGZF003_05151_SEQ_14",""
15,"TEXT_KINGZF003_05151_SEQ_15",""
16,"TEXT_KINGZF003_05151_SEQ_16",""
17,"TEXT_KINGZF003_05151_SEQ_17",""
18,"TEXT_KINGZF003_05151_SEQ_18",""
19,"TEXT_KINGZF003_05151_SEQ_19",""
20,"TEXT_KINGZF003_05151_SEQ_20",""
21,"TEXT_KINGZF003_05151_SEQ_21",""
22,"TEXT_KINGZF003_05151_SEQ_22",""
23,"TEXT_KINGZF003_05151_SEQ_23",""
24,"TEXT_KINGZF003_05151_TODO_00","Speak with the electrope enthusiast and have him accompany you."
25,"TEXT_KINGZF003_05151_TODO_01","Accompany the electrope enthusiast to the power converter and then speak with him."
26,"TEXT_KINGZF003_05151_TODO_02","Accompany the electrope enthusiast to the partitioned water tank and then speak with him."
27,"TEXT_KINGZF003_05151_TODO_03","Accompany the electrope enthusiast to the control tower and then speak with him."
28,"TEXT_KINGZF003_05151_TODO_04","Speak with the electrope enthusiast once more."
29,"TEXT_KINGZF003_05151_TODO_05",""
30,"TEXT_KINGZF003_05151_TODO_06",""
31,"TEXT_KINGZF003_05151_TODO_07",""
32,"TEXT_KINGZF003_05151_TODO_08",""
33,"TEXT_KINGZF003_05151_TODO_09",""
34,"TEXT_KINGZF003_05151_TODO_10",""
