0,"TEXT_GAIUSB809_00918_SEQ_00","When a merchant is wroth, there is usually coin to be made in solving a problem\xe2\x94\x80and Edwyn is looking very wroth indeed."
1,"TEXT_GAIUSB809_00918_SEQ_01","An order of ceruleum has yet to arrive from Ul'dah, and Edwyn is furious at the supplier. Go to the markets of the Sapphire Avenue Exchange, find Syntgoht, and /doubt his words, and he may spill the truth."
2,"TEXT_GAIUSB809_00918_SEQ_02","Under the weight of your skepticism, Syntgoht admits that there is a problem with the ceruleum shipment, and hints that he is as much a victim as Edwyn. His waffling will not do much to ease Edwyn's mistrust of Ul'dahns, you fear."
3,"TEXT_GAIUSB809_00918_SEQ_03","dummy"
4,"TEXT_GAIUSB809_00918_SEQ_04","dummy"
5,"TEXT_GAIUSB809_00918_SEQ_05","dummy"
6,"TEXT_GAIUSB809_00918_SEQ_06","dummy"
7,"TEXT_GAIUSB809_00918_SEQ_07","dummy"
8,"TEXT_GAIUSB809_00918_SEQ_08","dummy"
9,"TEXT_GAIUSB809_00918_SEQ_09","dummy"
10,"TEXT_GAIUSB809_00918_SEQ_10","dummy"
11,"TEXT_GAIUSB809_00918_SEQ_11","dummy"
12,"TEXT_GAIUSB809_00918_SEQ_12","dummy"
13,"TEXT_GAIUSB809_00918_SEQ_13","dummy"
14,"TEXT_GAIUSB809_00918_SEQ_14","dummy"
15,"TEXT_GAIUSB809_00918_SEQ_15","dummy"
16,"TEXT_GAIUSB809_00918_SEQ_16","dummy"
17,"TEXT_GAIUSB809_00918_SEQ_17","dummy"
18,"TEXT_GAIUSB809_00918_SEQ_18","dummy"
19,"TEXT_GAIUSB809_00918_SEQ_19","dummy"
20,"TEXT_GAIUSB809_00918_SEQ_20","dummy"
21,"TEXT_GAIUSB809_00918_SEQ_21","dummy"
22,"TEXT_GAIUSB809_00918_SEQ_22","dummy"
23,"TEXT_GAIUSB809_00918_SEQ_23","dummy"
24,"TEXT_GAIUSB809_00918_TODO_00","Question Syntgoht with much /doubt."
25,"TEXT_GAIUSB809_00918_TODO_01","dummy"
26,"TEXT_GAIUSB809_00918_TODO_02","dummy"
27,"TEXT_GAIUSB809_00918_TODO_03","dummy"
28,"TEXT_GAIUSB809_00918_TODO_04","dummy"
29,"TEXT_GAIUSB809_00918_TODO_05","dummy"
30,"TEXT_GAIUSB809_00918_TODO_06","dummy"
31,"TEXT_GAIUSB809_00918_TODO_07","dummy"
32,"TEXT_GAIUSB809_00918_TODO_08","dummy"
33,"TEXT_GAIUSB809_00918_TODO_09","dummy"
34,"TEXT_GAIUSB809_00918_TODO_10","dummy"
35,"TEXT_GAIUSB809_00918_TODO_11","dummy"
36,"TEXT_GAIUSB809_00918_TODO_12","dummy"
37,"TEXT_GAIUSB809_00918_TODO_13","dummy"
38,"TEXT_GAIUSB809_00918_TODO_14","dummy"
39,"TEXT_GAIUSB809_00918_TODO_15","dummy"
40,"TEXT_GAIUSB809_00918_TODO_16","dummy"
41,"TEXT_GAIUSB809_00918_TODO_17","dummy"
42,"TEXT_GAIUSB809_00918_TODO_18","dummy"
43,"TEXT_GAIUSB809_00918_TODO_19","dummy"
44,"TEXT_GAIUSB809_00918_TODO_20","dummy"
45,"TEXT_GAIUSB809_00918_TODO_21","dummy"
46,"TEXT_GAIUSB809_00918_TODO_22","dummy"
47,"TEXT_GAIUSB809_00918_TODO_23","dummy"
48,"TEXT_GAIUSB809_00918_EDWYN_000_000","Hey, you! No time for niceties, I'm waiting on ceruleum. That Ul'dahn cutpurse what calls himself a trader is late with his shipment!"
49,"TEXT_GAIUSB809_00918_EDWYN_000_001","Ceruleum burns like an alewife in winter, and there's no going without it to make the firesand for the ballistas. Curse that Syntgoht... What does he think we're fighting here, ladybugs?"
50,"TEXT_GAIUSB809_00918_EDWYN_000_002","You look like you'd enjoy a spot of heat! Find out where my ceruleum order is\xe2\x94\x80go to Syntgoht and, you know, lean on him a little. Question him, like."
51,"TEXT_GAIUSB809_00918_EDWYN_000_003","I tell you, those Ul'dahns\xe2\x94\x80\x02\t\xc2\xe9G\xff2keen on being paid, not keen on doing their work!\xff2keen on being paid, not keen on doing their work!\xffXkeen on being paid, not keen on doing their work...present company excluded, of course!\x03 Can't trust 'em, especially that lot on the Sapphire Avenue Exchange!"
52,"TEXT_GAIUSB809_00918_SYNTGOHT_000_010","Welcome, \x02\x1a\x02\x02\x03welcome\x02\x1a\x02\x01\x03! What might a discerning\xe2\x94\x80 Oh, not here to buy? Then might I suggest you browse quietly? I am quite busy."
53,"TEXT_GAIUSB809_00918_SYNTGOHT_000_020","From Edwyn in Coerthas? Oh dear. My friend\xe2\x94\x80may I call you that? Oh, well then, \x02,\r\xff\x07\x02)\x03\xeb\x02\x03\xff\x02 \x02\x03, there's a problem with the ceruleum and if you think Edwyn is vexed, you have no idea how difficult this is for \x02\x1a\x02\x02\x03me\x02\x1a\x02\x01\x03."
54,"TEXT_GAIUSB809_00918_SYNTGOHT_000_030","Listen, friend, there are only two wares for you here: a \x02\x1a\x02\x02\x03bargain\x02\x1a\x02\x01\x03, or \x02\x1a\x02\x02\x03begone\x02\x1a\x02\x01\x03! I'm in the midst of inventorying and have no time for your giddy-goat!"
