0,"TEXT_GAIUSC012_00949_SEQ_00","Ourdilic is seeking aid for a rescue attempt."
1,"TEXT_GAIUSC012_00949_SEQ_01","One of the researchers at Snowcloak has not yet returned from collecting ice samples, and he has a reputation for attracting ice sprites. Ourdilic bids you find the hapless man, and if necessary, rescue him from attackers."
2,"TEXT_GAIUSC012_00949_SEQ_02","Ourdilic proves to be impressively correct in her surmise, for you come across the whey-faced researcher cringing from the ice sprite. Now that you have slain the sprite and extricated yourself from the researcher's fawning attentions, you must make your report to Ourdilic."
3,"TEXT_GAIUSC012_00949_SEQ_03","Ourdilic has a spot of good news for you as well; she has nipped in the bud the researcher's hopes for a \x02\x08\x16\xe9\x05\xff\x08romance\xff\tbromance\x03. A happy ending for everyone\xe2\x94\x80except the ice sprite, of course."
4,"TEXT_GAIUSC012_00949_SEQ_04","dummy"
5,"TEXT_GAIUSC012_00949_SEQ_05","dummy"
6,"TEXT_GAIUSC012_00949_SEQ_06","dummy"
7,"TEXT_GAIUSC012_00949_SEQ_07","dummy"
8,"TEXT_GAIUSC012_00949_SEQ_08","dummy"
9,"TEXT_GAIUSC012_00949_SEQ_09","dummy"
10,"TEXT_GAIUSC012_00949_SEQ_10","dummy"
11,"TEXT_GAIUSC012_00949_SEQ_11","dummy"
12,"TEXT_GAIUSC012_00949_SEQ_12","dummy"
13,"TEXT_GAIUSC012_00949_SEQ_13","dummy"
14,"TEXT_GAIUSC012_00949_SEQ_14","dummy"
15,"TEXT_GAIUSC012_00949_SEQ_15","dummy"
16,"TEXT_GAIUSC012_00949_SEQ_16","dummy"
17,"TEXT_GAIUSC012_00949_SEQ_17","dummy"
18,"TEXT_GAIUSC012_00949_SEQ_18","dummy"
19,"TEXT_GAIUSC012_00949_SEQ_19","dummy"
20,"TEXT_GAIUSC012_00949_SEQ_20","dummy"
21,"TEXT_GAIUSC012_00949_SEQ_21","dummy"
22,"TEXT_GAIUSC012_00949_SEQ_22","dummy"
23,"TEXT_GAIUSC012_00949_SEQ_23","dummy"
24,"TEXT_GAIUSC012_00949_TODO_00","Rescue the researcher."
25,"TEXT_GAIUSC012_00949_TODO_01","Report to Ourdilic."
26,"TEXT_GAIUSC012_00949_TODO_02","dummy"
27,"TEXT_GAIUSC012_00949_TODO_03","dummy"
28,"TEXT_GAIUSC012_00949_TODO_04","dummy"
29,"TEXT_GAIUSC012_00949_TODO_05","dummy"
30,"TEXT_GAIUSC012_00949_TODO_06","dummy"
31,"TEXT_GAIUSC012_00949_TODO_07","dummy"
32,"TEXT_GAIUSC012_00949_TODO_08","dummy"
33,"TEXT_GAIUSC012_00949_TODO_09","dummy"
34,"TEXT_GAIUSC012_00949_TODO_10","dummy"
35,"TEXT_GAIUSC012_00949_TODO_11","dummy"
36,"TEXT_GAIUSC012_00949_TODO_12","dummy"
37,"TEXT_GAIUSC012_00949_TODO_13","dummy"
38,"TEXT_GAIUSC012_00949_TODO_14","dummy"
39,"TEXT_GAIUSC012_00949_TODO_15","dummy"
40,"TEXT_GAIUSC012_00949_TODO_16","dummy"
41,"TEXT_GAIUSC012_00949_TODO_17","dummy"
42,"TEXT_GAIUSC012_00949_TODO_18","dummy"
43,"TEXT_GAIUSC012_00949_TODO_19","dummy"
44,"TEXT_GAIUSC012_00949_TODO_20","dummy"
45,"TEXT_GAIUSC012_00949_TODO_21","dummy"
46,"TEXT_GAIUSC012_00949_TODO_22","dummy"
47,"TEXT_GAIUSC012_00949_TODO_23","dummy"
48,"TEXT_GAIUSC012_00949_OURDILIC_000_000","Never has the course of research run smooth at Snowcloak. We are bedeviled by ice sprites, for one."
49,"TEXT_GAIUSC012_00949_OURDILIC_000_001","I suspect the sprites are to blame for our latest problem\xe2\x94\x80a researcher on a sample-drilling duty is late returning to camp."
50,"TEXT_GAIUSC012_00949_OURDILIC_000_002","The sprites delight in tormenting some more than others, and, well, he's just one of those fellows. Will you rush to his rescue?"
51,"TEXT_GAIUSC012_00949_NPCA_000_010","You \x02\x1a\x02\x02\x03saved\x02\x1a\x02\x01\x03 me! \x02\x08:\xe9\x05\xff\x1eI think I'm in love with you!\xff\x17You're my best friend!\x03 Let us return to the camp together\xe2\x94\x80oh, you have something dangerous to do first? Um, all right. I'll just...see you later!"
52,"TEXT_GAIUSC012_00949_NPCB_000_020","dummy"
53,"TEXT_GAIUSC012_00949_OURDILIC_000_030","Welcome back, \x02,\r\xff\x07\x02)\x03\xeb\x02\x03\xff\x02 \x02\x03. I just spoke with that whey-face. I made certain he understands you are a busy \x02\x08\x0f\xe9\x05\xff\x06woman\xff\x04man\x03, also."
54,"TEXT_GAIUSC012_00949_OURDILIC_000_031","Thanks to you, we too can busy ourselves with our mission! There will still be much hardship, but with your help, we \x02\x1a\x02\x02\x03shall\x02\x1a\x02\x01\x03 find a way through the ice wall!"
55,"TEXT_GAIUSC012_00949_POP_MESSAGE_000","You sense a sudden chill in the air!"
56,"TEXT_GAIUSC012_00949_ACCESS_MESSAGE","The sprite still lives!"
