key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNA611_01660_SEQ_00","マトーヤの洞窟のマトーヤは、言いたいことがあるようだ。"
1,"TEXT_HEAVNA611_01660_SEQ_01","マトーヤから、エーテル収束器の話を聞いた。エーテル収束器に関する論文が、グブラ幻想図書館に封印されているそうだ。マトーヤの洞窟の「マトーヤ」と話そう。"
2,"TEXT_HEAVNA611_01660_SEQ_02","マトーヤから話を聞いた。グブラ幻想図書館の扉を、彼女の使い魔が開けてくれるという。マトーヤの洞窟の「魔法仕掛けのホウキ」と話そう。"
3,"TEXT_HEAVNA611_01660_SEQ_03","魔法仕掛けのホウキと話した。グブラ幻想図書館は、マトーヤの洞窟の東にあるそうだ。低地ドラヴァニアのグブラ幻想図書館付近にいる「魔法仕掛けのホウキ」と話そう。"
4,"TEXT_HEAVNA611_01660_SEQ_04","魔法仕掛けのホウキが、グブラ幻想図書館の扉を開いてくれた。「禁書回収 グブラ幻想図書館」を攻略しよう。

※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。
※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。"
5,"TEXT_HEAVNA611_01660_SEQ_05","「禁書回収 グブラ幻想図書館」を攻略した。低地ドラヴァニアに戻ろう。"
6,"TEXT_HEAVNA611_01660_SEQ_06","グブラ幻想図書館の守護者を倒したところ、水属性の光のクリスタルが輝きを取り戻した。その直後、冒険者はエーテル収束器について書かれた論文と思しき書物を発見した。マトーヤの洞窟のマトーヤに「<Sheet(EventItem,2001575,0)/>」を渡そう。"
7,"TEXT_HEAVNA611_01660_SEQ_07","<Sheet(EventItem,2001575,0)/>を、マトーヤに渡した。さっそく、論文を確認してみよう。"
8,"TEXT_HEAVNA611_01660_SEQ_08",""
9,"TEXT_HEAVNA611_01660_SEQ_09",""
10,"TEXT_HEAVNA611_01660_SEQ_10",""
11,"TEXT_HEAVNA611_01660_SEQ_11",""
12,"TEXT_HEAVNA611_01660_SEQ_12",""
13,"TEXT_HEAVNA611_01660_SEQ_13",""
14,"TEXT_HEAVNA611_01660_SEQ_14",""
15,"TEXT_HEAVNA611_01660_SEQ_15",""
16,"TEXT_HEAVNA611_01660_SEQ_16",""
