key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSE106_01180_SEQ_00","Minfilia a quelque chose pour vous."
1,"TEXT_GAIUSE106_01180_SEQ_01","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/>Cette quête a subi des mo<SoftHyphen/>di<SoftHyphen/>fi<SoftHyphen/>ca<SoftHyphen/>tions depuis que vous l'avez acceptée. Abandonnez-la et parlez à Minfilia au Refuge des sables afin de la recommencer.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

* Le guide de l'épopée vous indique votre prochaine quête. Il peut être affiché ou masqué à partir du menu Configuration personnage, rubrique Interface et fenêtres."
2,"TEXT_GAIUSE106_01180_SEQ_02","Vous avez donné l'enveloppe à Slafborn comme convenu. Le Roegadyn semble avoir du travail à vous confier, alors essayez de lui consacrer un peu de votre temps."
3,"TEXT_GAIUSE106_01180_SEQ_03",""
4,"TEXT_GAIUSE106_01180_SEQ_04",""
5,"TEXT_GAIUSE106_01180_SEQ_05",""
6,"TEXT_GAIUSE106_01180_SEQ_06",""
7,"TEXT_GAIUSE106_01180_SEQ_07",""
8,"TEXT_GAIUSE106_01180_SEQ_08",""
9,"TEXT_GAIUSE106_01180_SEQ_09",""
10,"TEXT_GAIUSE106_01180_SEQ_10",""
11,"TEXT_GAIUSE106_01180_SEQ_11",""
12,"TEXT_GAIUSE106_01180_SEQ_12",""
13,"TEXT_GAIUSE106_01180_SEQ_13",""
14,"TEXT_GAIUSE106_01180_SEQ_14",""
15,"TEXT_GAIUSE106_01180_SEQ_15",""
16,"TEXT_GAIUSE106_01180_SEQ_16",""
17,"TEXT_GAIUSE106_01180_SEQ_17",""
18,"TEXT_GAIUSE106_01180_SEQ_18",""
19,"TEXT_GAIUSE106_01180_SEQ_19",""
20,"TEXT_GAIUSE106_01180_SEQ_20",""
21,"TEXT_GAIUSE106_01180_SEQ_21",""
22,"TEXT_GAIUSE106_01180_SEQ_22",""
23,"TEXT_GAIUSE106_01180_SEQ_23",""
24,"TEXT_GAIUSE106_01180_TODO_00","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/>Cette quête a subi des mo<SoftHyphen/>di<SoftHyphen/>fi<SoftHyphen/>ca<SoftHyphen/>tions depuis que vous l'avez acceptée. Abandonnez-la et parlez à Minfilia au Refuge des sables afin de la recommencer.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
25,"TEXT_GAIUSE106_01180_TODO_01",""
26,"TEXT_GAIUSE106_01180_TODO_02",""
27,"TEXT_GAIUSE106_01180_TODO_03",""
28,"TEXT_GAIUSE106_01180_TODO_04",""
29,"TEXT_GAIUSE106_01180_TODO_05",""
30,"TEXT_GAIUSE106_01180_TODO_06",""
31,"TEXT_GAIUSE106_01180_TODO_07",""
32,"TEXT_GAIUSE106_01180_TODO_08",""
33,"TEXT_GAIUSE106_01180_TODO_09",""
34,"TEXT_GAIUSE106_01180_TODO_10",""
35,"TEXT_GAIUSE106_01180_TODO_11",""
36,"TEXT_GAIUSE106_01180_TODO_12",""
37,"TEXT_GAIUSE106_01180_TODO_13",""
38,"TEXT_GAIUSE106_01180_TODO_14",""
39,"TEXT_GAIUSE106_01180_TODO_15",""
40,"TEXT_GAIUSE106_01180_TODO_16",""
41,"TEXT_GAIUSE106_01180_TODO_17",""
42,"TEXT_GAIUSE106_01180_TODO_18",""
43,"TEXT_GAIUSE106_01180_TODO_19",""
44,"TEXT_GAIUSE106_01180_TODO_20",""
45,"TEXT_GAIUSE106_01180_TODO_21",""
46,"TEXT_GAIUSE106_01180_TODO_22",""
47,"TEXT_GAIUSE106_01180_TODO_23",""
48,"TEXT_GAIUSE106_01180_MINFILIA_000_000","Alphinaud m'a donné un tas de papiers à vérifier et à signer. Figure-toi qu'il avait tout préparé à l'avance pour que l'opération de relocalisation se déroule dans les meilleures conditions. Vraiment, ce garçon m'épate chaque jour un peu plus<Indent/>!"
49,"TEXT_GAIUSE106_01180_MINFILIA_000_001","Bref, pendant que les autres et moi nous occupons des formalités administratives, j'aimerais que tu portes cette enveloppe au Glas des revenants."
50,"TEXT_GAIUSE106_01180_MINFILIA_000_002","Elle contient des documents très importants sur le projet d'installation du quartier général des Héritiers, aussi tâche de ne pas la perdre en cours de route. Remets-la à Slafborn en arrivant, il saura quoi en faire. Bon voyage, et à bientôt<Indent/>!"
51,"TEXT_GAIUSE106_01180_SLAFBORN_000_010","Salut, <If(PlayerParameter(4))>ma jolie<Else/>mon brave</If>. Qu'est-ce qui t'am... Oh, mais j'te reconnais, toi. Ça fait un bail, dis donc<Indent/>! Alors, quoi de neuf depuis l'temps<Indent/>?"
52,"TEXT_GAIUSE106_01180_SLAFBORN_000_011","Ah, c'est donc toi l'émissaire des Héritiers<Indent/>! Et moi qui espérais enfin rencontrer la jolie Tataru... Bah, tant pis<Indent/>! En tout cas, merci pour la lettre. Avec ces plans, on va pouvoir attaquer les travaux d'aménagement du camp."
53,"TEXT_GAIUSE106_01180_SLAFBORN_000_012","C'est un gros chantier et, parti comme c'est parti, j'suis sûr que ça sera un gros merdier. Si t'as envie de te rendre utile, hésite pas à m'demander, j'ai du boulot pour un<If(PlayerParameter(4))>e aventurière<Else/> aventurier</If> de ta trempe."
