key,0,1
#,,
int32,str,str
0,"TEXT_BANSYL004_01255_SEQ_00","Olmxio has had it up to here with Voyce's utter incompetence."
1,"TEXT_BANSYL004_01255_SEQ_01","Olmxio, unable to bear Voyce's utter uselessness, sought to entrust the hapless scholar with various menial tasks, only to watch him fail in spectacular fashion. Olmxio now suspects Voyce is slacking from his latest task, that of leaf collecting. Seek out Nathaxio, who awaits the scholar's harvest."
2,"TEXT_BANSYL004_01255_SEQ_02","Nathaxio suspects that the spell of transparency he cast upon Voyce has worn off, and that the scholar is too fearful to return. Seek out the hapless man by the entrance to the Sylphlands."
3,"TEXT_BANSYL004_01255_SEQ_03","You find Voyce a bit shaken up, but otherwise no worse for the wear. Return to Olmxio and inform him that the scholar is safe."
4,"TEXT_BANSYL004_01255_SEQ_04","Olmxio is perplexed by your presence, saying that you just spoke with him a moment ago en route to check on the Chosen One's cradle. Fearing the worst, he insists that you speak with Elder Frixio immediately."
5,"TEXT_BANSYL004_01255_SEQ_05","That which was most feared has come true, as the disguised Diluxio and his lackeys have made off with the Chosen One, whose powers they intend to use to exact revenge on all perceived enemies of sylphkind. Return to Olmxio and report on the grievous state of affairs."
6,"TEXT_BANSYL004_01255_SEQ_06","Olmxio is devastated at the news, yet resolves to find a way to retrieve the Chosen One's podling from the clutches of the touched ones. Remain in Little Solace and lend the sylphs what aid you can."
7,"TEXT_BANSYL004_01255_SEQ_07",""
8,"TEXT_BANSYL004_01255_SEQ_08",""
9,"TEXT_BANSYL004_01255_SEQ_09",""
10,"TEXT_BANSYL004_01255_SEQ_10",""
11,"TEXT_BANSYL004_01255_SEQ_11",""
12,"TEXT_BANSYL004_01255_SEQ_12",""
13,"TEXT_BANSYL004_01255_SEQ_13",""
14,"TEXT_BANSYL004_01255_SEQ_14",""
15,"TEXT_BANSYL004_01255_SEQ_15",""
16,"TEXT_BANSYL004_01255_SEQ_16",""
17,"TEXT_BANSYL004_01255_SEQ_17",""
18,"TEXT_BANSYL004_01255_SEQ_18",""
19,"TEXT_BANSYL004_01255_SEQ_19",""
20,"TEXT_BANSYL004_01255_SEQ_20",""
21,"TEXT_BANSYL004_01255_SEQ_21",""
22,"TEXT_BANSYL004_01255_SEQ_22",""
23,"TEXT_BANSYL004_01255_SEQ_23",""
