key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMA304_03294_SEQ_00","Tesleen macht sich zum Aufbruch aus Mordh Souq bereit."
1,"TEXT_LUCKMA304_03294_SEQ_01",""
2,"TEXT_LUCKMA304_03294_SEQ_02",""
3,"TEXT_LUCKMA304_03294_SEQ_03",""
4,"TEXT_LUCKMA304_03294_SEQ_04",""
5,"TEXT_LUCKMA304_03294_SEQ_05",""
6,"TEXT_LUCKMA304_03294_SEQ_06",""
7,"TEXT_LUCKMA304_03294_SEQ_07",""
8,"TEXT_LUCKMA304_03294_SEQ_08",""
9,"TEXT_LUCKMA304_03294_SEQ_09",""
10,"TEXT_LUCKMA304_03294_SEQ_10",""
11,"TEXT_LUCKMA304_03294_SEQ_11",""
12,"TEXT_LUCKMA304_03294_SEQ_12",""
13,"TEXT_LUCKMA304_03294_SEQ_13",""
14,"TEXT_LUCKMA304_03294_SEQ_14",""
15,"TEXT_LUCKMA304_03294_SEQ_15",""
16,"TEXT_LUCKMA304_03294_SEQ_16",""
17,"TEXT_LUCKMA304_03294_SEQ_17",""
18,"TEXT_LUCKMA304_03294_SEQ_18",""
19,"TEXT_LUCKMA304_03294_SEQ_19",""
20,"TEXT_LUCKMA304_03294_SEQ_20",""
21,"TEXT_LUCKMA304_03294_SEQ_21",""
22,"TEXT_LUCKMA304_03294_SEQ_22",""
23,"TEXT_LUCKMA304_03294_SEQ_23",""
24,"TEXT_LUCKMA304_03294_TODO_00","Mit Tesleen sprechen"
25,"TEXT_LUCKMA304_03294_TODO_01","Tesleen vor den Kojoten beschützen"
26,"TEXT_LUCKMA304_03294_TODO_02","Mit Tesleen sprechen"
27,"TEXT_LUCKMA304_03294_TODO_03","Am <SheetDe(EObj,5,2009848,1,3,1)/> Ausschau nach Kojoten halten"
28,"TEXT_LUCKMA304_03294_TODO_04","Zu Tesleen zurückkehren"
29,"TEXT_LUCKMA304_03294_TODO_05","Tesleen folgen"
30,"TEXT_LUCKMA304_03294_TODO_06",""
31,"TEXT_LUCKMA304_03294_TODO_07",""
32,"TEXT_LUCKMA304_03294_TODO_08",""
33,"TEXT_LUCKMA304_03294_TODO_09",""
34,"TEXT_LUCKMA304_03294_TODO_10",""
35,"TEXT_LUCKMA304_03294_TODO_11",""
