key,0,1
#,,
int32,str,str
0,"TEXT_KINGZD101_05100_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Quroll Ja souhaite vous parler de la statue du double-tête."
1,"TEXT_KINGZD101_05100_SEQ_01",""
2,"TEXT_KINGZD101_05100_SEQ_02",""
3,"TEXT_KINGZD101_05100_SEQ_03",""
4,"TEXT_KINGZD101_05100_SEQ_04",""
5,"TEXT_KINGZD101_05100_SEQ_05",""
6,"TEXT_KINGZD101_05100_SEQ_06",""
7,"TEXT_KINGZD101_05100_SEQ_07",""
8,"TEXT_KINGZD101_05100_SEQ_08",""
9,"TEXT_KINGZD101_05100_SEQ_09",""
10,"TEXT_KINGZD101_05100_SEQ_10",""
11,"TEXT_KINGZD101_05100_SEQ_11",""
12,"TEXT_KINGZD101_05100_SEQ_12",""
13,"TEXT_KINGZD101_05100_SEQ_13",""
14,"TEXT_KINGZD101_05100_SEQ_14",""
15,"TEXT_KINGZD101_05100_SEQ_15",""
16,"TEXT_KINGZD101_05100_SEQ_16",""
17,"TEXT_KINGZD101_05100_SEQ_17",""
18,"TEXT_KINGZD101_05100_SEQ_18",""
19,"TEXT_KINGZD101_05100_SEQ_19",""
20,"TEXT_KINGZD101_05100_SEQ_20",""
21,"TEXT_KINGZD101_05100_SEQ_21",""
22,"TEXT_KINGZD101_05100_SEQ_22",""
23,"TEXT_KINGZD101_05100_SEQ_23",""
24,"TEXT_KINGZD101_05100_TODO_00","Examiner la statue du double-tête"
25,"TEXT_KINGZD101_05100_TODO_01","Parler à Quroll Ja"
26,"TEXT_KINGZD101_05100_TODO_02",""
27,"TEXT_KINGZD101_05100_TODO_03",""
28,"TEXT_KINGZD101_05100_TODO_04",""
29,"TEXT_KINGZD101_05100_TODO_05",""
30,"TEXT_KINGZD101_05100_TODO_06",""
31,"TEXT_KINGZD101_05100_TODO_07",""
32,"TEXT_KINGZD101_05100_TODO_08",""
33,"TEXT_KINGZD101_05100_TODO_09",""
34,"TEXT_KINGZD101_05100_TODO_10",""
35,"TEXT_KINGZD101_05100_TODO_11",""
36,"TEXT_KINGZD101_05100_TODO_12",""
37,"TEXT_KINGZD101_05100_TODO_13",""
