key,0,1
#,,
int32,str,str
0,"TEXT_KINGZD109_05108_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Le vieillard hoobigo est curieux de rencontrer l'aventuri<If(PlayerParameter(4))>ère<Else/>er</If> qui a remporté l'épreuve de l'amitié."
1,"TEXT_KINGZD109_05108_SEQ_01",""
2,"TEXT_KINGZD109_05108_SEQ_02",""
3,"TEXT_KINGZD109_05108_SEQ_03",""
4,"TEXT_KINGZD109_05108_SEQ_04",""
5,"TEXT_KINGZD109_05108_SEQ_05",""
6,"TEXT_KINGZD109_05108_SEQ_06",""
7,"TEXT_KINGZD109_05108_SEQ_07",""
8,"TEXT_KINGZD109_05108_SEQ_08",""
9,"TEXT_KINGZD109_05108_SEQ_09",""
10,"TEXT_KINGZD109_05108_SEQ_10",""
11,"TEXT_KINGZD109_05108_SEQ_11",""
12,"TEXT_KINGZD109_05108_SEQ_12",""
13,"TEXT_KINGZD109_05108_SEQ_13",""
14,"TEXT_KINGZD109_05108_SEQ_14",""
15,"TEXT_KINGZD109_05108_SEQ_15",""
16,"TEXT_KINGZD109_05108_SEQ_16",""
17,"TEXT_KINGZD109_05108_SEQ_17",""
18,"TEXT_KINGZD109_05108_SEQ_18",""
19,"TEXT_KINGZD109_05108_SEQ_19",""
20,"TEXT_KINGZD109_05108_SEQ_20",""
21,"TEXT_KINGZD109_05108_SEQ_21",""
22,"TEXT_KINGZD109_05108_SEQ_22",""
23,"TEXT_KINGZD109_05108_SEQ_23",""
24,"TEXT_KINGZD109_05108_TODO_00","Observer les environs à l'endroit suspect et vaincre les vieux soldats"
25,"TEXT_KINGZD109_05108_TODO_01","Parler au vieillard hoobigo"
26,"TEXT_KINGZD109_05108_TODO_02",""
27,"TEXT_KINGZD109_05108_TODO_03",""
28,"TEXT_KINGZD109_05108_TODO_04",""
29,"TEXT_KINGZD109_05108_TODO_05",""
30,"TEXT_KINGZD109_05108_TODO_06",""
31,"TEXT_KINGZD109_05108_TODO_07",""
32,"TEXT_KINGZD109_05108_TODO_08",""
33,"TEXT_KINGZD109_05108_TODO_09",""
34,"TEXT_KINGZD109_05108_TODO_10",""
