0,TEXT_FESVLT202_02219_SEQ_00,"※ Dieser Auftrag ist nur für die Dauer des saisonalen Ereignisses verfügbar.

Der Liebesbote wartet darauf, einem Paar die Zukunft seines Liebeslebens zu offenbaren."
1,TEXT_FESVLT202_02219_SEQ_01,"※ Dieser Auftrag kann nur für die Dauer des saisonalen Ereignisses angenommen und gespielt werden. Nach Ende des saisonalen Ereignisses kann er nicht mehr abgeschlossen werden. Weitere Informationen findest du auf dem Lodestone.

Der Liebesbote erklärt dir, welche Vor­bereitungen abgeschlossen werden müssen, bevor du vor die Wahrsagerinnen trittst. Du musst eine Gruppe mit einem anderen Abenteurer bilden, dessen Kompatibilität in Sachen Wohlstand, Abenteuer und Liebe du zu erfahren wünschst. Dazu muss einer von euch die Platin-Buhlen-Ohrringe tragen und der andere die Buhlen-Ohrringe. Der Liebesbote händigt dir zudem eine Valentionkarte aus, die alle Informationen enthält, die die Wahrsagerinnen für eine genaue Vorhersage benötigen. Nimm deine Karte und suche die Wahrsagerinnen auf, um mehr über dein Schicksal zu erfahren."
2,TEXT_FESVLT202_02219_SEQ_02,"Du und dein Partner habt mehr über euer Potenzial für große Reichtümer, aufregende Abenteuer und wahre Liebe erfahren. Kehre zum Liebesboten zurück, um zu sehen, ob die zögerlichen Pärchen an der Achterburg sich entschieden haben, deinem Vorbild zu folgen."
3,TEXT_FESVLT202_02219_SEQ_03,"Dein Beispiel hat andere Pärchen dazu ermutigt, sich bei den Wahrsagerinnen des Hauses Valention über ihre Zukunft zu informieren. Der diesjährige Valentiontag scheint also ziemlich erfolgreich zu verlaufen. Der Liebesbote teilt dir jedoch mit, dass Lisette wegen einer dringenden Angelegenheit auf der Suche nach dir ist. Finde sie, in der Hoffnung, dass das Fest der wahren Liebe nicht in Gefahr ist. "
4,TEXT_FESVLT202_02219_SEQ_04,
5,TEXT_FESVLT202_02219_SEQ_05,
6,TEXT_FESVLT202_02219_SEQ_06,
7,TEXT_FESVLT202_02219_SEQ_07,
8,TEXT_FESVLT202_02219_SEQ_08,
9,TEXT_FESVLT202_02219_SEQ_09,
10,TEXT_FESVLT202_02219_SEQ_10,
11,TEXT_FESVLT202_02219_SEQ_11,
12,TEXT_FESVLT202_02219_SEQ_12,
13,TEXT_FESVLT202_02219_SEQ_13,
14,TEXT_FESVLT202_02219_SEQ_14,
15,TEXT_FESVLT202_02219_SEQ_15,
16,TEXT_FESVLT202_02219_SEQ_16,
17,TEXT_FESVLT202_02219_SEQ_17,
18,TEXT_FESVLT202_02219_SEQ_18,
19,TEXT_FESVLT202_02219_SEQ_19,
20,TEXT_FESVLT202_02219_SEQ_20,
21,TEXT_FESVLT202_02219_SEQ_21,
