key,0,1
#,,
int32,str,str
0,"TEXT_SUBSEA155_01146_SEQ_00","The bashful air ill suits a Roegadyn but Ahldfoet has it nevertheless, wearing the sheepishness like an incommodious singlet."
1,"TEXT_SUBSEA155_01146_SEQ_01","Ahldfoet has promised a favor to a mother he met at a port of call, one whose entreaties seem to stir the poet in him. Take her letter to Wiltswys at Camp Skull Valley."
2,"TEXT_SUBSEA155_01146_SEQ_02","Expecting a heartwarming scene, you hand Wiltswys the letter from her mother. Alas, you are sent away with a flea in your ear instead. Ah, family matters."
3,"TEXT_SUBSEA155_01146_SEQ_03",""
4,"TEXT_SUBSEA155_01146_SEQ_04",""
5,"TEXT_SUBSEA155_01146_SEQ_05",""
6,"TEXT_SUBSEA155_01146_SEQ_06",""
7,"TEXT_SUBSEA155_01146_SEQ_07",""
8,"TEXT_SUBSEA155_01146_SEQ_08",""
9,"TEXT_SUBSEA155_01146_SEQ_09",""
10,"TEXT_SUBSEA155_01146_SEQ_10",""
11,"TEXT_SUBSEA155_01146_SEQ_11",""
12,"TEXT_SUBSEA155_01146_SEQ_12",""
13,"TEXT_SUBSEA155_01146_SEQ_13",""
14,"TEXT_SUBSEA155_01146_SEQ_14",""
15,"TEXT_SUBSEA155_01146_SEQ_15",""
16,"TEXT_SUBSEA155_01146_SEQ_16",""
17,"TEXT_SUBSEA155_01146_SEQ_17",""
18,"TEXT_SUBSEA155_01146_SEQ_18",""
19,"TEXT_SUBSEA155_01146_SEQ_19",""
20,"TEXT_SUBSEA155_01146_SEQ_20",""
21,"TEXT_SUBSEA155_01146_SEQ_21",""
22,"TEXT_SUBSEA155_01146_SEQ_22",""
23,"TEXT_SUBSEA155_01146_SEQ_23",""
24,"TEXT_SUBSEA155_01146_TODO_00","Deliver the letter to Wiltswys."
25,"TEXT_SUBSEA155_01146_TODO_01",""
26,"TEXT_SUBSEA155_01146_TODO_02",""
27,"TEXT_SUBSEA155_01146_TODO_03",""
28,"TEXT_SUBSEA155_01146_TODO_04",""
29,"TEXT_SUBSEA155_01146_TODO_05",""
30,"TEXT_SUBSEA155_01146_TODO_06",""
31,"TEXT_SUBSEA155_01146_TODO_07",""
32,"TEXT_SUBSEA155_01146_TODO_08",""
33,"TEXT_SUBSEA155_01146_TODO_09",""
34,"TEXT_SUBSEA155_01146_TODO_10",""
35,"TEXT_SUBSEA155_01146_TODO_11",""
36,"TEXT_SUBSEA155_01146_TODO_12",""
37,"TEXT_SUBSEA155_01146_TODO_13",""
38,"TEXT_SUBSEA155_01146_TODO_14",""
39,"TEXT_SUBSEA155_01146_TODO_15",""
40,"TEXT_SUBSEA155_01146_TODO_16",""
41,"TEXT_SUBSEA155_01146_TODO_17",""
42,"TEXT_SUBSEA155_01146_TODO_18",""
43,"TEXT_SUBSEA155_01146_TODO_19",""
44,"TEXT_SUBSEA155_01146_TODO_20",""
45,"TEXT_SUBSEA155_01146_TODO_21",""
46,"TEXT_SUBSEA155_01146_TODO_22",""
47,"TEXT_SUBSEA155_01146_TODO_23",""
48,"TEXT_SUBSEA155_01146_AHLDFOET_000_000","Ahoy, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. It clean slipped my mind the last time, but I've another thing to ask of ye. My bearings are lively on the water, but on land─well, I'm what you landlubbers call <Emphasis>at sea</Emphasis>. Got a letter that needs delivering and you're the <If(PlayerParameter(4))>maid<Else/>man</If> for it."
49,"TEXT_SUBSEA155_01146_AHLDFOET_000_001","I went ashore on some rock on the voyage in, and a faded petticoat comes up to me, says she got a daughter in Camp Skull Valley what she hadn't seen in years. Had tears in her eyes─pretty eyes too, for a woman past her childin' years. She must've been a real beauty in her day."
50,"TEXT_SUBSEA155_01146_AHLDFOET_000_002","Always had a soft spot for tawny eyes...mayhap because the sea is a green-eyed virago and the skies, her sisters, have eyes blue and red, grey and black... Well, this daughter of hers goes by Wiltswys. You'll take the letter to her?"
51,"TEXT_SUBSEA155_01146_WILTSWYS_000_010","Greetings, adventurer. They said you were looking for me?"
52,"TEXT_SUBSEA155_01146_WILTSWYS_000_011","A letter from Mama! I haven't heard from her in so long... She never answered my letters. No, stay, for I'll have a reply to send!"
53,"TEXT_SUBSEA155_01146_WILTSWYS_000_012","What the...! Oh, the stone-hearted, grasping hag! Wouldn't let me take so much as a hunk of dried fish when I left the island, and now she wants gil? That...that <Emphasis>succubus</Emphasis>!"
54,"TEXT_SUBSEA155_01146_WILTSWYS_000_013","You think me cold? Well, fie on what you think! I wanted something better than tilling salty fields and spilling small fry out the nets, and occasionally taking a passing sailor into my bed for more o' the same! She'll receive no reply from me. Thank you for your service, and good <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>day</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If> to you!"
