key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZF006_03465_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Nymet wirkt bekümmert."
1,"TEXT_LUCKZF006_03465_SEQ_01",""
2,"TEXT_LUCKZF006_03465_SEQ_02",""
3,"TEXT_LUCKZF006_03465_SEQ_03",""
4,"TEXT_LUCKZF006_03465_SEQ_04",""
5,"TEXT_LUCKZF006_03465_SEQ_05",""
6,"TEXT_LUCKZF006_03465_SEQ_06",""
7,"TEXT_LUCKZF006_03465_SEQ_07",""
8,"TEXT_LUCKZF006_03465_SEQ_08",""
9,"TEXT_LUCKZF006_03465_SEQ_09",""
10,"TEXT_LUCKZF006_03465_SEQ_10",""
11,"TEXT_LUCKZF006_03465_SEQ_11",""
12,"TEXT_LUCKZF006_03465_SEQ_12",""
13,"TEXT_LUCKZF006_03465_SEQ_13",""
14,"TEXT_LUCKZF006_03465_SEQ_14",""
15,"TEXT_LUCKZF006_03465_SEQ_15",""
16,"TEXT_LUCKZF006_03465_SEQ_16",""
17,"TEXT_LUCKZF006_03465_SEQ_17",""
18,"TEXT_LUCKZF006_03465_SEQ_18",""
19,"TEXT_LUCKZF006_03465_SEQ_19",""
20,"TEXT_LUCKZF006_03465_SEQ_20",""
21,"TEXT_LUCKZF006_03465_SEQ_21",""
22,"TEXT_LUCKZF006_03465_SEQ_22",""
23,"TEXT_LUCKZF006_03465_SEQ_23",""
24,"TEXT_LUCKZF006_03465_TODO_00","<Clickable(<SheetDe(EventItem,1,2002865,1,4,1)/>)/> finden"
25,"TEXT_LUCKZF006_03465_TODO_01","Dem Mädchen mit Pferdeschwänzen <SheetDe(EventItem,2,2002864,1,4,1)/> und <SheetDe(EventItem,2,2002865,1,4,1)/> geben"
26,"TEXT_LUCKZF006_03465_TODO_02","Nymet <SheetDe(EventItem,2,2002866,1,4,1)/> geben"
27,"TEXT_LUCKZF006_03465_TODO_03",""
28,"TEXT_LUCKZF006_03465_TODO_04",""
29,"TEXT_LUCKZF006_03465_TODO_05",""
30,"TEXT_LUCKZF006_03465_TODO_06",""
31,"TEXT_LUCKZF006_03465_TODO_07",""
