key,0,1
#,,
int32,str,str
0,"TEXT_STMBDI311_03190_SEQ_00","Der Stückeschreiber möchte seine Anerkennung zum Ausdruck bringen."
1,"TEXT_STMBDI311_03190_SEQ_01","Der Stückeschreiber bringt seine Anerkennung zum Ausdruck<Indent/>... nicht so sehr für deine Bemühungen, sondern vielmehr für den Wein, den du ihm gebracht hast."
2,"TEXT_STMBDI311_03190_SEQ_02","Es stellt sich heraus, dass der Wein, den du für den Stückeschreiber besorgt hast, nicht viel mehr wert war als ein Nachmittag im Rondell des Gold Saucers. Als Entschädigung erhältst du von Hancock drei Flaschen dalmascanischen Rotwein, die er von der Widerstandsgruppe Lentes Träne erworben hat. Jetzt hast du die Gelegenheit, die gefälschte Flasche, mit der du Meister Gegeruju von der Sonnenküste hereingelegt hast, auszutauschen."
3,"TEXT_STMBDI311_03190_SEQ_03","Der Stückeschreiber schlägt vor, dass du die Hilfe von Shamani Lohmani in Anspruch nimmst, um Gegeruju die Augen zu öffnen."
4,"TEXT_STMBDI311_03190_SEQ_04","Nach einigem Tauziehen hat Meister Gegeruju seinen dalmascanischen Rotwein und dein Gewissen ist wieder rein. Nun musst du dich nur noch bei jenen bedanken, die dir dabei geholfen haben<Indent/>- angefangen mit Shamani Lohmani."
5,"TEXT_STMBDI311_03190_SEQ_05","Shamani Lohmani ist hocherfreut angesichts der Aussicht, auch mal selber eine Flasche guten Weins zu trinken, anstatt sie einem aufgeblasenen Händler zu verkaufen. Er schlägt vor, dass du Drest deine letzte Flasche Lea Monde Valens zukommen lässt."
6,"TEXT_STMBDI311_03190_SEQ_06","Drest nimmt deine Geste dankend an und versinkt fürs erste wieder in seine eigene Gedankenwelt."
7,"TEXT_STMBDI311_03190_SEQ_07","Erstaunlicherweise äußert der Stückeschreiber so etwas wie eine Entschuldigung dafür, dich über drei Kontinente gejagt zu haben. Ende gut, alles gut<Indent/>...?"
8,"TEXT_STMBDI311_03190_SEQ_08",""
9,"TEXT_STMBDI311_03190_SEQ_09",""
10,"TEXT_STMBDI311_03190_SEQ_10",""
11,"TEXT_STMBDI311_03190_SEQ_11",""
12,"TEXT_STMBDI311_03190_SEQ_12",""
13,"TEXT_STMBDI311_03190_SEQ_13",""
14,"TEXT_STMBDI311_03190_SEQ_14",""
