key,0,1,2,3,4
#,,,,,
int32,int32,int32,uint16,uint16,str
0,0,82092,0,0,"None"
1,191001,82092,1,1,"None"
2,191002,82092,1,3,"Fade to Black"
3,191003,82092,1,2,"Fade to White"
4,191004,82092,1,6,"Solid White"
5,191005,82092,1,5,"Metallic Silver"
6,191006,82092,1,4,"Metallic Gold"
7,191007,82092,1,9,"Journal"
8,191008,82092,1,7,"Plain"
9,191009,82092,1,8,"Beveled"
10,191010,82092,1,10,"Antique"
11,191011,82092,1,11,"Corner Accent"
12,191301,82092,124,2000,"Paladin"
13,191302,82092,125,2001,"Warrior"
14,191303,82092,126,2002,"Dark Knight"
15,191304,82092,127,2003,"Gunbreaker"
16,191305,82092,128,2004,"White Mage"
17,191306,82092,129,2005,"Scholar"
18,191307,82092,130,2006,"Astrologian"
19,191308,82092,131,2007,"Sage"
20,191309,82092,132,2008,"Monk"
21,191310,82092,133,2009,"Dragoon"
22,191311,82092,134,2010,"Ninja"
23,191312,82092,135,2011,"Samurai"
24,191313,82092,136,2012,"Reaper"
25,191314,82092,137,2013,"Bard"
26,191315,82092,138,2014,"Machinist"
27,191316,82092,139,2015,"Dancer"
28,191317,82092,140,2016,"Black Mage"
29,191318,82092,141,2017,"Summoner"
30,191319,82092,142,2018,"Red Mage"
31,191401,82092,143,3000,"Team Astra"
32,191402,82092,144,3001,"Team Umbra"
33,191403,82092,145,3002,"Final Conflict"
34,191404,82092,146,3003,"Endless Conflict"
35,191405,82092,147,3004,"Rising Conflict"
36,191406,82092,148,3005,"Bronze Conflict"
37,191407,82092,149,3006,"Silver Conflict"
38,191408,82092,150,3007,"Gold Conflict"
39,191409,82092,151,3008,"Platinum Conflict"
40,191410,82092,152,3009,"Diamond Conflict"
41,191411,82092,153,3010,"Crystal Conflict"
42,191901,82092,154,4000,"Companion 1"
43,191902,82092,155,4001,"Companion 2"
44,0,0,0,0,""
45,0,0,0,0,""
46,0,0,0,0,""
47,0,0,0,0,""
48,0,0,0,0,""
49,0,0,0,0,""
50,0,0,0,0,""
51,0,0,0,0,""
52,0,0,0,0,""
53,0,0,0,0,""
54,0,0,0,0,""
55,0,0,0,0,""
56,0,0,0,0,""
57,0,0,0,0,""
58,0,0,0,0,""
59,0,0,0,0,""
60,0,0,0,0,""
61,0,0,0,0,""
62,0,0,0,0,""
63,0,0,0,0,""
64,0,0,0,0,""
65,0,0,0,0,""
66,0,0,0,0,""
67,0,0,0,0,""
68,0,0,0,0,""
69,0,0,0,0,""
70,0,0,0,0,""
71,0,0,0,0,""
72,0,0,0,0,""
73,0,0,0,0,""
74,0,0,0,0,""
75,0,0,0,0,""
76,0,0,0,0,""
77,0,0,0,0,""
78,0,0,0,0,""
79,0,0,0,0,""
80,0,0,0,0,""
81,0,0,0,0,""
82,0,0,0,0,""
83,0,0,0,0,""
84,0,0,0,0,""
85,0,0,0,0,""
86,0,0,0,0,""
87,0,0,0,0,""
88,0,0,0,0,""
89,0,0,0,0,""
90,0,0,0,0,""
91,0,0,0,0,""
92,0,0,0,0,""
93,0,0,0,0,""
94,0,0,0,0,""
95,0,0,0,0,""
96,0,0,0,0,""
97,0,0,0,0,""
98,0,0,0,0,""
99,0,0,0,0,""
100,0,0,0,0,""
