key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,Name,NotebookDivisionCategory,CraftOpeningLevel,GatheringOpeningLevel,QuestUnlock,,,CRPCraft,BSMCraft,ARMCraft,GSMCraft,LTWCraft,WVRCraft,ALCCraft,CULCraft
int32,str,NotebookDivisionCategory,byte,byte,Quest,byte,bit&01,bool,bool,bool,bool,bool,bool,bool,bool
0,"1-5",0,0,0,0,0,False,True,True,True,True,True,True,True,True
1,"6-10",0,3,5,0,0,False,True,True,True,True,True,True,True,True
2,"11-15",0,8,10,0,0,False,True,True,True,True,True,True,True,True
3,"16-20",0,13,15,0,0,False,True,True,True,True,True,True,True,True
4,"21-25",0,18,20,0,0,False,True,True,True,True,True,True,True,True
5,"26-30",0,23,25,0,0,False,True,True,True,True,True,True,True,True
6,"31-35",0,28,30,0,0,False,True,True,True,True,True,True,True,True
7,"36-40",0,33,35,0,0,False,True,True,True,True,True,True,True,True
8,"41-45",0,38,40,0,0,False,True,True,True,True,True,True,True,True
9,"46-50",0,43,45,0,0,False,True,True,True,True,True,True,True,True
10,"51-55",0,48,50,0,0,False,True,True,True,True,True,True,True,True
11,"56-60",0,53,55,0,0,False,True,True,True,True,True,True,True,True
12,"61-65",0,58,60,0,0,False,True,True,True,True,True,True,True,True
13,"66-70",0,63,65,0,0,False,True,True,True,True,True,True,True,True
14,"71-75",0,68,70,0,0,False,True,True,True,True,True,True,True,True
15,"76-80",0,73,75,0,0,False,True,True,True,True,True,True,True,True
16,"81-85",0,255,255,0,0,False,True,True,True,True,True,True,True,True
17,"86-90",0,255,255,0,0,False,True,True,True,True,True,True,True,True
18,"91-95",0,255,255,0,0,False,True,True,True,True,True,True,True,True
19,"96-100",0,255,255,0,0,False,True,True,True,True,True,True,True,True
20,"101-105",0,255,255,0,0,False,True,True,True,True,True,True,True,True
21,"106-110",0,255,255,0,0,False,True,True,True,True,True,True,True,True
22,"111-115",0,255,255,0,0,False,True,True,True,True,True,True,True,True
23,"116-120",0,255,255,0,0,False,True,True,True,True,True,True,True,True
24,"121-125",0,255,255,0,0,False,True,True,True,True,True,True,True,True
25,"126-130",0,255,255,0,0,False,True,True,True,True,True,True,True,True
26,"131-135",0,255,255,0,0,False,True,True,True,True,True,True,True,True
27,"136-140",0,255,255,0,0,False,True,True,True,True,True,True,True,True
28,"141-145",0,255,255,0,0,False,True,True,True,True,True,True,True,True
29,"146-150",0,255,255,0,0,False,True,True,True,True,True,True,True,True
30,"151-155",0,255,255,0,0,False,True,True,True,True,True,True,True,True
31,"156-160",0,255,255,0,0,False,True,True,True,True,True,True,True,True
32,"161-175",0,255,255,0,0,False,True,True,True,True,True,True,True,True
33,"166-170",0,255,255,0,0,False,True,True,True,True,True,True,True,True
34,"171-175",0,255,255,0,0,False,True,True,True,True,True,True,True,True
35,"176-180",0,255,255,0,0,False,True,True,True,True,True,True,True,True
36,"181-185",0,255,255,0,0,False,True,True,True,True,True,True,True,True
37,"186-190",0,255,255,0,0,False,True,True,True,True,True,True,True,True
38,"191-195",0,255,255,0,0,False,True,True,True,True,True,True,True,True
39,"196-200",0,255,255,0,0,False,True,True,True,True,True,True,True,True
40,"[翻訳不要] レベル区分終端",0,255,255,0,0,False,True,True,True,True,True,True,True,True
1000,"Master Recipes (1)",1,50,255,0,1,True,True,True,True,True,True,True,True,True
1001,"Master Recipes (2)",1,50,255,0,2,True,True,True,True,True,True,True,True,True
1002,"Master Recipes (3)",1,50,255,0,3,True,True,True,True,True,True,True,True,True
1003,"Master Recipes (4)",1,60,255,0,4,True,True,True,True,True,True,True,True,True
1004,"Master Recipes (5)",1,70,255,0,5,True,True,True,True,True,True,True,True,True
1005,"Master Recipes (6)",1,70,255,0,6,True,True,True,True,True,True,True,True,True
1006,"Master Recipes (7)",1,80,255,0,7,True,True,True,True,True,True,True,True,True
1007,"Other Master Recipes",1,15,255,0,8,True,True,True,True,True,True,True,True,True
1008,"Housing (1)",2,12,255,0,1,False,True,True,True,True,True,True,True,True
1009,"Housing (2)",2,12,255,0,2,False,True,True,True,True,True,True,True,True
1010,"Dyes",3,30,255,0,1,False,True,True,True,True,True,True,True,True
1011,"Others",3,50,255,0,2,False,True,True,True,True,True,True,True,True
1012,"Class Quests",4,61,255,0,1,False,True,True,True,True,True,True,True,True
1013,"Crystarium Deliveries",4,70,255,68763,2,False,False,True,True,True,False,False,False,False
1014,"Crystarium Deliveries",4,70,255,68766,3,False,True,False,False,False,True,True,False,False
1015,"Crystarium Deliveries",4,70,255,68769,4,False,False,False,False,False,False,False,True,True
1016,"Ixal Quests",5,1,255,0,1,False,True,True,True,True,True,True,True,True
1017,"Moogle Quests",5,50,255,0,2,False,True,True,True,True,True,True,True,True
1018,"Namazu Quests",5,60,255,0,3,False,True,True,True,True,True,True,True,True
1019,"Zhloe Aliapoh",6,55,255,0,1,False,True,True,True,True,True,True,True,True
1020,"M'naago",6,55,255,0,2,False,True,True,True,True,True,True,True,True
1021,"Kurenai",6,55,255,0,3,False,True,True,True,True,True,True,True,True
1022,"Adkiragh",6,55,255,0,4,False,True,True,True,True,True,True,True,True
1023,"Kai-Shirr",6,55,255,0,5,False,True,True,True,True,True,True,True,True
1024,"Restoration",7,20,255,73,1,False,True,True,True,True,True,True,True,True
1025,"Other",7,20,255,73,2,False,True,True,True,True,True,True,True,True
1026,"",0,0,0,0,0,False,False,False,False,False,False,False,False,False
2000,"Coerthan Folklore",0,255,50,0,0,False,True,True,True,True,True,True,True,True
2001,"Dravanian Folklore",0,255,50,0,0,False,True,True,True,True,True,True,True,True
2002,"Abalathian Folklore",0,255,50,0,0,False,True,True,True,True,True,True,True,True
2003,"Gyr Abanian Folklore",0,255,60,0,0,False,True,True,True,True,True,True,True,True
2004,"Othardian Folklore",0,255,60,0,0,False,True,True,True,True,True,True,True,True
2005,"Vrandtic Folklore",0,255,70,0,0,False,True,True,True,True,True,True,True,True
2006,"Ishgard Restoration",0,255,1,74,0,False,True,True,True,True,True,True,True,True
2007,"",0,255,255,0,0,False,True,True,True,True,True,True,True,True
