key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
#,Name,ActionTimeline[0],ActionTimeline[1],ActionTimeline[2],ActionTimeline[3],ActionTimeline[4],ActionTimeline[5],ActionTimeline[6],,,,EmoteCategory,EmoteMode,,,HasCancelEmote,DrawsWeapon,,Order,TextCommand,Icon,LogMessage{Targeted},LogMessage{Untargeted},UnlockLink,
int32,str,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,bit&01,bit&02,bit&04,EmoteCategory,EmoteMode,bit&08,bit&10,bit&20,bit&40,bit&80,uint16,TextCommand,Image,LogMessage,LogMessage,uint32,uint16
0,"",0,0,0,0,0,0,0,True,True,True,0,0,False,False,False,False,False,0,0,0,0,0,0,1
1,"Surprised",689,0,674,674,674,0,0,True,True,True,1,0,False,True,False,False,False,5015,402,64001,100,200,0,1
2,"Angry",690,0,639,639,639,0,0,True,True,True,1,0,False,True,False,False,False,5009,403,64002,101,201,0,1
3,"Furious",691,0,664,664,664,0,0,True,True,True,1,0,False,True,False,False,False,5003,404,64003,102,202,0,1
4,"Blush",693,0,0,0,0,0,0,False,False,False,1,0,False,True,False,False,False,1006,405,64004,103,203,0,1
5,"Bow",694,0,0,0,0,0,0,False,False,False,1,0,False,True,False,False,False,1,406,64005,104,204,0,1
6,"Cheer",695,0,675,675,675,0,0,True,True,True,1,0,False,True,False,False,False,2004,407,64006,105,205,0,1
7,"Clap",696,0,656,645,676,0,0,True,True,True,1,0,False,True,False,False,False,2002,408,64007,106,206,0,1
8,"Beckon",697,0,0,0,0,0,0,False,False,False,1,0,False,True,False,False,False,5101,409,64008,107,207,0,1
9,"Comfort",698,0,677,677,677,0,0,True,True,True,1,0,False,True,False,False,False,1007,410,64009,108,208,0,1
10,"Cry",699,0,678,678,678,0,0,True,True,True,1,0,False,True,False,False,False,5002,411,64010,109,209,0,1
11,"Dance",700,0,0,0,0,0,0,False,False,False,1,0,False,True,False,False,False,1040,412,64011,110,210,0,1
12,"Doubt",702,0,0,0,0,0,0,False,False,False,1,0,False,True,False,False,False,5017,413,64012,111,211,0,1
13,"Doze",703,0,657,646,679,0,0,True,True,True,1,0,False,True,False,False,False,5107,414,64013,112,212,0,1
14,"Fume",704,0,0,0,0,0,0,False,False,False,1,0,False,True,False,False,False,5004,415,64014,113,213,0,1
15,"Goodbye",705,0,680,680,680,0,0,True,True,True,1,0,False,True,False,False,False,6,416,64015,114,214,0,1
