key,0,1,2,3,4,5,6,7
#,Type,GatheringPointBase,Count,GatheringPointBonus[0],GatheringPointBonus[1],TerritoryType,PlaceName,GatheringSubCategory
int32,byte,GatheringPointBase,byte,GatheringPointBonus,GatheringPointBonus,TerritoryType,PlaceName,GatheringSubCategory
30000,1,0,0,0,0,1,0,0
30001,1,153,4,0,0,1,0,0
30002,1,154,4,0,0,1,0,0
30003,1,155,4,0,0,1,0,0
30004,1,159,4,0,0,1,0,0
30005,1,11,4,1,0,1,0,0
30006,3,51,6,0,0,1,0,0
30007,3,52,6,0,0,1,0,0
30008,1,19,4,2,0,1,0,0
30009,1,21,4,3,0,1,0,0
30010,1,30,4,4,0,1,0,0
30011,1,10,4,6,0,135,165,0
30012,1,11,4,5,0,148,68,0
30013,1,11,4,0,0,148,68,0
30014,1,11,4,15,0,148,68,0
30015,1,11,4,0,0,148,68,0
30016,1,12,4,5,0,154,83,0
30017,1,12,4,0,0,154,83,0
30018,1,12,4,15,0,154,83,0
30019,1,13,4,5,0,154,83,0
30020,1,13,4,0,0,154,83,0
30021,1,13,4,15,0,154,83,0
30022,1,10,4,0,0,135,165,0
30023,1,10,4,16,0,135,165,0
30024,1,15,4,6,0,154,83,0
30025,1,15,4,0,0,154,83,0
30026,1,15,4,16,0,154,83,0
30027,1,16,4,6,0,148,69,0
30028,1,16,4,0,0,148,69,0
30029,1,16,4,16,0,148,69,0
30030,1,16,4,0,0,148,69,0
30031,1,17,4,7,0,148,70,0
30032,1,17,4,17,0,148,70,0
30033,1,17,4,0,0,148,70,0
30034,1,19,4,7,0,148,70,0
30035,1,19,4,0,0,148,70,0
30036,1,19,4,17,0,148,70,0
30037,1,21,4,0,0,148,70,0
30038,1,36,4,11,0,146,256,0
30039,1,21,4,7,0,148,70,0
30040,1,21,4,0,0,148,70,0
30041,1,21,4,17,0,148,70,0
30042,1,22,4,8,0,152,74,0
30043,1,22,4,0,0,152,74,0
30044,1,22,4,18,0,152,74,0
30045,1,23,4,8,0,152,74,0
30046,1,23,4,0,0,152,74,0
30047,1,23,4,18,0,152,74,0
30048,1,24,4,9,0,153,78,0
30049,1,24,4,0,0,153,78,0
30050,1,24,4,19,0,153,78,0
30051,1,10,4,0,0,135,165,0
30052,1,14,4,7,0,140,244,0
30053,1,14,4,0,0,140,244,0
30054,1,26,4,10,0,154,85,0
30055,1,26,4,0,0,154,85,0
30056,1,26,4,20,0,154,85,0
30057,1,27,4,10,0,153,81,0
30058,1,27,4,0,0,153,81,0
30059,1,27,4,20,0,153,81,0
30060,1,28,4,11,0,153,79,0
30061,1,28,4,0,0,153,79,0
30062,1,28,4,21,0,153,79,0
30063,1,29,4,11,0,153,79,0
30064,1,29,4,0,0,153,79,0
30065,1,29,4,21,0,153,79,0
30066,1,14,4,17,0,140,244,0
30067,1,14,4,0,0,140,244,0
30068,1,18,4,7,0,140,264,0
30069,1,18,4,0,0,140,264,0
30070,1,18,4,17,0,140,264,0
30071,1,18,4,0,0,140,264,0
30072,1,25,4,7,0,141,249,0
30073,1,25,4,0,0,141,249,0
30074,1,25,4,17,0,141,249,0
30075,1,25,4,0,0,141,249,0
30076,1,30,4,7,0,134,162,0
30077,1,30,4,0,0,134,162,0
30078,1,30,4,17,0,134,162,0
30079,1,30,4,0,0,134,162,0
30080,1,31,4,7,0,135,164,0
30081,1,12,4,0,0,154,83,0
30082,1,13,4,0,0,154,83,0
30083,1,31,4,0,0,135,164,0
30084,1,31,4,17,0,135,164,0
30085,1,31,4,0,0,135,164,0
30086,1,175,4,10,0,141,247,0
30087,1,175,4,0,0,141,247,0
30088,1,175,4,20,0,141,247,0
30089,1,175,4,0,0,141,247,0
30090,1,33,4,8,0,141,248,0
30091,1,33,4,0,0,141,248,0
30092,1,33,4,18,0,141,248,0
30093,1,33,4,0,0,141,248,0
30094,1,34,4,8,0,135,165,0
30095,1,34,4,0,0,135,165,0
30096,1,34,4,18,0,135,165,0
30097,1,34,4,0,0,135,165,0
30098,1,35,4,8,0,138,171,0
30099,1,35,4,0,0,138,171,0
30100,1,35,4,18,0,138,171,0
30101,1,35,4,0,0,138,171,0
30102,1,38,4,8,0,145,251,0
30103,1,38,4,0,0,145,251,0
30104,1,38,4,18,0,145,251,0
30105,1,47,4,9,0,153,78,0
30106,1,47,4,0,0,153,78,0
30107,1,47,4,19,0,153,78,0
30108,1,48,4,9,0,153,78,0
30109,1,48,4,0,0,153,78,0
30110,1,48,4,19,0,153,78,0
30111,1,49,4,12,0,153,82,0
30112,1,49,4,0,0,153,82,0
30113,1,49,4,22,0,153,82,0
30114,1,38,4,0,0,145,251,0
30115,1,39,4,8,0,138,170,0
30116,1,39,4,0,0,138,170,0
30117,1,39,4,18,0,138,170,0
30118,1,39,4,0,0,138,170,0
30119,1,40,4,9,0,145,250,0
30120,3,63,6,0,0,1,0,0
30121,3,63,6,0,0,1,0,0
30122,3,63,6,0,0,1,0,0
30123,3,63,6,84,0,1,0,0
30124,3,63,6,0,0,1,0,0
30125,3,63,6,0,0,1,0,0
30126,3,63,6,0,0,1,0,0
30127,3,63,6,0,0,1,0,0
30128,3,63,6,85,0,1,0,0
30129,3,63,6,0,0,1,0,0
30130,3,64,6,0,0,1,0,0
30131,3,64,6,0,0,1,0,0
30132,3,64,6,0,0,1,0,0
30133,3,64,6,86,0,1,0,0
30134,3,65,6,0,0,1,0,0
30135,3,65,6,0,0,1,0,0
30136,3,65,6,0,0,1,0,0
30137,3,65,6,87,0,1,0,0
30138,3,66,6,0,0,1,0,0
30139,3,66,6,0,0,1,0,0
30140,3,66,6,0,0,1,0,0
30141,3,66,6,0,0,1,0,0
30142,3,67,6,0,0,1,0,0
30143,3,67,6,0,0,1,0,0
30144,1,40,4,0,0,145,250,0
30145,1,173,4,10,0,1,70,0
30146,1,173,4,20,0,148,70,0
30147,1,173,4,0,0,148,70,0
30148,1,40,4,19,0,145,250,0
30149,1,40,4,0,0,145,250,0
30150,1,41,4,9,0,139,174,0
30151,1,41,4,0,0,139,174,0
30152,3,51,6,0,0,1,0,0
30153,3,51,6,0,0,1,0,0
30154,3,51,6,0,0,1,0,0
30155,3,51,6,0,0,1,0,0
30156,3,51,6,0,0,1,0,0
30157,3,51,6,0,0,1,0,0
30158,3,51,6,0,0,1,0,0
30159,3,51,6,0,0,1,0,0
30160,3,51,6,0,0,1,0,0
30161,3,51,6,0,0,1,0,0
30162,3,52,6,0,0,1,0,0
30163,3,52,6,0,0,1,0,0
30164,3,52,6,0,0,1,0,0
30165,3,52,6,0,0,1,0,0
30166,3,52,6,0,0,1,0,0
30167,3,52,6,0,0,1,0,0
30168,3,52,6,0,0,1,0,0
30169,3,52,6,0,0,1,0,0
30170,3,52,6,0,0,1,0,0
30171,3,52,6,0,0,1,0,0
30172,3,53,6,0,0,1,0,0
30173,3,53,6,0,0,1,0,0
30174,3,53,6,0,0,1,0,0
30175,3,53,6,92,0,1,0,0
30176,3,54,6,0,0,1,0,0
30177,3,54,6,0,0,1,0,0
30178,3,54,6,0,0,1,0,0
30179,3,54,6,93,0,1,0,0
30180,3,55,6,0,0,1,0,0
30181,3,55,6,0,0,1,0,0
30182,3,55,6,0,0,1,0,0
30183,3,55,6,0,0,1,0,0
30184,3,55,6,0,0,1,0,0
30185,3,55,6,0,0,1,0,0
30186,3,55,6,0,0,1,0,0
30187,3,55,6,0,0,1,0,0
30188,3,55,6,0,0,1,0,0
30189,3,55,6,0,0,1,0,0
30190,3,56,6,0,0,1,0,0
30191,3,56,6,0,0,1,0,0
30192,3,56,6,0,0,1,0,0
30193,3,56,6,0,0,1,0,0
30194,3,56,6,0,0,1,0,0
30195,3,56,6,0,0,1,0,0
30196,3,56,6,0,0,1,0,0
30197,3,56,6,0,0,1,0,0
30198,3,56,6,0,0,1,0,0
30199,3,56,6,0,0,1,0,0
30200,3,57,6,0,0,1,0,0
30201,3,57,6,0,0,1,0,0
30202,3,57,6,0,0,1,0,0
30203,3,57,6,94,0,1,0,0
30204,3,58,6,0,0,1,0,0
30205,3,58,6,0,0,1,0,0
30206,3,58,6,0,0,1,0,0
30207,3,58,6,0,0,1,0,0
30208,3,58,6,0,0,1,0,0
30209,3,58,6,0,0,1,0,0
30210,3,58,6,0,0,1,0,0
30211,3,58,6,0,0,1,0,0
30212,3,58,6,0,0,1,0,0
30213,3,58,6,0,0,1,0,0
30214,3,59,6,0,0,1,0,0
30215,3,59,6,0,0,1,0,0
30216,3,59,6,0,0,1,0,0
30217,3,59,6,95,0,1,0,0
30218,3,59,6,0,0,1,0,0
30219,3,59,6,0,0,1,0,0
30220,3,59,6,0,0,1,0,0
30221,3,59,6,0,0,1,0,0
30222,3,59,6,96,0,1,0,0
30223,3,59,6,0,0,1,0,0
30224,3,60,6,0,0,1,0,0
30225,3,60,6,0,0,1,0,0
30226,3,60,6,0,0,1,0,0
30227,3,60,6,97,0,1,0,0
30228,3,60,6,0,0,1,0,0
30229,3,60,6,0,0,1,0,0
30230,3,60,6,0,0,1,0,0
30231,3,60,6,0,0,1,0,0
30232,3,60,6,98,0,1,0,0
30233,3,60,6,0,0,1,0,0
30234,3,61,6,0,0,1,0,0
30235,3,61,6,0,0,1,0,0
30236,3,61,6,0,0,1,0,0
30237,3,61,6,99,0,1,0,0
30238,3,62,6,0,0,1,0,0
30239,3,62,6,0,0,1,0,0
30240,3,62,6,0,0,1,0,0
30241,3,62,6,0,0,1,0,0
30242,3,62,6,0,0,1,0,0
30243,3,62,6,0,0,1,0,0
30244,3,62,6,0,0,1,0,0
30245,3,62,6,0,0,1,0,0
30246,3,68,6,0,0,1,0,0
30247,3,68,6,0,0,1,0,0
30248,3,68,6,0,0,1,0,0
30249,3,68,6,100,0,1,0,0
30250,3,68,6,0,0,1,0,0
30251,3,68,6,0,0,1,0,0
30252,3,68,6,0,0,1,0,0
30253,3,68,6,0,0,1,0,0
30254,3,68,6,101,0,1,0,0
30255,3,68,6,0,0,1,0,0
30256,3,69,6,0,0,1,0,0
30257,3,69,6,0,0,1,0,0
30258,3,69,6,0,0,1,0,0
30259,3,69,6,102,0,1,0,0
30260,3,70,6,0,0,1,0,0
30261,3,70,6,0,0,1,0,0
30262,3,70,6,0,0,1,0,0
30263,3,70,6,103,0,1,0,0
30264,3,71,6,0,0,1,0,0
30265,3,71,6,0,0,1,0,0
30266,3,71,6,0,0,1,0,0
30267,3,71,6,0,0,1,0,0
30268,3,71,6,0,0,1,0,0
30269,3,71,6,0,0,1,0,0
30270,3,71,6,0,0,1,0,0
30271,3,71,6,0,0,1,0,0
30272,3,71,6,0,0,1,0,0
30273,3,71,6,0,0,1,0,0
30274,3,72,6,0,0,1,0,0
30275,3,72,6,0,0,1,0,0
30276,3,72,6,0,0,1,0,0
30277,3,72,6,104,0,1,0,0
30278,3,73,6,0,0,1,0,0
30279,3,73,6,0,0,1,0,0
30280,3,73,6,0,0,1,0,0
30281,3,73,6,0,0,1,0,0
30282,3,73,6,105,0,1,0,0
30283,3,73,6,0,0,1,0,0
30284,3,74,6,0,0,1,0,0
30285,3,74,6,0,0,1,0,0
30286,3,74,6,0,0,1,0,0
30287,3,74,6,106,0,1,0,0
30288,3,75,6,0,0,1,0,0
30289,3,75,6,0,0,1,0,0
30290,3,75,6,0,0,1,0,0
30291,3,75,6,0,0,1,0,0
30292,3,75,6,0,0,1,0,0
