key,0,1,2,3
#,Icon,JournalCategory,,Name
int32,Image,JournalCategory,bit&01,str
0,0,0,False,""
1,61412,1,True,"Seventh Umbral Era"
2,61412,2,True,"Seventh Astral Era"
3,61412,3,True,"Heavensward"
4,61412,4,True,"Dragonsong War"
5,61412,5,True,"Post-Dragonsong War"
6,61412,6,True,"Stormblood"
7,61412,7,True,"Post-Ala Mhigan Liberation"
8,61412,8,True,"Shadowbringers"
9,61412,9,True,"The Voyage Home"
10,61412,10,True,"Dark Reprise"
11,61412,11,True,"Endwalker"
12,61412,12,True,"Newfound Adventure"
13,61412,13,True,"Dawntrail"
14,61412,14,True,"The New Dawn"
15,61412,15,True,"Winter's Prelude"
16,61411,16,True,"Primal Quests"
17,61411,17,True,"Bahamut Quests"
18,61411,18,True,"Crystal Tower Quests"
19,61411,19,True,"Alexander Quests"
20,61411,20,True,"Heavensward Primal Quests"
21,61411,21,True,"Shadow of Mhach Quests"
22,61411,22,True,"Omega Quests"
23,61411,22,True,"Omega: Beyond the Rift"
24,61411,23,True,"Return to Ivalice"
25,61411,24,True,"The Four Lords"
26,61411,25,True,"Eden"
27,61411,26,True,"YoRHa: Dark Apocalypse"
28,61411,27,True,"Garlemald's Machinations"
29,61411,28,True,"Pandæmonium"
30,61411,28,True,"Pandæmonium: Epilogue"
31,61411,29,True,"Myths of the Realm"
32,61411,30,True,"The Arcadion"
33,61411,31,True,"Echoes of Vana'diel"
34,61411,32,True,"Main Quests"
35,61411,32,True,"Daily Quests"
36,61411,33,True,"Main Quests"
37,61411,33,True,"Daily Quests"
38,61411,34,True,"Main Quests"
39,61411,34,True,"Daily Quests"
40,61411,36,True,"Main Quests"
41,61411,36,True,"Daily Quests"
42,61411,37,True,"Main Quests"
43,61411,37,True,"Daily Quests"
44,61411,38,True,"Main Quests"
45,61411,38,True,"Daily Quests"
46,61411,39,True,"Main Quests"
47,61411,39,True,"Daily Quests"
48,61411,40,True,"Main Quests"
49,61411,40,True,"Daily Quests"
50,61411,41,True,"Main Quests"
51,61411,41,True,"Daily Quests"
52,61411,42,True,"Main Quests"
53,61411,42,True,"Daily Quests"
54,61411,43,True,"Main Quests"
55,61411,43,True,"Daily Quests"
56,61411,44,True,"Main Quests"
57,61411,44,True,"Daily Quests"
58,61411,45,True,"Main Quests"
59,61411,45,True,"Daily Quests"
60,61411,46,True,"Main Quests"
61,61411,46,True,"Daily Quests"
62,61411,47,True,"Main Quests"
63,61411,47,True,"Daily Quests"
64,61411,48,True,"Main Quests"
65,61411,48,True,"Daily Quests"
66,61411,49,True,"Main Quests"
67,61411,49,True,"Daily Quests"
68,61411,50,True,"Main Quests"
69,61411,50,True,"Daily Quests"
70,61411,51,True,"Main Quests"
71,61411,51,True,"Daily Quests"
72,61411,52,True,"Main Quests"
73,61411,52,True,"Daily Quests"
74,61411,53,True,"A Realm Reborn Allied Society Quests"
75,61411,53,True,"Heavensward Allied Society Quests"
76,61411,53,True,"Stormblood Allied Society Quests"
77,61411,53,True,"Endwalker Allied Society Quests"
78,61411,54,True,"Tales of the Dragonsong War"
79,61411,54,True,"Tales from the Shadows"
80,61411,54,True,"Tales of Newfound Adventure"
81,61411,55,True,"Hildibrand Adventures"
82,61411,55,True,"Further Hildibrand Adventures"
83,61411,55,True,"Even Further Hildibrand Adventures"
84,61411,55,True,"Somehow Further Hildibrand Adventures"
85,61411,55,True,"Manderville Weapons"
86,61411,55,True,"Inconceivably Further Hildibrand Adventures"
87,61411,56,True,"Zodiac Weapons"
88,61411,56,True,"Anima Weapons"
89,61411,56,True,"The Forbidden Land, Eureka"
90,61411,56,True,"Resistance Weapons"
91,61411,56,True,"Phantom Weapons"
92,61411,58,True,"Tales from the Calamity"
93,61411,58,True,"Delivery Moogle Quests"
94,61411,58,True,"Scholasticate Quests"
95,61411,58,True,"Void Quests"
96,61411,58,True,"Tataru's Grand Endeavor"
97,61411,57,True,"Doman Adventurers' Guild Quests"
98,61411,57,True,"Doman Reconstruction Quests"
99,61411,57,True,"Ishgardian Restoration Main Quests"
100,61411,57,True,"Ishgardian Restoration Sidequests"
101,61411,57,True,"Splendorous Tools"
102,61411,57,True,"Palace of the Dead"
103,61411,57,True,"Heaven-on-High"
104,61411,57,True,"Eureka Orthos"
105,61411,57,True,"Pilgrim's Traverse"
106,61411,57,True,"Island Sanctuary Quests"
107,61411,57,True,"Variant Dungeons"
108,61411,57,True,"Cosmic Exploration Main Quests"
109,61411,57,True,"Cosmic Exploration Sidequests"
110,61411,57,True,"The Occult Crescent"
111,61411,59,True,"La Noscean Sidequests"
112,61411,60,True,"Gridanian Sidequests"
113,61411,61,True,"Ul'dahn Sidequests"
114,61411,62,True,"Coerthan Sidequests"
115,61411,63,True,"Mor Dhonan Sidequests"
116,61411,64,True,"Ishgardian Sidequests"
117,61411,65,True,"Abalathian Sidequests"
118,61411,66,True,"Dravanian Forelands Sidequests"
119,61411,66,True,"Dravanian Hinterlands Sidequests"
120,61411,66,True,"Churning Mists Sidequests"
121,61411,66,True,"Idyllshire Sidequests"
122,61411,67,True,"Azys Lla Sidequests"
123,61411,68,True,"Rhalgr's Reach Sidequests"
124,61411,68,True,"Fringes Sidequests"
125,61411,68,True,"Peaks Sidequests"
126,61411,68,True,"Lochs Sidequests"
127,61411,70,True,"Kugane Sidequests"
128,61411,69,True,"Ruby Sea Sidequests"
129,61411,69,True,"Yanxia Sidequests"
130,61411,69,True,"Azim Steppe Sidequests"
131,61411,71,True,"Crystarium Sidequests"
132,61411,72,True,"Eulmore Sidequests"
133,61411,71,True,"Lakeland Sidequests"
134,61411,72,True,"Kholusia Sidequests"
135,61411,73,True,"Amh Araeng Sidequests"
136,61411,74,True,"Il Mheg Sidequests"
137,61411,75,True,"Rak'tika Sidequests"
138,61411,76,True,"Tempest Sidequests"
139,61411,77,True,"Old Sharlayan Sidequests"
140,61411,78,True,"Radz-at-Han Sidequests"
141,61411,77,True,"Labyrinthos Sidequests"
142,61411,78,True,"Thavnairian Sidequests"
143,61411,79,True,"Garlean Sidequests"
144,61411,80,True,"Mare Lamentorum Sidequests"
145,61411,81,True,"Elpis Sidequests"
146,61411,82,True,"Ultima Thule Sidequests"
147,61411,83,True,"Tuliyollal Sidequests"
148,61411,83,True,"Urqopacha Sidequests"
149,61411,83,True,"Kozama'uka Sidequests"
150,61411,83,True,"Yak T'el Sidequests"
151,61411,84,True,"Shaaloani Sidequests"
152,61411,84,True,"Heritage Found Sidequests"
153,61411,84,True,"Solution Nine Sidequests"
154,61411,85,True,"Living Memory Sidequests"
155,62301,86,True,"Gladiator Quests"
156,62302,86,True,"Pugilist Quests"
157,62303,86,True,"Marauder Quests"
158,62304,86,True,"Lancer Quests"
159,62305,86,True,"Archer Quests"
160,62309,86,True,"Rogue Quests"
161,62306,87,True,"Conjurer Quests"
162,62307,87,True,"Thaumaturge Quests"
163,62308,87,True,"Arcanist Quests"
164,62310,88,True,"Carpenter Quests"
165,62311,88,True,"Blacksmith Quests"
166,62312,88,True,"Armorer Quests"
167,62313,88,True,"Goldsmith Quests"
168,62314,88,True,"Leatherworker Quests"
169,62315,88,True,"Weaver Quests"
170,62316,88,True,"Alchemist Quests"
171,62317,88,True,"Culinarian Quests"
172,62318,89,True,"Miner Quests"
173,62319,89,True,"Botanist Quests"
174,62320,89,True,"Fisher Quests"
175,62401,93,True,"Paladin Quests"
176,62402,93,True,"Monk Quests"
177,62403,93,True,"Warrior Quests"
178,62404,93,True,"Dragoon Quests"
179,62405,93,True,"Bard Quests"
180,62410,93,True,"Ninja Quests"
181,62406,94,True,"White Mage Quests"
182,62407,94,True,"Black Mage Quests"
183,62408,94,True,"Summoner Quests"
184,62409,94,True,"Scholar Quests"
185,62412,93,True,"Dark Knight Quests"
186,62411,93,True,"Machinist Quests"
187,62413,94,True,"Astrologian Quests"
188,62414,93,True,"Samurai Quests"
189,62415,94,True,"Red Mage Quests"
190,62417,93,True,"Gunbreaker Quests"
191,62418,93,True,"Dancer Quests"
192,62420,94,True,"Sage Quests"
193,62419,93,True,"Reaper Quests"
194,62421,93,True,"Viper Quests"
195,62422,94,True,"Pictomancer Quests"
196,62416,94,True,"Blue Mage Quests"
197,61411,90,True,"Facet of Forging Quests"
198,61411,90,True,"Facet of Crafting Quests"
199,61411,90,True,"Facet of Nourishing Quests"
200,61411,90,True,"Facet of Gathering Quests"
201,61411,90,True,"Facet of Fishing Quests"
202,61411,90,True,"Crystalline Mean Quests"
203,62521,91,True,"Faculty of Archaeology Quests"
204,62521,91,True,"Faculty of Astronomy Quests"
205,62521,91,True,"Faculty of Medicine Quests"
206,62521,91,True,"Faculty of Anthropology Quests"
207,62521,91,True,"Faculty of Aetherology Quests"
208,62521,91,True,"Studium Quests"
209,62523,92,True,"XRral Soj Metalwares Quests"
210,62523,92,True,"Epistles by Pameka Quests"
211,62523,92,True,"Xeerol Ja Juicecraft Quests"
212,62523,92,True,"Shunye's Apothecary Quests"
213,62523,92,True,"Fish Fancies Donuhanu Quests"
214,62523,92,True,"Wachumeqimeqi Quests"
215,62522,95,True,"Tank Role Quests (Shadowbringers)"
216,62522,95,True,"Healer Role Quests (Shadowbringers)"
217,62522,95,True,"Physical DPS Role Quests (Shadowbringers)"
218,62522,95,True,"Magical Ranged DPS Role Quests (Shadowbringers)"
219,62522,95,True,"Role Quests (Shadowbringers)"
220,62522,95,True,"Tank Role Quests (Endwalker)"
221,62522,95,True,"Healer Role Quests (Endwalker)"
222,62522,95,True,"Melee DPS Role Quests (Endwalker)"
223,62522,95,True,"Physical Ranged DPS Role Quests (Endwalker)"
224,62522,95,True,"Magical Ranged DPS Role Quests (Endwalker)"
225,62522,95,True,"Role Quests (Endwalker)"
226,62522,95,True,"Tank Role Quests (Dawntrail)"
227,62522,95,True,"Healer Role Quests (Dawntrail)"
228,62522,95,True,"Melee DPS Role Quests (Dawntrail)"
229,62522,95,True,"Physical Ranged DPS Role Quests (Dawntrail)"
230,62522,95,True,"Magical Ranged DPS Role Quests (Dawntrail)"
231,62522,95,True,"Role Quests (Dawntrail)"
232,61401,96,True,"Maelstrom Quests"
233,61402,96,True,"Order of the Twin Adder Quests"
234,61403,96,True,"Immortal Flames Quests"
