key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,,WarpName,,Function[0],Function[1],Function[2],Function[3],Function[4],Function[5],Function[6],Function[7],Function[8],Function[9],Argument[0],Argument[1],Argument[2],Argument[3],Argument[4],Argument[5],Argument[6],Argument[7],Argument[8],Argument[9],Question,Response{Yes},Response{No}
int32,uint32,str,bit&01,str,str,str,str,str,str,str,str,str,str,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,str,str,str
0,0,"",False,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
1,0,"",False,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","Yes","No"
2,0,"WarpRentalChocobo",True,"HOWTO_ABOUT_RENTAL_CHOCOBO","","","","","","","","","",81,0,0,0,0,0,0,0,0,0,"Rent a Chocobo","",""
3,0,"WarpInnLimsaLominsa",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
4,0,"WarpInnGridania",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
5,0,"WarpInnUldah",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
6,0,"WarpHousingEnterHouse",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","Yes","No"
7,0,"WarpHousingExitHouse",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","Yes","No"
8,0,"WarpWeddingPlaceDesk",False,"QUEST_WEDDING","ITEM_CHILD_TICKET","","","","","","","","",67114,8699,0,0,0,0,0,0,0,0,"","Yes","No"
9,0,"WarpInnIshgard",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
10,0,"WarpInnKugane",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
11,0,"WarpInnCrystarium",True,"QST_LUCKMA401","QST_LUCKME114","QST_LUCKMF111","QST_SEQ_11","QST_SEQ_FINISH","","","","","",68836,69179,69190,11,255,0,0,0,0,0,"","",""
