key,0,1,2,3,4,5,6,7,8
#,,,,,,,,,
int32,byte,byte,byte,byte,uint32,byte,uint16,uint16,uint16
0.0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,70137,6,796,0,0
1.1,0,0,0,0,70138,0,797,0,0
1.2,0,0,0,0,70139,0,798,0,0
1.3,0,0,0,0,70140,0,799,0,0
1.4,0,0,0,0,70141,0,800,0,0
1.5,0,0,0,0,70142,0,801,0,0
2.0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,65575,1,94,0,0
3.1,0,0,0,0,65643,1,94,0,0
3.2,0,0,0,0,66130,1,94,0,0
3.3,0,0,0,0,66216,0,80,0,0
3.4,0,0,0,0,66217,0,80,0,0
3.5,0,0,0,0,66218,0,80,0,0
3.6,0,0,0,0,66053,2,94,0,0
3.7,0,0,0,0,70057,1,107,0,0
3.8,0,0,0,0,70058,7,94,0,0
3.9,0,0,0,0,70058,0,107,0,0
4.0,0,0,0,0,463,0,780,0,0
4.1,0,0,0,0,464,0,781,0,0
4.2,0,0,0,0,465,0,793,0,0
5.0,0,0,0,0,0,0,794,0,0
5.1,0,0,0,0,468,0,866,0,0
6.0,0,0,1,0,0,0,949,0,5147
6.1,0,0,1,1,0,0,950,0,5148
7.0,0,0,1,0,0,0,949,0,5152
7.1,0,0,1,1,0,0,950,0,19
8.0,1,0,0,0,0,0,1004,0,0
8.1,1,1,0,0,0,0,1004,0,0
8.2,1,2,0,0,0,0,1004,0,0
8.3,1,3,0,0,0,0,1004,0,0
8.4,1,4,0,0,0,0,1005,0,0
8.5,1,5,0,0,0,0,1005,0,0
8.6,1,6,0,0,0,0,1005,0,0
8.7,1,7,0,0,0,0,1005,0,0
8.8,1,8,0,0,0,0,1006,0,0
8.9,1,9,0,0,0,0,1006,0,0
8.10,1,10,0,0,0,0,1006,0,0
8.11,1,11,0,0,0,0,1006,0,0
8.12,1,12,0,0,0,0,1007,0,0
8.13,1,13,0,0,0,0,1007,0,0
8.14,1,14,0,0,0,0,1008,0,0
8.15,1,15,0,0,0,0,1008,0,0
8.16,1,16,0,0,0,0,1008,0,0
8.17,1,17,0,0,0,0,1008,0,0
8.18,1,18,0,0,0,0,1009,0,0
8.19,1,19,0,0,0,0,1009,0,0
8.20,1,20,0,0,0,0,1009,0,0
8.21,1,21,0,0,0,0,1010,0,0
8.22,1,22,0,0,0,0,1010,0,0
8.23,1,23,0,0,0,0,1010,0,0
8.24,1,24,0,0,0,0,1011,0,0
8.25,1,25,0,0,0,0,1011,0,0
8.26,1,26,0,0,0,0,1011,0,0
8.27,1,27,0,0,0,0,1011,0,0
8.28,1,28,0,0,0,0,1012,0,0
8.29,1,29,0,0,0,0,1012,0,0
8.30,1,30,0,0,0,0,1013,0,0
8.31,1,31,0,0,0,0,1013,0,0
8.32,1,32,0,0,0,0,1013,0,0
8.33,1,33,0,0,0,0,1014,0,0
8.34,1,34,0,0,0,0,1014,0,0
8.35,1,35,0,0,0,0,1014,0,0
8.36,1,36,0,0,0,0,1014,0,0
8.37,1,37,0,0,0,0,1015,0,0
8.38,1,38,0,0,0,0,1015,0,0
8.39,1,39,0,0,0,0,1015,0,0
8.40,1,40,0,0,0,0,1015,0,0
8.41,1,41,0,0,0,0,1016,0,0
8.42,1,42,0,0,0,0,1016,0,0
8.43,1,43,0,0,0,0,1017,0,0
8.44,1,44,0,0,0,0,1017,0,0
8.45,1,45,0,0,0,0,1017,0,0
8.46,1,46,0,0,0,0,1017,0,0
8.47,1,47,0,0,0,0,1018,0,0
8.48,1,48,0,0,0,0,1018,0,0
8.49,1,49,0,0,0,0,1019,0,0
8.50,1,50,0,0,0,0,1019,0,0
8.51,1,51,0,0,0,0,1019,0,0
8.52,1,52,0,0,0,0,1019,0,0
8.53,1,53,0,0,0,0,1020,0,0
8.54,1,54,0,0,0,0,1020,0,0
8.55,1,55,0,0,0,0,1021,0,0
8.56,1,56,0,0,0,0,1021,0,0
8.57,1,57,0,0,0,0,1021,0,0
8.58,1,58,0,0,0,0,1022,0,0
8.59,1,59,0,0,0,0,1022,0,0
8.60,1,60,0,0,0,0,1022,0,0
8.61,1,61,0,0,0,0,1022,0,0
8.62,1,62,0,0,0,0,1031,0,0
8.63,1,63,0,0,0,0,1031,0,0
