key,0
#,
int32,str
0,""
1,"Completed stellar mission objective!"
2,"Completed all stellar mission objectives!"
3,"[Only available for use during cosmic exploration.]"
4,"Goodness me, it seems you've completed all the <Sheet(ClassJob,IntegerParameter(1),0)/> research we had prepared for!
Ahem... For the moment, please stand by!"
5,"Ahem! <Clickable(<Sheet(ClassJob,IntegerParameter(1),0)/>)/> research has proceeded sufficiently, so you may report to headquarters for debriefing."
6,"Ahem. Your current progress in cosmic <Sheet(ClassJob,IntegerParameter(1),0)/> research is as follows."
7,"If this goes like this...then that must go like...<Emphasis>that</Emphasis>..."
8,"Our research modules are based on those of the Studium, you know."
9,"The further your cosmic research progresses, the better tools you might create! Exciting, no?"
10,"High-level research requires data of profound intricacy. Either you're capable of the task or, well. Ahem."
11,"By expanding your research into other specialities, you can increase your overall efficiency!"
