key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,,,Hierarchy,MapMarkerRange,Id,SizeFactor,Offset{X},Offset{Y},PlaceName{Region},PlaceName,PlaceName{Sub},DiscoveryIndex,,TerritoryType,DiscoveryArrayByte,
int32,byte,byte,sbyte,byte,uint16,str,uint16,int16,int16,PlaceName,PlaceName,PlaceName,int16,uint32,TerritoryType,bit&01,bit&02
0,0,0,0,0,0,"",100,0,0,0,0,0,-1,0,0,True,False
1,0,0,0,1,0,"default/00",100,0,0,2405,21,0,-1,0,1,True,False
2,2,2,0,1,3,"f1t1/00",200,0,0,23,52,0,-1,0,132,True,False
3,2,3,0,1,4,"f1t2/00",200,0,0,23,53,0,-1,0,133,True,False
4,2,5,0,1,5,"f1f1/00",100,0,0,23,54,0,0,16382,148,True,False
5,2,6,0,1,6,"f1f2/00",100,0,0,23,55,0,0,1048574,152,False,False
6,2,7,0,1,7,"f1f3/00",100,0,0,23,56,0,1,131070,153,False,False
7,2,8,0,1,8,"f1f4/00",100,0,0,23,57,0,2,131070,154,False,False
8,2,9,0,1,10,"f1d1/00",300,0,0,23,58,0,1,4094,164,True,False
9,2,10,0,1,21,"f1r1/00",200,0,0,23,61,0,2,16382,169,True,False
10,0,0,0,1,0,"default/00",100,0,0,2405,153,0,-1,0,728,True,True
11,1,2,0,1,71,"s1t1/01",200,0,0,22,28,0,-1,0,128,True,False
12,1,3,0,1,72,"s1t2/00",200,0,0,22,29,0,-1,0,129,True,False
13,3,2,0,1,59,"w1t1/01",200,0,0,24,40,0,-1,0,130,True,False
14,3,3,1,1,60,"w1t2/01",200,0,0,24,41,373,-1,0,131,True,False
15,1,6,0,1,74,"s1f1/00",100,0,0,22,30,0,3,254,134,True,False
16,1,7,0,1,75,"s1f2/00",100,0,0,22,31,0,4,2046,135,True,False
17,1,8,0,1,76,"s1f3/00",100,0,0,22,32,0,5,32766,137,True,False
18,1,9,0,1,77,"s1f4/00",100,0,0,22,33,0,3,1048574,138,False,False
19,1,10,0,1,78,"s1f5/00",100,0,0,22,34,0,6,510,139,True,False
20,3,6,0,1,40,"w1f1/00",100,0,0,24,42,0,7,8190,140,True,False
21,3,7,0,1,39,"w1f2/00",100,0,0,24,43,0,8,16382,141,True,False
22,3,8,0,1,41,"w1f3/00",100,0,0,24,44,0,4,262142,145,False,False
23,3,9,0,1,42,"w1f4/01",100,0,0,24,45,0,5,1048574,146,False,False
24,3,10,0,1,43,"w1f5/00",100,0,0,24,46,0,9,510,147,True,False
25,5,2,0,1,108,"l1f1/01",100,0,0,26,67,0,6,131070,156,False,False
26,0,0,0,1,68,"s1ti/00",800,0,0,22,733,0,-1,0,177,True,False
27,0,0,0,1,70,"w1ti/00",800,0,0,24,617,0,-1,0,178,True,False
28,0,0,0,1,69,"f1ti/00",800,0,0,23,548,0,-1,0,179,True,False
29,0,0,0,1,0,"default/00",200,0,0,0,0,0,-1,0,22,True,False
30,1,11,0,1,79,"s1f6/00",100,0,0,22,350,0,10,510,180,True,False
31,1,12,0,1,80,"s1d1/00",200,0,0,22,35,0,11,4094,157,True,False
32,1,14,0,1,82,"s1d3/00",200,0,0,22,37,0,12,1022,159,True,False
33,0,0,0,1,0,"s1fa/00",400,0,0,22,359,0,-1,0,206,True,False
34,3,11,1,1,44,"w1d1/01",200,0,0,24,48,849,13,6,161,True,False
35,0,0,0,1,0,"w1fa/00",400,0,0,24,357,0,-1,0,202,True,False
36,0,0,0,1,0,"f1fa/00",400,0,0,23,360,0,-1,0,207,True,False
37,4,6,0,1,103,"r1d1/00",200,0,0,25,401,0,14,1022,168,True,False
38,4,8,0,1,106,"r1r2/00",200,0,0,25,65,0,15,2046,172,True,False
39,0,0,1,1,0,"r1fa/01",400,0,0,25,361,0,-1,0,208,True,False
40,3,11,2,1,45,"w1d1/02",200,0,0,24,48,850,13,16632,161,True,False
41,3,11,3,1,46,"w1d1/03",200,0,0,24,48,372,13,16128,161,True,False
42,3,13,1,1,48,"w1d3/01",200,0,0,24,50,854,7,2,163,False,False
43,3,13,2,1,49,"w1d3/02",200,0,0,24,50,855,7,131068,163,False,False
44,3,13,3,1,50,"w1d3/03",200,0,0,24,50,856,7,917504,163,False,False
45,1,13,0,1,81,"s1d2/00",200,0,0,22,36,0,16,65534,158,True,False
46,3,12,0,1,47,"w1d2/00",200,0,0,24,49,0,17,1022,162,True,False
47,0,0,0,1,51,"w1d4/00",200,0,0,24,260,0,18,65534,217,True,False
48,2,11,2,1,12,"f1d2/01",200,0,0,23,59,599,8,510,166,False,False
49,2,12,1,1,14,"f1d3/01",200,0,0,23,128,873,19,14,167,True,False
50,4,7,1,1,104,"r1r1/01",200,0,0,25,64,922,25,62,171,True,False
51,1,5,0,1,83,"s1p1/00",400,-77,0,22,358,0,-1,0,250,True,False
52,3,14,1,1,63,"w1r1/01",200,0,0,24,47,838,20,158,170,True,False
53,4,4,0,1,102,"r1f1/00",100,0,0,25,63,0,9,8388606,155,False,False
54,2,11,1,1,11,"f1d2/02",200,0,0,23,59,600,8,1966080,166,False,False
55,2,11,3,1,13,"f1d2/03",200,0,0,23,59,601,8,130560,166,False,False
56,0,0,1,1,52,"w1d5/01",200,0,0,24,440,441,26,2,224,True,False
57,0,0,0,1,87,"s1b1/00",200,0,0,22,464,0,21,254,241,True,False
58,0,0,0,1,88,"s1b2/00",200,0,0,22,465,0,22,6,242,True,False
59,0,0,0,1,92,"s1b4/00",200,0,0,22,467,0,-1,0,244,True,False
60,0,0,0,1,93,"s1b5/00",200,0,0,22,468,0,23,14,245,True,False
61,0,0,0,1,94,"default/00",100,0,0,22,469,0,-1,0,247,True,False
62,0,0,1,1,89,"s1b3/01",200,0,0,22,466,924,24,2,243,True,False
63,0,0,2,1,90,"s1b3/02",200,0,0,22,466,925,24,4,243,True,False
64,0,0,3,1,91,"s1b3/03",200,0,0,22,466,926,24,8,243,True,False
65,0,0,3,1,25,"f1b3/01",200,0,0,23,1303,1315,36,2,357,True,False
66,0,0,2,1,26,"f1b3/02",200,0,0,23,1303,1314,36,52,357,True,False
67,0,0,1,1,27,"f1b3/03",200,0,0,23,1303,1313,36,8,357,True,False
68,0,0,0,1,29,"f1e4/00",800,0,0,23,346,0,-1,0,204,True,True
69,0,0,0,1,30,"f1e5/00",400,0,0,23,347,0,-1,0,205,True,True
70,3,2,0,1,61,"w1t1/02",200,0,0,24,40,654,-1,0,130,True,False
71,5,4,1,1,110,"l1r1/01",200,0,0,26,478,479,30,16382,174,True,False
72,1,4,1,1,86,"s1h1/01",200,0,0,22,425,1161,-1,0,339,True,False
73,3,3,2,1,62,"w1t2/02",200,0,0,24,41,698,-1,0,131,True,False
74,1,2,0,1,73,"s1t1/02",200,0,0,22,28,725,-1,0,128,True,False
75,0,0,0,1,31,"s1e4/00",800,0,0,22,351,0,-1,0,198,True,True
76,0,0,0,0,0,"",100,0,0,0,0,0,-1,0,0,True,False
77,0,0,0,0,0,"",100,0,0,0,0,0,-1,0,0,True,False
78,0,0,0,1,34,"w1e4/00",400,0,0,24,354,0,-1,0,210,True,True
79,0,0,0,0,0,"",100,0,0,0,0,0,-1,0,0,True,False
80,0,0,0,1,36,"w1e6/00",400,0,0,24,356,0,-1,0,212,True,True
81,0,0,0,1,84,"s1p2/00",400,0,0,22,154,0,-1,0,175,True,False
82,2,4,1,1,66,"f1h1/01",200,0,0,23,426,1165,-1,0,340,True,False
83,3,4,1,1,67,"w1h1/01",200,0,0,24,427,1163,-1,0,341,True,False
84,2,12,2,1,15,"f1d3/02",200,0,0,23,128,874,19,240,167,True,False
85,2,12,3,1,16,"f1d3/03",200,0,0,23,128,875,19,3840,167,True,False
86,4,7,2,1,105,"r1r1/02",200,0,0,25,64,923,25,8128,171,True,False
87,1,1,0,3,131,"region/00",100,0,0,22,22,0,-1,0,0,True,False
88,3,1,0,3,132,"region/02",100,0,0,24,24,0,-1,0,0,True,False
89,2,1,0,3,133,"region/01",100,0,0,23,23,0,-1,0,0,True,False
90,4,1,0,3,134,"region/03",100,0,0,25,25,0,-1,0,0,True,False
91,5,1,0,3,135,"region/04",100,0,0,26,26,0,-1,0,0,True,False
92,10,1,0,2,136,"world/00",100,0,0,21,21,0,-1,0,0,True,False
93,0,0,0,1,291,"w1f4/02",100,0,0,24,45,255,-1,0,146,True,True
94,0,0,0,1,37,"w1e6/00",400,0,0,24,356,0,-1,0,212,True,True
95,0,0,0,1,85,"o1e2/00",400,0,0,22,462,0,-1,0,0,True,False
96,3,14,2,1,64,"w1r1/02",200,0,0,24,47,839,20,96,170,True,False
97,3,14,3,1,65,"w1r1/03",200,0,0,24,47,840,20,1792,170,True,False
98,0,0,2,1,293,"r1fa/02",400,0,0,25,459,0,-1,0,331,True,True
99,0,0,2,1,53,"w1d5/02",200,0,0,24,440,442,26,12,224,True,False
100,0,0,3,1,54,"w1d5/03",200,0,0,24,440,443,26,48,224,True,False
101,0,0,4,1,55,"w1d5/04",200,0,0,24,440,444,26,832,224,True,False
102,0,0,5,1,57,"w1d5/05",200,0,0,24,440,445,26,3072,224,True,False
103,0,0,6,1,56,"w1d5/06",100,0,0,24,440,446,26,61440,224,True,False
104,0,0,7,1,0,"w1d5/07",100,0,0,24,440,0,-1,0,224,True,False
105,0,0,0,1,0,"l1f1/02",400,0,0,26,67,19,-1,0,156,True,True
106,0,0,0,1,0,"default/00",100,0,0,2405,152,0,-1,0,338,True,False
107,0,0,0,1,38,"w1e6/00",400,0,0,24,356,0,-1,0,212,True,True
108,1,15,1,1,95,"s1d4/01",200,0,0,22,230,940,27,6,160,True,False
109,0,0,1,1,0,"s1i1/01",400,0,0,22,1100,1147,-1,0,282,True,False
110,0,0,2,1,0,"s1i2/01",400,0,0,22,1101,1109,-1,0,283,True,False
111,0,0,1,1,0,"s1i2/02",400,0,0,22,1101,1110,-1,0,283,True,False
112,0,0,3,1,0,"s1i2/03",400,0,0,22,1101,1111,-1,0,283,True,False
113,0,0,2,1,0,"s1i3/01",400,0,0,22,1102,1112,-1,0,284,True,False
114,0,0,1,1,0,"s1i3/02",400,0,0,22,1102,1113,-1,0,284,True,False
115,0,0,3,1,0,"s1i3/03",400,0,0,22,1102,1114,-1,0,284,True,False
116,0,0,1,1,0,"f1i1/01",400,0,0,23,1106,1147,-1,0,342,True,False
117,0,0,2,1,0,"f1i2/01",400,0,0,23,1107,1109,-1,0,343,True,False
118,0,0,1,1,0,"f1i2/02",400,0,0,23,1107,1110,-1,0,343,True,False
119,0,0,3,1,0,"f1i2/03",400,0,0,23,1107,1111,-1,0,343,True,False
120,0,0,2,1,0,"f1i3/01",400,0,0,23,1108,1112,-1,0,344,True,False
121,0,0,1,1,0,"f1i3/02",400,0,0,23,1108,1113,-1,0,344,True,False
122,0,0,3,1,0,"f1i3/03",400,0,0,23,1108,1114,-1,0,344,True,False
123,0,0,1,1,0,"w1i1/01",400,0,0,24,1103,1147,-1,0,345,True,False
124,0,0,2,1,0,"w1i2/01",400,0,0,24,1104,1109,-1,0,346,True,False
125,0,0,1,1,0,"w1i2/02",400,0,0,24,1104,1110,-1,0,346,True,False
126,0,0,3,1,0,"w1i2/03",400,0,0,24,1104,1111,-1,0,346,True,False
127,0,0,2,1,0,"w1i3/01",400,0,0,24,1105,1112,-1,0,347,True,False
128,0,0,1,1,0,"w1i3/02",400,0,0,24,1105,1113,-1,0,347,True,False
129,0,0,3,1,0,"w1i3/03",400,0,0,24,1105,1114,-1,0,347,True,False
130,1,15,2,1,96,"s1d4/02",200,0,0,22,230,939,27,248,160,True,False
131,1,15,3,1,97,"s1d4/03",200,0,0,22,230,938,27,768,160,True,False
132,1,15,4,1,98,"s1d4/04",200,0,0,22,230,937,27,1024,160,True,False
133,1,15,5,1,99,"s1d4/05",200,0,0,22,230,936,27,2048,160,True,False
134,1,15,6,1,100,"s1d4/06",200,0,0,22,230,935,27,4096,160,True,False
135,5,4,2,1,111,"l1r1/02",200,0,0,26,478,480,30,49152,174,True,False
136,0,0,0,1,109,"l1e1/00",400,0,0,26,481,0,-1,0,351,True,True
137,2,13,2,1,18,"f1d4/01",200,0,0,23,484,599,28,1922,350,True,False
138,2,13,1,1,17,"f1d4/02",200,0,0,23,484,600,28,124,350,True,False
139,2,13,3,1,19,"f1d4/03",200,0,0,23,484,601,28,63488,350,True,False
140,3,15,1,1,119,"w1d6/01",200,0,0,24,483,849,29,6,349,True,False
141,3,15,2,1,120,"w1d6/02",200,0,0,24,483,850,29,1016,349,True,False
142,3,15,3,1,121,"w1d6/03",200,0,0,24,483,372,29,64512,349,True,False
143,0,0,0,1,0,"w1fb/00",400,0,0,24,477,0,-1,0,348,True,False
