key,0,1,2,3,4,5,6,7,8
#,,,,,,,,,
int32,int32,uint16,uint16,byte,int16,byte,byte,bit&01,bit&02
0,0,0,0,0,0,0,0,False,False
1,0,0,0,0,0,0,0,False,False
2,0,0,0,0,0,0,0,False,False
3,0,0,0,0,0,0,0,False,False
4,0,0,0,0,0,0,0,False,False
5,0,0,0,0,0,0,0,False,False
6,0,0,0,0,0,0,0,False,False
7,0,0,0,0,0,0,0,False,False
8,0,0,0,0,0,0,0,False,False
9,0,0,0,0,0,0,0,False,False
10,0,0,0,0,0,0,0,False,False
11,0,0,0,0,0,0,0,False,False
12,0,0,0,0,0,0,0,False,False
13,0,0,0,0,0,0,0,False,False
14,0,0,0,0,0,0,0,False,False
15,0,0,0,0,0,0,0,False,False
16,0,0,0,0,0,0,0,False,False
17,0,0,0,0,0,0,0,False,False
18,0,0,0,0,0,0,0,False,False
19,0,0,0,0,0,0,0,False,False
20,0,0,0,0,0,0,0,False,False
21,0,0,0,0,0,0,0,False,False
22,0,0,0,0,0,0,0,False,False
23,0,0,0,0,0,0,0,False,False
24,0,0,0,0,0,0,0,False,False
25,0,0,0,0,0,0,0,False,False
26,0,0,0,0,0,0,0,False,False
27,0,0,0,0,0,0,0,False,False
28,0,0,0,0,0,0,0,False,False
29,0,0,0,0,0,0,0,False,False
30,0,0,0,0,0,0,0,False,False
