key,0,1,2,3,4,5,6,7,8,9,10,11
#,,,,,,,,,,,,
int32,byte,byte,byte,byte,uint32,uint32,uint32,byte,byte,uint32,str,str
0,0,0,0,0,0,0,0,0,0,0,"",""
1,1,4,48,20,8373717,8511877,69477,0,0,0,"Kill It with Fire","Clarricie's latest ploy is to send the loathsome seedkin Peerifool into the fray. Its cloying stench alone is enough to repel all but the most steadfast of warriors, and even they will struggle to withstand its relentless assault."
2,1,2,48,20,8374110,8511881,69477,0,0,0,"The Baying of the Hound(s)","Following a series of resounding defeats, the imperial mages have resorted to desperate measures by summoning the ferocious Canis Dirus. Whether each of its three heads is capable of independent thought is unclear, but they are all equally determined to devour as many Resistance fighters as possible."
3,1,1,48,20,8367113,8511882,69477,0,0,0,"Vigil for the Lost","The experimental magitek soldier Dabog has been assigned to pilot Vigilia, the culmination of the Empire's research into scorpion-type warmachina. This unit alone would level the Resistance's base of operations if allowed to draw too close, so every effort must be made to silence it."
4,2,3,1,20,8367033,8511886,69477,0,1,0,"Aces High","Dabog, the magitek-enhanced pilot, takes to the air in one of the most advanced weapons at the Empire's disposal: the flying warmachina known simply as Gabriel. If allowed to continue strafing the Resistance front line, your comrades will have little hope of reaching the enemy castrum."
5,1,4,48,20,8342248,8511887,69477,0,0,0,"The Shadow of Death's Hand","The Empire has unleashed the dreaded Akbaba, a winged fiend that feasts on the corpses of those slain in battle. It is also not opposed to going the extra malm and creating said corpses itself, specifically from members of the Resistance. "
6,1,5,48,20,8367316,8511891,69481,0,0,0,"The Final Furlong","Llofii has freed the experimental monoceros from her former masters and the unlikely pair are making good their escape. Just as it seems they will finally be able to put the Empire behind them, the deadly Spartoi appears to block their path."
7,1,4,48,20,8374867,8511892,69481,0,0,0,"The Hunt for Red Choctober","Unlike their yellow-plumed cousins, the red chocobo is rarely a welcome sight, least of all on the battlefield. None are more belligerent than the particularly large specimen known as Red Comet, who has been a constant nuisance to both sides of the conflict since he first arrived."
8,2,3,1,20,8374963,8511893,69481,0,2,0,"Beast of Man","Known for his unmatched command of a variety of ferocious beasts, Lyon is one of the most feared adversaries the Bozjan Resistance has faced to date. This formidable foe must be overcome for them to have any chance at victory."
9,3,2,24,20,8375462,8511895,69481,0,0,0,"The Fires of War","The mages serving the Empire have decided to pursue a more explosive means of subduing their foes. As such, they have deployed several pyroboli to quite literally level the playing field."
10,1,1,48,20,8374781,8511898,69481,0,0,0,"Patriot Games","The Empire's magitek soldiers possess a wealth of machina with which to torment their foes, but few are more nightmarish than the Patriot. With its far-reaching appendages and all-seeing optical sensors, it is designed to utterly destroy those who would dare violate the borders of Garlean territory. "
11,1,2,24,20,8377121,8511901,69484,0,0,0,"Trampled under Hoof","Though it may seem no more than a rather large and unsightly bovine at first glance, the eale is in fact one of the deadliest creatures at the Empire's command. It also has an extraordinarily high threshold for pain, and is not afraid to dish out a fair share in return."
12,2,3,1,20,8374538,8511905,69484,0,3,0,"And the Flames Went Higher","Of all the mages assigned to the IVth Legion, Sartauvoir quo Soranus is one of the most experienced...and most sadistic. The Bozjan southern front has provided him with the perfect arena to demonstrate his remarkable control of flame and take part in his favorite pastime: burning people alive."
13,1,1,48,20,8367337,8511910,69484,0,0,0,"Metal Fox Chaos","While Sicinius mal Vellutus is known for restoring ancient machinery, he is not one to snub more recent technological advancements. One such example is the Dáinsleif, an impressive nine-tailed warmachina that resembles a fox in appearance and animalistic cunning."
14,1,1,48,20,8377886,8511912,69484,0,0,0,"Rise of the Robots","Sicinius mal Vellutus's apparent obsession with perfecting his series of constructs has given rise to his most dangerous creation yet. If you were to reduce this mechanical fiend to scrap metal, perhaps it would discourage your imperial adversary from any further dabbling. Or perhaps not."
15,1,5,48,20,8367328,8511913,69484,0,0,0,"Where Strode the Behemoth","Chlevnik is the result of experimental combat drugs being used on the corpse of a behemoth, forcing it back to life. Racked with agony, it seeks to exact its revenge on mankind for the terrible fate that has befallen it."
16,4,6,48,20,0,0,69487,1,0,9626,"The Battle of Castrum Lacus Litore","At long last, the enemy stronghold is but a stone's throw away. With your Resistance comrades at your side, all that remains is the final assault."
