key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,Model,,,,Order,Icon,Transient,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,uint16,byte,byte,bit&01,int16,Image,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,0,0,0,False,-1,0,0,"",0,"",0,0,1,0,0
1,2939,1,1,False,0,8001,1,"Parasol",0,"Parasols",0,0,1,0,0
2,2940,1,1,False,1,8002,2,"Sky Blue Parasol",0,"Sky Blue Parasols",0,0,1,0,0
3,3007,1,1,False,2,8003,3,"Vermilion Paper Parasol",0,"Vermilion Paper Parasols",0,0,1,0,0
4,3008,1,1,False,3,8004,4,"Plum Paper Parasol",0,"Plum Paper Parasols",0,0,1,0,0
5,3009,1,1,False,4,8005,5,"Gold Paper Parasol",0,"Gold Paper Parasols",0,0,1,0,0
6,3010,1,1,False,5,8006,6,"Calming Checkered Parasol",0,"Calming Checkered Parasols",0,0,1,0,0
7,3011,1,1,False,6,8007,7,"Cheerful Checkered Parasol",0,"Cheerful Checkered Parasols",0,0,1,0,0
8,3012,1,1,False,7,8008,8,"Classy Checkered Parasol",0,"Classy Checkered Parasols",0,0,1,0,0
9,3042,2,0,True,8,8013,100,"Angel Wings",0,"Angel Wings",0,1,1,0,1
10,3169,1,1,False,9,8012,9,"Gold Parasaucer",0,"Gold Parasaucers",0,0,1,0,0
11,3166,1,1,False,10,8009,10,"Pleasant Dot Parasol",0,"Pleasant Dot Parasols",0,0,1,0,0
12,3167,1,1,False,11,8010,11,"Prim Dot Parasol",0,"Prim Dot Parasols",0,0,1,0,0
13,3168,1,1,False,12,8011,12,"Pastoral Dot Parasol",0,"Pastoral Dot Parasols",0,0,1,0,0
14,3286,1,1,False,13,8014,13,"Fat Cat Parasol",0,"Fat Cat Parasols",0,0,1,0,0
15,3287,1,1,False,14,8015,14,"Great Paraserpent",0,"Great Paraserpents",0,0,1,0,0
16,3288,1,1,False,15,8016,15,"Red Moon Parasol",0,"Red Moon Parasols",0,0,1,0,0
17,3426,2,0,True,16,8017,100,"Fallen Angel Wings",0,"Fallen Angel Wings",0,0,1,0,1
18,3427,2,0,True,17,8018,100,"Archangel Wings",0,"Archangel Wings",0,1,1,0,1
19,3428,3,0,True,18,8019,101,"Diabolos Wings",0,"Diabolos Wings",0,0,1,0,1
20,3429,6,0,True,19,8020,102,"Pixie Wings",0,"Pixie Wings",0,0,1,0,1
21,0,0,0,False,0,0,0,"",0,"",0,0,0,0,0
22,3431,5,0,True,21,8022,200,"False Spectacles",0,"False Spectacles",0,0,1,0,1
23,0,0,0,False,0,0,0,"",0,"",0,0,0,0,0
24,0,0,0,False,0,0,0,"",0,"",0,0,0,0,0
25,0,0,0,False,0,0,0,"",0,"",0,0,0,0,0
26,0,0,0,False,0,0,0,"",0,"",0,0,0,0,0
27,0,0,0,False,0,0,0,"",0,"",0,0,0,0,0
28,0,0,0,False,0,0,0,"",0,"",0,0,0,0,0
29,0,0,0,False,0,0,0,"",0,"",0,0,0,0,0
30,0,0,0,False,0,0,0,"",0,"",0,0,0,0,0
