key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Model,,,,,Order,Icon,Transient,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,uint16,byte,byte,byte,uint16,int16,Image,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,0,0,0,0,0,-1,0,0,"",0,"",0,0,1,0,0
1,2939,1,1,1,2,0,8001,1,"Parasol",0,"Parasols",0,0,1,0,0
2,2940,1,1,1,2,1,8002,2,"Sky Blue Parasol",0,"Sky Blue Parasols",0,0,1,0,0
3,3007,1,1,1,2,2,8003,3,"Vermilion Paper Parasol",0,"Vermilion Paper Parasols",0,0,1,0,0
4,3008,1,1,1,2,3,8004,4,"Plum Paper Parasol",0,"Plum Paper Parasols",0,0,1,0,0
5,3009,1,1,1,2,4,8005,5,"Gold Paper Parasol",0,"Gold Paper Parasols",0,0,1,0,0
6,3010,1,1,1,2,5,8006,6,"Calming Checkered Parasol",0,"Calming Checkered Parasols",0,0,1,0,0
7,3011,1,1,1,2,6,8007,7,"Cheerful Checkered Parasol",0,"Cheerful Checkered Parasols",0,0,1,0,0
8,3012,1,1,1,2,7,8008,8,"Classy Checkered Parasol",0,"Classy Checkered Parasols",0,0,1,0,0
9,3042,2,0,2,0,8,8013,100,"Angel Wings",0,"Angel Wings",0,1,1,0,1
10,3169,1,1,1,2,9,8012,9,"Gold Parasaucer",0,"Gold Parasaucers",0,0,1,0,0
11,3166,1,1,1,2,10,8009,10,"Pleasant Dot Parasol",0,"Pleasant Dot Parasols",0,0,1,0,0
12,3167,1,1,1,2,11,8010,11,"Prim Dot Parasol",0,"Prim Dot Parasols",0,0,1,0,0
13,3168,1,1,1,2,12,8011,12,"Pastoral Dot Parasol",0,"Pastoral Dot Parasols",0,0,1,0,0
14,3286,1,1,1,2,13,8014,13,"Fat Cat Parasol",0,"Fat Cat Parasols",0,0,1,0,0
15,3287,1,1,1,2,14,8015,14,"Great Paraserpent",0,"Great Paraserpents",0,0,1,0,0
16,3288,1,1,1,2,15,8016,15,"Red Moon Parasol",0,"Red Moon Parasols",0,0,1,0,0
17,3426,2,0,2,0,16,8017,100,"Fallen Angel Wings",0,"Fallen Angel Wings",0,0,1,0,1
18,3427,2,0,2,0,17,8018,100,"Archangel Wings",0,"Archangel Wings",0,1,1,0,1
19,3428,3,0,2,0,18,8019,101,"Diabolos Wings",0,"Diabolos Wings",0,0,1,0,1
20,3429,6,0,2,0,19,8020,102,"Pixie Wings",0,"Pixie Wings",0,0,1,0,1
21,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
22,3431,5,0,2,0,21,786,200,"False Spectacles",0,"False Spectacles",0,0,1,0,1
23,3611,1,1,1,2,22,8023,16,"White Lace Parasol",0,"White Lace Parasols",0,0,1,0,0
24,3612,1,1,1,2,23,8024,17,"Blue Blossom Parasol",0,"Blue Blossom Parasols",0,0,1,0,0
25,3613,5,0,2,0,24,786,201,"False Shaded Spectacles",0,"False Shaded Spectacles",0,0,1,0,1
26,3614,7,0,2,0,25,786,202,"False Classic Spectacles",0,"False Classic Spectacles",0,0,1,0,1
27,3701,1,1,1,2,26,8027,18,"Sabotender Parasol",0,"Sabotender Parasols",0,0,1,0,1
28,3702,6,0,2,0,27,8028,102,"Bluepowder Pixie Wings",0,"Bluepowder Pixie Wings",0,0,1,0,1
29,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
30,3815,1,1,1,2,28,8029,19,"Felicitous Furball Umbrella",0,"Felicitous Furball Umbrellas",0,0,1,0,0
31,3816,1,1,1,2,29,8030,20,"Raindrop Defense System",0,"Raindrop Defense Systems",0,0,1,0,0
32,3884,8,0,2,0,30,786,203,"Rose-colored Spectacles",0,"Rose-colored Spectacles",0,0,1,0,0
33,3885,1,1,1,2,31,8031,22,"Tsukumogami Parasol",0,"Tsukumogami Parasols",0,0,1,0,0
34,3886,1,1,1,2,32,8032,21,"Tactful Taskmaster Umbrella",0,"Tactful Taskmaster Umbrellas",0,0,1,0,0
35,3928,9,0,2,0,33,8037,300,"Knapsack",0,"Knapsacks",0,0,1,0,0
36,4016,6,0,2,0,34,8034,103,"Statice's Wings",0,"Statice's Wings",0,0,1,0,0
37,4017,1,1,1,2,35,8035,24,"Giant Leaf Parasol",0,"Giant Leaf Parasols",0,0,1,0,0
38,4018,1,1,1,2,36,8036,23,"Colorful Carrotsol",0,"Colorful Carrotsols",0,0,1,0,0
39,4240,1,1,1,2,37,8038,25,"Neon Parasol",0,"Neon Parasols",0,0,1,0,0
40,4241,1,1,1,2,38,8039,26,"Ribboned Parasol",0,"Ribboned Parasols",0,0,1,0,0
41,4242,1,1,1,2,39,8040,27,"Bomb Parasol",0,"Bomb Parasols",0,0,1,0,0
42,4406,1,1,1,2,40,8041,28,"Mandragora Parasol",0,"Mandragora Parasols",0,0,1,0,0
43,4407,1,1,1,2,41,8042,29,"Archon Egg Parasol",0,"Archon Egg Parasols",0,1,1,0,0
44,4408,9,0,2,0,42,8043,301,"Pelupack",0,"Pelupacks",0,0,1,0,0
45,4512,1,1,1,2,43,8044,30,"Black Embroidered Parasol",0,"Black Embroidered Parasols",0,0,1,0,0
46,4511,1,1,1,2,44,8045,31,"White Embroidered Parasol",0,"White Embroidered Parasols",0,0,1,0,0
47,4513,1,1,1,2,45,8046,32,"Loparasol",0,"Loparasols",0,0,1,0,0
48,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0
