key,0,1,2,3
#,AquariumWater,Size,Item,
int32,AquariumWater,byte,Item,uint16
0,0,0,0,0
2,1,1,4948,40
3,2,1,4876,49
4,2,2,4886,7
5,1,2,4979,54
6,1,2,4959,31
7,1,2,4951,13
8,1,3,12721,52
9,1,3,8776,61
10,2,3,4918,98
11,2,4,4903,3
12,2,4,4917,28
13,2,4,7941,7
14,1,4,12803,41
15,1,1,4926,19
16,2,1,4874,46
17,1,2,7940,19
18,1,2,7902,41
19,2,2,4883,42
20,1,3,5000,2
21,1,3,12749,57
22,2,3,4908,127
23,2,4,4922,10
24,1,4,8774,23
25,1,1,12739,118
26,2,1,20048,151
27,1,2,5011,6
28,1,2,7699,28
29,1,2,4973,73
30,2,2,4898,8
31,1,2,4905,85
32,2,3,7924,3
33,2,4,4924,13
34,2,4,20018,67
35,1,1,4970,21
36,2,1,4879,63
37,1,2,12743,101
38,1,2,5023,131
39,1,2,20052,153
40,1,2,20220,217
41,1,2,20221,218
42,1,3,5025,40
43,2,3,20054,156
44,2,4,4923,12
45,1,1,20021,132
46,2,1,20162,200
47,1,2,5007,78
48,1,2,20051,152
49,1,2,20053,154
50,2,2,20145,194
51,2,2,20186,207
52,1,3,20228,194
53,2,3,20171,174
54,1,1,20211,216
55,1,1,21178,227
56,2,2,20038,149
57,2,2,20100,175
58,1,2,20183,205
59,1,2,20193,209
60,1,2,21177,226
61,2,3,4893,29
62,1,3,7943,132
63,2,4,23054,2
64,1,4,8762,17
65,1,1,17590,125
66,1,2,4986,68
67,1,2,12750,107
68,1,2,12768,110
69,1,2,12764,117
70,1,2,12741,129
71,1,2,20185,206
72,1,3,20204,186
73,2,3,21176,199
74,1,4,12752,18
