key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,,,,,,,,,,,,,
int32,byte,uint32,uint32,uint32,uint32,uint32,bit&01,bit&02,uint32,uint32,uint32,uint32,uint32
0,0,0,0,0,0,0,False,False,0,0,0,0,0
1,0,0,0,0,0,0,False,False,0,0,0,0,0
2,0,0,0,0,0,0,False,False,0,0,0,0,0
3,0,0,0,0,0,0,False,False,0,0,0,0,0
4,0,0,0,0,0,0,False,False,0,0,0,0,0
5,0,0,0,0,0,0,False,False,0,0,0,0,0
6,0,0,0,0,0,0,False,False,0,0,0,0,0
7,0,0,0,0,0,0,False,False,0,0,0,0,0
8,0,0,0,0,0,0,False,False,0,0,0,0,0
9,0,0,0,0,0,0,False,False,0,0,0,0,0
10,0,0,0,0,0,0,False,False,0,0,0,0,0
11,0,0,0,0,0,0,False,False,0,0,0,0,0
12,0,0,0,0,0,0,False,False,0,0,0,0,0
13,0,0,0,0,0,0,False,False,0,0,0,0,0
