key,0,1,2,3,4
#,,Model,NpcYell,,ResidentMotionType
int32,byte,int64,NpcYell,uint16,ResidentMotionType
0.0,0,"0, 0, 0, 0",0,0,0
1.0,2,"1, 0, 0, 0",0,0,0
1.1,2,"2, 0, 0, 0",0,0,0
1.2,2,"3, 0, 0, 0",0,0,0
1.3,2,"4, 0, 0, 0",0,0,0
1.4,2,"5, 0, 0, 0",0,0,0
1.5,3,"9, 0, 0, 0",1860,0,1
1.6,3,"31, 0, 0, 0",1860,0,3
1.7,3,"3617, 0, 0, 0",1860,0,8
1.8,3,"16137, 0, 0, 0",1860,0,41
1.9,3,"-28591, 0, 0, 0",1860,0,2
1.10,3,"16479, 0, 0, 0",1860,0,4
1.11,3,"2240, 0, 0, 0",1860,0,6
1.12,3,"7477, 0, 0, 0",1860,0,39
1.13,3,"3577, 0, 0, 0",1860,0,0
1.14,3,"3579, 0, 0, 0",1860,0,0
1.15,3,"-28532, 0, 0, 0",1860,0,0
1.16,3,"16495, 0, 0, 0",1860,0,5
1.17,3,"7411, 0, 0, 0",1860,0,7
1.18,3,"15989, 0, 0, 0",1860,0,42
1.19,3,"15990, 0, 0, 0",1860,0,42
1.20,3,"135, 0, 0, 0",1860,0,0
1.21,3,"25859, 0, 0, 0",1860,0,0
1.22,3,"185, 0, 0, 0",1860,0,12
1.23,3,"25865, 0, 0, 0",1860,0,0
1.24,3,"3610, 0, 0, 0",1860,0,0
1.25,3,"25871, 0, 0, 0",1860,0,0
1.26,3,"7533, 0, 0, 0",1860,0,13
1.27,3,"7537, 0, 0, 0",1860,0,13
1.28,3,"7538, 0, 0, 0",1860,0,13
1.29,3,"7571, 0, 0, 0",1860,0,17
1.30,7,"1911, 1, 1, 0",0,0,0
1.31,7,"619, 1, 1, 0",0,0,0
1.32,7,"694, 1, 1, 0",0,0,0
1.33,7,"1903, 1, 1, 0",0,0,0
1.34,7,"1902, 1, 1, 0",0,0,0
1.35,7,"9101, 1, 1, 0",0,0,0
1.36,7,"9102, 1, 1, 0",0,0,0
1.37,7,"1912, 1, 1, 0",0,0,0
1.38,4,"152, 0, 0, 0",1860,0,0
1.39,5,"474, 0, 0, 0",0,0,0
1.40,5,"483, 0, 0, 0",0,0,0
1.41,5,"526, 0, 0, 0",0,0,0
1.42,5,"527, 0, 0, 0",0,0,0
1.43,5,"2225, 0, 0, 0",0,0,0
1.44,5,"2226, 0, 0, 0",0,0,0
1.45,5,"2227, 0, 0, 0",0,0,0
1.46,5,"2228, 0, 0, 0",0,0,0
1.47,5,"2229, 0, 0, 0",0,0,0
1.48,5,"2230, 0, 0, 0",0,0,0
1.49,5,"2151, 0, 0, 0",0,0,0
