key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,,,,ActionTimeline{Pose}[0],ActionTimeline{Pose}[1],ActionTimeline{Pose}[2],,,,,,,,,,,,,Text[0],Text[1],Text[2]
int32,uint32,byte,byte,byte,byte,ActionTimeline,ActionTimeline,ActionTimeline,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,bit&01,bit&01,bit&01,str,str,str
589824,0,1,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,False,False,False,"Emphatic talk shape, conversation motion.","Document talk shape, looped behavior gestures.","Eerie talk shape, looped angry gestures."
589825,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589826,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Y!","R!","P!"
589827,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Ahhh, that was grrreat! <burp>","I tell ye, ain't no place what serves tastier meals than here!","0"
589828,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"Basic stance and standing reaction test. (Handing over item.)","Shifting to “behavior reaction greeting.”","0"
589829,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"Basic stance and standing reaction test. (Receiving item.)","Shifting to “behavior reaction thinking.”","0"
589830,0,1,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,True,True,False,"Basic stance and standing reaction test. (Conversation item.)","Shifting to “behavior reaction anger.”","0"
589831,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Normal seated → normal stance → standing reaction.","0","0"
589832,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Flashy stance → normal stance → standing reaction.","0","0"
