key,0,1
#,,
int32,str,str
0,"TEXT_BANDWA101_03902_SEQ_00","Regitt has the look of a dwarf with work to share.

※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest."
1,"TEXT_BANDWA101_03902_SEQ_01","Speak with the dwarven tinkerer at the Ostall Imperative."
2,"TEXT_BANDWA101_03902_SEQ_02","Deliver the requested items to the dwarven tinkerer."
3,"TEXT_BANDWA101_03902_SEQ_03","Report to Regitt."
4,"TEXT_BANDWA101_03902_SEQ_04",""
5,"TEXT_BANDWA101_03902_SEQ_05",""
6,"TEXT_BANDWA101_03902_SEQ_06",""
7,"TEXT_BANDWA101_03902_SEQ_07",""
8,"TEXT_BANDWA101_03902_SEQ_08",""
9,"TEXT_BANDWA101_03902_SEQ_09",""
10,"TEXT_BANDWA101_03902_SEQ_10",""
11,"TEXT_BANDWA101_03902_SEQ_11",""
12,"TEXT_BANDWA101_03902_SEQ_12",""
13,"TEXT_BANDWA101_03902_SEQ_13",""
14,"TEXT_BANDWA101_03902_SEQ_14",""
15,"TEXT_BANDWA101_03902_SEQ_15",""
16,"TEXT_BANDWA101_03902_SEQ_16",""
17,"TEXT_BANDWA101_03902_SEQ_17",""
18,"TEXT_BANDWA101_03902_SEQ_18",""
19,"TEXT_BANDWA101_03902_SEQ_19",""
20,"TEXT_BANDWA101_03902_SEQ_20",""
21,"TEXT_BANDWA101_03902_SEQ_21",""
22,"TEXT_BANDWA101_03902_SEQ_22",""
23,"TEXT_BANDWA101_03902_SEQ_23",""
24,"TEXT_BANDWA101_03902_TODO_00","Speak with the dwarven tinkerer at the Ostall Imperative."
