key,0,1
#,,
int32,str,str
0,"TEXT_BANDWA120_03921_SEQ_00","Regitt feels the need to develop more robust armor plating.

※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest."
1,"TEXT_BANDWA120_03921_SEQ_01","Speak with the dwarven surveyor near Radisca's Round."
2,"TEXT_BANDWA120_03921_SEQ_02","The dwarven surveyor has tasked you with crafting an experimental armor plating component, then delivering the completed item to Regitt."
3,"TEXT_BANDWA120_03921_SEQ_03",""
4,"TEXT_BANDWA120_03921_SEQ_04",""
5,"TEXT_BANDWA120_03921_SEQ_05",""
6,"TEXT_BANDWA120_03921_SEQ_06",""
7,"TEXT_BANDWA120_03921_SEQ_07",""
8,"TEXT_BANDWA120_03921_SEQ_08",""
9,"TEXT_BANDWA120_03921_SEQ_09",""
10,"TEXT_BANDWA120_03921_SEQ_10",""
11,"TEXT_BANDWA120_03921_SEQ_11",""
12,"TEXT_BANDWA120_03921_SEQ_12",""
13,"TEXT_BANDWA120_03921_SEQ_13",""
14,"TEXT_BANDWA120_03921_SEQ_14",""
15,"TEXT_BANDWA120_03921_SEQ_15",""
16,"TEXT_BANDWA120_03921_SEQ_16",""
17,"TEXT_BANDWA120_03921_SEQ_17",""
18,"TEXT_BANDWA120_03921_SEQ_18",""
19,"TEXT_BANDWA120_03921_SEQ_19",""
20,"TEXT_BANDWA120_03921_SEQ_20",""
21,"TEXT_BANDWA120_03921_SEQ_21",""
22,"TEXT_BANDWA120_03921_SEQ_22",""
23,"TEXT_BANDWA120_03921_SEQ_23",""
24,"TEXT_BANDWA120_03921_TODO_00","Speak with the dwarven surveyor near Radisca's Round."
