0,"TEXT_SUBGSC101_00436_SEQ_00","Wer auf der Suche nach dem Rausch der Geschwindigkeit ist, ist im Manderville Gold Saucer genau richtig."
1,"TEXT_SUBGSC101_00436_SEQ_01","Du wurdest dazu eingeladen, an den Chocobo-Rennen teilzunehmen, die im Manderville Gold Saucer stattfinden. Dazu musst du dir jedoch zun\xc3\xa4chst einen abgerichteten Renn-Chocobo zulegen. Statte dem Gest\xc3\xbct \xe2\x80\x9eMogry-Stolz\xe2\x80\x9c bei Gut Zwieselgrund in Gridania einen Besuch ab, und sprich dort mit K\xc3\xa4tering, um mehr \xc3\xbcber Renn-Chocobos zu erfahren."
2,"TEXT_SUBGSC101_00436_SEQ_02","Mit K\xc3\xa4terings Hilfe bist du in der Lage, einen geeigneten Vogel auszuw\xc3\xa4hlen, der dir als Renn-Chocobo dienen wird. Die Trainerin stattet dich zudem mit den notwendigen Unterlagen aus, um deinen Chocobo im Gold Saucer zu registrieren. Damit r\xc3\xbcckt dein Deb\xc3\xbct in greifbare N\xc3\xa4he ..."
3,"TEXT_SUBGSC101_00436_SEQ_03",
4,"TEXT_SUBGSC101_00436_SEQ_04",
5,"TEXT_SUBGSC101_00436_SEQ_05",
6,"TEXT_SUBGSC101_00436_SEQ_06",
7,"TEXT_SUBGSC101_00436_SEQ_07",
8,"TEXT_SUBGSC101_00436_SEQ_08",
9,"TEXT_SUBGSC101_00436_SEQ_09",
10,"TEXT_SUBGSC101_00436_SEQ_10",
11,"TEXT_SUBGSC101_00436_SEQ_11",
12,"TEXT_SUBGSC101_00436_SEQ_12",
13,"TEXT_SUBGSC101_00436_SEQ_13",
14,"TEXT_SUBGSC101_00436_SEQ_14",
15,"TEXT_SUBGSC101_00436_SEQ_15",
16,"TEXT_SUBGSC101_00436_SEQ_16",
17,"TEXT_SUBGSC101_00436_SEQ_17",
18,"TEXT_SUBGSC101_00436_SEQ_18",
19,"TEXT_SUBGSC101_00436_SEQ_19",
20,"TEXT_SUBGSC101_00436_SEQ_20",
21,"TEXT_SUBGSC101_00436_SEQ_21",
22,"TEXT_SUBGSC101_00436_SEQ_22",
23,"TEXT_SUBGSC101_00436_SEQ_23",
24,"TEXT_SUBGSC101_00436_TODO_00","Mit K\xc3\xa4tering am Gut Zwieselgrund sprechen"
25,"TEXT_SUBGSC101_00436_TODO_01",
26,"TEXT_SUBGSC101_00436_TODO_02",
27,"TEXT_SUBGSC101_00436_TODO_03",
28,"TEXT_SUBGSC101_00436_TODO_04",
29,"TEXT_SUBGSC101_00436_TODO_05",
30,"TEXT_SUBGSC101_00436_TODO_06",
31,"TEXT_SUBGSC101_00436_TODO_07",
32,"TEXT_SUBGSC101_00436_TODO_08",
33,"TEXT_SUBGSC101_00436_TODO_09",
34,"TEXT_SUBGSC101_00436_TODO_10",
35,"TEXT_SUBGSC101_00436_TODO_11",
36,"TEXT_SUBGSC101_00436_TODO_12",
