key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMA202_03283_SEQ_00","Whatever Szem Djenmai has to tell you, he plainly deems it worthy of your undivided attention."
1,"TEXT_LUCKMA202_03283_SEQ_01",""
2,"TEXT_LUCKMA202_03283_SEQ_02",""
3,"TEXT_LUCKMA202_03283_SEQ_03",""
4,"TEXT_LUCKMA202_03283_SEQ_04",""
5,"TEXT_LUCKMA202_03283_SEQ_05",""
6,"TEXT_LUCKMA202_03283_SEQ_06",""
7,"TEXT_LUCKMA202_03283_SEQ_07",""
8,"TEXT_LUCKMA202_03283_SEQ_08",""
9,"TEXT_LUCKMA202_03283_SEQ_09",""
10,"TEXT_LUCKMA202_03283_SEQ_10",""
11,"TEXT_LUCKMA202_03283_SEQ_11",""
12,"TEXT_LUCKMA202_03283_SEQ_12",""
13,"TEXT_LUCKMA202_03283_SEQ_13",""
14,"TEXT_LUCKMA202_03283_SEQ_14",""
15,"TEXT_LUCKMA202_03283_SEQ_15",""
16,"TEXT_LUCKMA202_03283_SEQ_16",""
17,"TEXT_LUCKMA202_03283_SEQ_17",""
18,"TEXT_LUCKMA202_03283_SEQ_18",""
19,"TEXT_LUCKMA202_03283_SEQ_19",""
20,"TEXT_LUCKMA202_03283_SEQ_20",""
21,"TEXT_LUCKMA202_03283_SEQ_21",""
22,"TEXT_LUCKMA202_03283_SEQ_22",""
23,"TEXT_LUCKMA202_03283_SEQ_23",""
24,"TEXT_LUCKMA202_03283_TODO_00","Deliver the lake thyme to Eybor."
25,"TEXT_LUCKMA202_03283_TODO_01","Wait for Alphinaud."
26,"TEXT_LUCKMA202_03283_TODO_02","Search the field for vermin to exterminate."
27,"TEXT_LUCKMA202_03283_TODO_03","Knock on the barred door."
28,"TEXT_LUCKMA202_03283_TODO_04","Knock on the barred door again."
29,"TEXT_LUCKMA202_03283_TODO_05","Knock on the barred door a third time."
30,"TEXT_LUCKMA202_03283_TODO_06","Speak with Theva."
31,"TEXT_LUCKMA202_03283_TODO_07",""
32,"TEXT_LUCKMA202_03283_TODO_08",""
33,"TEXT_LUCKMA202_03283_TODO_09",""
34,"TEXT_LUCKMA202_03283_TODO_10",""
35,"TEXT_LUCKMA202_03283_TODO_11",""
36,"TEXT_LUCKMA202_03283_TODO_12",""
