0,TEXT_CLSLNC000_00023_SEQ_00,"À la réception de la guilde des maîtres d'hast, Jillian a pour rôle de guider les gens désireux d'apprendre le maniement de l'arme d'hast."
1,TEXT_CLSLNC000_00023_SEQ_01,"Jillian vous a recommandé de parler à Ywain, le chef de la guilde des maîtres d'hast. Il se trouve dans la salle d'en­traî­ne­ment, au fond de la guilde."
2,TEXT_CLSLNC000_00023_SEQ_02,"Ywain vous a acceptée au sein de la guilde des maîtres d'hast. Pour apprendre les bases de cet art martial, vous devez d'abord vous entraîner en combattant trois écureuils, trois coccinelles et trois fungi des forêts."
3,TEXT_CLSLNC000_00023_SEQ_03,Vous avez vaincu tous les monstres. Retournez à la guilde des maîtres d'hast et parlez à Ywain.
4,TEXT_CLSLNC000_00023_SEQ_04,"Ywain vous a laissé entendre que les techniques n'étaient pas chose importante à votre niveau, mais qu'un en­traî­ne­ment sans relâche et une détermination à toute épreuve étaient la source de la force d'un maître d'hast. Suivez le conseil du chef de la guilde et maniez votre arme sans répit.
* Ywain propose la prochaine quête aux maîtres d'hast de niveau 5."
5,TEXT_CLSLNC000_00023_SEQ_05,
6,TEXT_CLSLNC000_00023_SEQ_06,
7,TEXT_CLSLNC000_00023_SEQ_07,
8,TEXT_CLSLNC000_00023_SEQ_08,
9,TEXT_CLSLNC000_00023_SEQ_09,
10,TEXT_CLSLNC000_00023_SEQ_10,
11,TEXT_CLSLNC000_00023_SEQ_11,
12,TEXT_CLSLNC000_00023_SEQ_12,
13,TEXT_CLSLNC000_00023_SEQ_13,
14,TEXT_CLSLNC000_00023_SEQ_14,
15,TEXT_CLSLNC000_00023_SEQ_15,
16,TEXT_CLSLNC000_00023_SEQ_16,
17,TEXT_CLSLNC000_00023_SEQ_17,
18,TEXT_CLSLNC000_00023_SEQ_18,
19,TEXT_CLSLNC000_00023_SEQ_19,
20,TEXT_CLSLNC000_00023_SEQ_20,
21,TEXT_CLSLNC000_00023_SEQ_21,
22,TEXT_CLSLNC000_00023_SEQ_22,
23,TEXT_CLSLNC000_00023_SEQ_23,
24,TEXT_CLSLNC000_00023_TODO_00,Parler à Ywain
25,TEXT_CLSLNC000_00023_TODO_01,Tuer des écureuils (maître d'hast)
26,TEXT_CLSLNC000_00023_TODO_02,Tuer des coccinelles (maître d'hast)
27,TEXT_CLSLNC000_00023_TODO_03,Tuer des fungi des forêts (maître d'hast)
28,TEXT_CLSLNC000_00023_TODO_04,Parler à Ywain
29,TEXT_CLSLNC000_00023_TODO_05,
30,TEXT_CLSLNC000_00023_TODO_06,
31,TEXT_CLSLNC000_00023_TODO_07,
32,TEXT_CLSLNC000_00023_TODO_08,
33,TEXT_CLSLNC000_00023_TODO_09,
34,TEXT_CLSLNC000_00023_TODO_10,
35,TEXT_CLSLNC000_00023_TODO_11,
36,TEXT_CLSLNC000_00023_TODO_12,
37,TEXT_CLSLNC000_00023_TODO_13,
38,TEXT_CLSLNC000_00023_TODO_14,
39,TEXT_CLSLNC000_00023_TODO_15,
40,TEXT_CLSLNC000_00023_TODO_16,
41,TEXT_CLSLNC000_00023_TODO_17,
42,TEXT_CLSLNC000_00023_TODO_18,
43,TEXT_CLSLNC000_00023_TODO_19,
44,TEXT_CLSLNC000_00023_TODO_20,
45,TEXT_CLSLNC000_00023_TODO_21,
46,TEXT_CLSLNC000_00023_TODO_22,
47,TEXT_CLSLNC000_00023_TODO_23,
48,TEXT_CLSLNC000_00023_JILLIAN_000_1,L'art de l'hast vous intéresse-t-il ? Souhaitez-vous rejoindre notre guilde ?
49,TEXT_CLSLNC000_00023_JILLIAN_000_2,"Vous hésitez encore ? Vous n'avez pas tort, la décision de rejoindre la guilde des maîtres d'hast ne doit pas se prendre à la légère. Réfléchissez-y bien."
50,TEXT_CLSLNC000_00023_JILLIAN_000_3,"Prenez tout le temps qu'il vous faudra, nos portes sont toujours ouvertes. Revenez me parler lorsque vous vous serez décidée."
51,TEXT_CLSLNC000_00023_JILLIAN_000_5,"Très bien, nous sommes toujours prêts à accueillir de nouveaux élèves."
52,TEXT_CLSLNC000_00023_JILLIAN_000_6,Ywain est le maître de la guilde. Allez lui annoncer votre volonté de suivre notre voie.
