0,TEXT_BANPEL113_05211_SEQ_00,"**Règle spéciale :  synchronisation de quête avec limitation de job ou de classe**
*Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.*

Yubli a décidé de remplir ses stocks d'encens protecteur."
1,TEXT_BANPEL113_05211_SEQ_01,（★未使用／削除予定★）
2,TEXT_BANPEL113_05211_SEQ_02,（★未使用／削除予定★）
3,TEXT_BANPEL113_05211_SEQ_03,
4,TEXT_BANPEL113_05211_SEQ_04,
5,TEXT_BANPEL113_05211_SEQ_05,
6,TEXT_BANPEL113_05211_SEQ_06,
7,TEXT_BANPEL113_05211_SEQ_07,
8,TEXT_BANPEL113_05211_SEQ_08,
9,TEXT_BANPEL113_05211_SEQ_09,
10,TEXT_BANPEL113_05211_SEQ_10,
11,TEXT_BANPEL113_05211_SEQ_11,
12,TEXT_BANPEL113_05211_SEQ_12,
13,TEXT_BANPEL113_05211_SEQ_13,
14,TEXT_BANPEL113_05211_SEQ_14,
15,TEXT_BANPEL113_05211_SEQ_15,
16,TEXT_BANPEL113_05211_SEQ_16,
17,TEXT_BANPEL113_05211_SEQ_17,
18,TEXT_BANPEL113_05211_SEQ_18,
19,TEXT_BANPEL113_05211_SEQ_19,
20,TEXT_BANPEL113_05211_SEQ_20,
21,TEXT_BANPEL113_05211_SEQ_21,
22,TEXT_BANPEL113_05211_SEQ_22,
23,TEXT_BANPEL113_05211_SEQ_23,
24,TEXT_BANPEL113_05211_TODO_00,Utiliser  sur des fleurs parfumées près de Xodune pour récolter du nectar
25,TEXT_BANPEL113_05211_TODO_01,Apporter  à Yubli
26,TEXT_BANPEL113_05211_TODO_02,
27,TEXT_BANPEL113_05211_TODO_03,
28,TEXT_BANPEL113_05211_TODO_04,
29,TEXT_BANPEL113_05211_TODO_05,
30,TEXT_BANPEL113_05211_TODO_06,
31,TEXT_BANPEL113_05211_TODO_07,
32,TEXT_BANPEL113_05211_TODO_08,
33,TEXT_BANPEL113_05211_TODO_09,
34,TEXT_BANPEL113_05211_TODO_10,
35,TEXT_BANPEL113_05211_TODO_11,
36,TEXT_BANPEL113_05211_TODO_12,
37,TEXT_BANPEL113_05211_TODO_13,
38,TEXT_BANPEL113_05211_TODO_14,
39,TEXT_BANPEL113_05211_TODO_15,
40,TEXT_BANPEL113_05211_TODO_16,
41,TEXT_BANPEL113_05211_TODO_17,
42,TEXT_BANPEL113_05211_TODO_18,
43,TEXT_BANPEL113_05211_TODO_19,
44,TEXT_BANPEL113_05211_TODO_20,
45,TEXT_BANPEL113_05211_TODO_21,
46,TEXT_BANPEL113_05211_TODO_22,
47,TEXT_BANPEL113_05211_TODO_23,
48,TEXT_BANPEL113_05211_YUBLI_000_000,"Dans le cadre de notre lutte incessante contre les monstres empêcheurs de faire du tourisme en rond, nous utilisons un encens protecteur lors de nos visites les plus risquées. Mal­heu­reu­se­ment, nos réserves commencent à avoir mauvaise mine..."
49,TEXT_BANPEL113_05211_YUBLI_000_001,J'ai donc décidé de m'en remettre à vous pour les remplir dare-dare ! Prenez ces récolteurs pelupelu et rendez-vous à Xodune pour trouver des fleurs parfumées et recueillir leur nectar.
50,TEXT_BANPEL113_05211_YUBLI_000_002,"Une fois que vous en aurez deux fioles bien remplies, apportez-les-moi et je m'occuperai de la préparation de l'encens. Hop hop hop, et merci d'avance !"
51,TEXT_BANPEL113_05211_YUBLI_000_010,Vous revoilà ! Je suppose que vous m'apportez donc deux fioles remplies à ras bord de nectar parfumé ?
52,TEXT_BANPEL113_05211_YUBLI_000_020,"Mais oui, c'est exactement ce dont j'avais besoin ! Bon, je joue un peu au surpris, mais je savais très bien que ce ne serait qu'une formalité pour vous, héhé."
53,TEXT_BANPEL113_05211_YUBLI_000_021,"La recette pour fabriquer de l'encens protecteur à partir de ce nectar me vient des Hanu Hanu. Étrangement, malgré son parfum agréable, il fonctionne à merveille pour repousser les monstres de Kozama'uka !"
54,TEXT_BANPEL113_05211_YUBLI_000_022,"Ça tombe bien, car nous pouvons en emporter pendant nos excursions sans que les touristes ne se sentent gênés. Et grâce à vous, nous en avons maintenant de bonnes réserves bien remplies ! Merci infiniment, Player."
