0,TEXT_BANMAM124_05284_SEQ_00,"**Règle spéciale :  synchronisation de quête avec limitation de job ou de classe**
** Il n'est possible de progresser dans cette quête qu'avec la classe qui a servi à la commencer.*

Kageel Ja a besoin d'améliorer les lanternes arcaniques."
1,TEXT_BANMAM124_05284_SEQ_01,Livrer ce qui vous a été demandé à Kageel Ja
2,TEXT_BANMAM124_05284_SEQ_02,
3,TEXT_BANMAM124_05284_SEQ_03,
4,TEXT_BANMAM124_05284_SEQ_04,
5,TEXT_BANMAM124_05284_SEQ_05,
6,TEXT_BANMAM124_05284_SEQ_06,
7,TEXT_BANMAM124_05284_SEQ_07,
8,TEXT_BANMAM124_05284_SEQ_08,
9,TEXT_BANMAM124_05284_SEQ_09,
10,TEXT_BANMAM124_05284_SEQ_10,
11,TEXT_BANMAM124_05284_SEQ_11,
12,TEXT_BANMAM124_05284_SEQ_12,
13,TEXT_BANMAM124_05284_SEQ_13,
14,TEXT_BANMAM124_05284_SEQ_14,
15,TEXT_BANMAM124_05284_SEQ_15,
16,TEXT_BANMAM124_05284_SEQ_16,
17,TEXT_BANMAM124_05284_SEQ_17,
18,TEXT_BANMAM124_05284_SEQ_18,
19,TEXT_BANMAM124_05284_SEQ_19,
20,TEXT_BANMAM124_05284_SEQ_20,
21,TEXT_BANMAM124_05284_SEQ_21,
22,TEXT_BANMAM124_05284_SEQ_22,
23,TEXT_BANMAM124_05284_SEQ_23,
24,TEXT_BANMAM124_05284_TODO_00,Extraire  près de Trempecheville
25,TEXT_BANMAM124_05284_TODO_01,
26,TEXT_BANMAM124_05284_TODO_02,
27,TEXT_BANMAM124_05284_TODO_03,
28,TEXT_BANMAM124_05284_TODO_04,
29,TEXT_BANMAM124_05284_TODO_05,
30,TEXT_BANMAM124_05284_TODO_06,
31,TEXT_BANMAM124_05284_TODO_07,
32,TEXT_BANMAM124_05284_TODO_08,
33,TEXT_BANMAM124_05284_TODO_09,
34,TEXT_BANMAM124_05284_TODO_10,
35,TEXT_BANMAM124_05284_TODO_11,
36,TEXT_BANMAM124_05284_TODO_12,
37,TEXT_BANMAM124_05284_TODO_13,
38,TEXT_BANMAM124_05284_TODO_14,
39,TEXT_BANMAM124_05284_TODO_15,
40,TEXT_BANMAM124_05284_TODO_16,
41,TEXT_BANMAM124_05284_TODO_17,
42,TEXT_BANMAM124_05284_TODO_18,
43,TEXT_BANMAM124_05284_TODO_19,
44,TEXT_BANMAM124_05284_TODO_20,
45,TEXT_BANMAM124_05284_TODO_21,
46,TEXT_BANMAM124_05284_TODO_22,
47,TEXT_BANMAM124_05284_TODO_23,
48,TEXT_BANMAM124_05284_KAGEELJA_000_001,"Un jour de plus sous la douce lumière dorée de nos superbes lanternes arcaniques... Je ne m'en lasserai jamais, ja ! Évidemment, nos légumes poussent bien mieux depuis l'installation de ces dispositifs !"
49,TEXT_BANMAM124_05284_KAGEELJA_000_002,"Si ma mémoire ne me joue pas des tours, c'est bien toi qui nous as livré les matériaux riches en éther qui ont servi de noyaux aux lanternes ?"
50,TEXT_BANMAM124_05284_KAGEELJA_000_003,"En vérité, pour qu'elles continuent d'éclairer con­ve­na­ble­ment, il faudrait leur installer un catalyseur magique afin de mieux contrôler le flux d'éther, ja. Pourrais-tu me dénicher les ressources nécessaires à cette petite amélioration ?"
51,TEXT_BANMAM124_05284_KAGEELJA_000_004,（★未使用／削除予定★）
52,TEXT_BANMAM124_05284_KAGEELJA_000_005,"Grâce à ta livraison de l'autre jour, on a pu installer des catalyseurs dans les lanternes, ja. La ferme reste ainsi illuminée toute la journée !"
53,TEXT_BANMAM124_05284_KAGEELJA_000_006,"Mal­heu­reu­se­ment, il va déjà être temps de les changer... Puisqu'on maintient la lumière en permanence, le matériel s'use in­croya­ble­ment vite ! Tu veux bien nous livrer une nouvelle poignée de matériaux ?"
54,TEXT_BANMAM124_05284_KAGEELJA_000_007,"J'ai besoin de , on en trouve près de Trempecheville. Essaie de nous dénicher les matériaux les plus purs possible, ja !"
55,TEXT_BANMAM124_05284_KAGEELJA_000_008,"J'ai besoin de , on en trouve près de Trempecheville. Essaie de nous dénicher les matériaux les plus purs possible, ja !"
56,TEXT_BANMAM124_05284_KAGEELJA_000_009,"Je voudrais que tu ailles me pêcher , on en trouve dans les eaux de Trempecheville. Et comme toujours, n'oublie pas d'utiliser , ja !"
57,TEXT_BANMAM124_05284_KAGEELJA_000_010,"Il me faudrait  qu'on trouve près de Trempecheville. Je compte sur toi, ja !"
58,TEXT_BANMAM124_05284_KAGEELJA_000_011,"Il me faudrait  qu'on trouve près de Trempecheville. Je compte sur toi, ja !"
59,TEXT_BANMAM124_05284_KAGEELJA_000_012,J'ai besoin que tu m'attrapes  dans les eaux de Trempecheville. Et n'oublie surtout pas d'utiliser  en guise d'appât !
60,TEXT_BANMAM124_05284_KAGEELJA_000_015,"Ravi de te revoir, ja ! Vu ton air satisfait, je devine que tu as déniché de quoi fabriquer d'excellents catalyseurs."
61,TEXT_BANMAM124_05284_KAGEELJA_000_016,"Oooh ! Comme c'est brillant ! Tu as vraiment l'œil quand il s'agit de dénicher des ressources. Merci pour tout, ja !"
62,TEXT_BANMAM124_05284_KAGEELJA_000_017,Les lanternes ont révolutionné notre manière de cultiver. Et les légumes récoltés sont désormais plus gros et bien plus savoureux !
63,TEXT_BANMAM124_05284_KAGEELJA_000_018,"Notre rendement explose, en quantité comme en qualité. Bientôt, toutes les assiettes de Mamook seront remplies de légumes variés et colorés, ja ! Ah, et je compte sur tes livraisons lorsque les catalyseurs auront besoin d'être remplacés !"
