0,TEXT_BANGNA505_02275_SEQ_00,"**Règle spéciale :  synchronisation de quête avec limitation de job ou de classe**

Guetteur a besoin de vos talents d'aventurière pour accomplir une mission."
1,TEXT_BANGNA505_02275_SEQ_01,"* *Cette quête est ** synchronisée** avec votre niveau.*
* *Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.* 

Guetteur vous a parlé de chasseurs de trésors d'Idyllée venus fouiller les ruines de l'Avant-pays dravanien. Prévoyants, ils ont demandé un garde du corps à la guilde des aventuriers de Loth ast Vath. Allez à Annexe Trine et assurez-vous que les explorateurs ne courent aucun danger."
2,TEXT_BANGNA505_02275_SEQ_02,Vous avez parlé à deux explorateurs et vous êtes assurée qu'ils allaient bien. Trouvez les autres et vérifiez qu'ils ne courent aucun danger eux non plus.
3,TEXT_BANGNA505_02275_SEQ_03,"Alors que vous discutiez avec un chasseur de trésors, des créatures assoiffées de sang vous sont tombées dessus par surprise. Maintenant qu'elles ne constituent plus une menace, vous pouvez reprendre votre con­ver­sa­tion avec l'explorateur malchanceux."
4,TEXT_BANGNA505_02275_SEQ_04,"Grâce à votre in­ter­ven­tion, l'explorateur malchanceux et son camarade vont enfin pouvoir se mettre au travail. Votre mission est à présent terminée. Retournez à Loth ast Vath et faites votre rapport à Guetteur."
5,TEXT_BANGNA505_02275_SEQ_05,"Vous avez parlé à Guetteur, qui s'est montré perplexe devant les risques que prennent les humains pour déterrer des vieilleries souvent inutiles."
6,TEXT_BANGNA505_02275_SEQ_06,
7,TEXT_BANGNA505_02275_SEQ_07,
8,TEXT_BANGNA505_02275_SEQ_08,
9,TEXT_BANGNA505_02275_SEQ_09,
10,TEXT_BANGNA505_02275_SEQ_10,
11,TEXT_BANGNA505_02275_SEQ_11,
12,TEXT_BANGNA505_02275_SEQ_12,
13,TEXT_BANGNA505_02275_SEQ_13,
14,TEXT_BANGNA505_02275_SEQ_14,
15,TEXT_BANGNA505_02275_SEQ_15,
16,TEXT_BANGNA505_02275_SEQ_16,
17,TEXT_BANGNA505_02275_SEQ_17,
18,TEXT_BANGNA505_02275_SEQ_18,
19,TEXT_BANGNA505_02275_SEQ_19,
20,TEXT_BANGNA505_02275_SEQ_20,
21,TEXT_BANGNA505_02275_SEQ_21,
22,TEXT_BANGNA505_02275_SEQ_22,
23,TEXT_BANGNA505_02275_SEQ_23,
24,TEXT_BANGNA505_02275_TODO_00,Parler aux explorateurs
25,TEXT_BANGNA505_02275_TODO_01,Trouver les autres explorateurs
26,TEXT_BANGNA505_02275_TODO_02,Parler à l'explorateur malchanceux
27,TEXT_BANGNA505_02275_TODO_03,Faire un rapport à Guetteur
28,TEXT_BANGNA505_02275_TODO_04,
29,TEXT_BANGNA505_02275_TODO_05,
30,TEXT_BANGNA505_02275_TODO_06,
31,TEXT_BANGNA505_02275_TODO_07,
32,TEXT_BANGNA505_02275_TODO_08,
33,TEXT_BANGNA505_02275_TODO_09,
34,TEXT_BANGNA505_02275_TODO_10,
35,TEXT_BANGNA505_02275_TODO_11,
36,TEXT_BANGNA505_02275_TODO_12,
37,TEXT_BANGNA505_02275_TODO_13,
38,TEXT_BANGNA505_02275_TODO_14,
39,TEXT_BANGNA505_02275_TODO_15,
40,TEXT_BANGNA505_02275_TODO_16,
