0,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_000,Quel vent vivifiant ! J'espèrrre qu'il ne nous apportera pas une nouvelle escadre de thræll.
1,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_001,"Une fois, on s'est fait attaquer alors qu'on remorquait une île qui valait une forrrtune... On n'a pas eu d'autre choix que de l'abandonner pour sauver notre peau."
2,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_002,"Mais avec toi et tes amis, je sais qu'on ne crrraint rien !"
3,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_003,（★未使用／削除予定★）
4,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_100,On peut enfin apercevoir le vaisseau-mère. Mais ça ne veut pas dire qu'on est prrroches pour autant...
5,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_101,"Tiens, et si je fabrrriquais un nouvel outil en m'inspirant d'une de vos possessions, pour passer le temps ?"
6,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_102,（★未使用／削除予定★）
7,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_200,"La fin du voyage apprrroche ! Vous allez bientôt pouvoir poser le pied sur le Naglfar, l'arche de l'eau !"
8,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_201,"D'ailleurrrs, ça me fait penser qu'on doit conditionner l'île pour la livraison. De votre côté, préparez-vous à l'amarrage !"
9,TEXT_REGFIM7V6E2VISNA_00990_VISNA_000_202,（★未使用／削除予定★）
