0,TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_000,"Pour commencer, je veux savoir ce que tu as en tête. Imagine l'arme idéale pour toi, et décris-la-moi !"
1,TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_001,"Très bien. Maintenant, je vais reproduire les souvenirs que tu as inscrits dans le cristal de savoir et les insuffler dans ton arme fantôme."
2,TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_002,Hmmmm... !
3,TEXT_CTSMKDWEPTRADE5_00980_BRIGID_000_003,Tadaaa !!!
4,TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_004,"Je m'en lasserai jamais. Une arme maintes fois améliorée, désormais dans sa forme la plus pure, dénuée de toute illusion superflue et imprégnée des souvenirs de glorieux triomphes..."
5,TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_005,"Attention les yeux, voilà  !"
6,TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_006,"Attention les yeux, voilà  et  !"
7,TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_007,"Cette fois, on a atteint le bout du bout des améliorations possibles pour les armes fantômes. Je compte sur toi pour te servir de ce petit bijou et te créer plein de nouveaux “mémentos martiaux”, ha ha !"
8,TEXT_CTSMKDWEPTRADE5_00980_GEROLT_000_008,"Euh, au fait. Si t'as besoin d'opérer quelques réglages, demande à *Brigitte*. Tout ce que ça te coûtera, c'est un morceau d'écliptite, compris ?"
9,TEXT_CTSMKDWEPTRADE5_00980_SYSTEM_100_008,"Pour réajuster les attributs de votre arme fantôme, adressez-vous à Brigid."
10,TEXT_CTSMKDWEPTRADE5_00980_SYSTEM_000_009," nécessaire pour l'opération peut être obtenu auprès d'Ermina, en échange du nombre de mémoquartz requis."
