key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZG019_03504_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Der erfahrene Schatzjäger möchte nicht mit leeren Händen zurückkehren."
1,"TEXT_LUCKZG019_03504_SEQ_01",""
2,"TEXT_LUCKZG019_03504_SEQ_02",""
3,"TEXT_LUCKZG019_03504_SEQ_03",""
4,"TEXT_LUCKZG019_03504_SEQ_04",""
5,"TEXT_LUCKZG019_03504_SEQ_05",""
6,"TEXT_LUCKZG019_03504_SEQ_06",""
7,"TEXT_LUCKZG019_03504_SEQ_07",""
8,"TEXT_LUCKZG019_03504_SEQ_08",""
9,"TEXT_LUCKZG019_03504_SEQ_09",""
10,"TEXT_LUCKZG019_03504_SEQ_10",""
11,"TEXT_LUCKZG019_03504_SEQ_11",""
12,"TEXT_LUCKZG019_03504_SEQ_12",""
13,"TEXT_LUCKZG019_03504_SEQ_13",""
14,"TEXT_LUCKZG019_03504_SEQ_14",""
15,"TEXT_LUCKZG019_03504_SEQ_15",""
16,"TEXT_LUCKZG019_03504_SEQ_16",""
17,"TEXT_LUCKZG019_03504_SEQ_17",""
18,"TEXT_LUCKZG019_03504_SEQ_18",""
19,"TEXT_LUCKZG019_03504_SEQ_19",""
20,"TEXT_LUCKZG019_03504_SEQ_20",""
21,"TEXT_LUCKZG019_03504_SEQ_21",""
22,"TEXT_LUCKZG019_03504_SEQ_22",""
23,"TEXT_LUCKZG019_03504_SEQ_23",""
24,"TEXT_LUCKZG019_03504_TODO_00","<Clickable(<SheetDe(EventItem,2,2002726,1,4,1)/>)/> finden"
25,"TEXT_LUCKZG019_03504_TODO_01","<Clickable(<SheetDe(EventItem,2,2002727,1,4,1)/>)/> finden"
26,"TEXT_LUCKZG019_03504_TODO_02","<Clickable(<SheetDe(EventItem,2,2002728,1,4,1)/>)/> finden"
27,"TEXT_LUCKZG019_03504_TODO_03","Dem erfahrenen Schatz<SoftHyphen/>sucher die Schätze bringen"
28,"TEXT_LUCKZG019_03504_TODO_04",""
29,"TEXT_LUCKZG019_03504_TODO_05",""
30,"TEXT_LUCKZG019_03504_TODO_06",""
31,"TEXT_LUCKZG019_03504_TODO_07",""
