key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZJ012_03575_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Ortwil macht einen leicht nervösen Eindruck."
1,"TEXT_LUCKZJ012_03575_SEQ_01",""
2,"TEXT_LUCKZJ012_03575_SEQ_02",""
3,"TEXT_LUCKZJ012_03575_SEQ_03",""
4,"TEXT_LUCKZJ012_03575_SEQ_04",""
5,"TEXT_LUCKZJ012_03575_SEQ_05",""
6,"TEXT_LUCKZJ012_03575_SEQ_06",""
7,"TEXT_LUCKZJ012_03575_SEQ_07",""
8,"TEXT_LUCKZJ012_03575_SEQ_08",""
9,"TEXT_LUCKZJ012_03575_SEQ_09",""
10,"TEXT_LUCKZJ012_03575_SEQ_10",""
11,"TEXT_LUCKZJ012_03575_SEQ_11",""
12,"TEXT_LUCKZJ012_03575_SEQ_12",""
13,"TEXT_LUCKZJ012_03575_SEQ_13",""
14,"TEXT_LUCKZJ012_03575_SEQ_14",""
15,"TEXT_LUCKZJ012_03575_SEQ_15",""
16,"TEXT_LUCKZJ012_03575_SEQ_16",""
17,"TEXT_LUCKZJ012_03575_SEQ_17",""
18,"TEXT_LUCKZJ012_03575_SEQ_18",""
19,"TEXT_LUCKZJ012_03575_SEQ_19",""
20,"TEXT_LUCKZJ012_03575_SEQ_20",""
21,"TEXT_LUCKZJ012_03575_SEQ_21",""
22,"TEXT_LUCKZJ012_03575_SEQ_22",""
23,"TEXT_LUCKZJ012_03575_SEQ_23",""
24,"TEXT_LUCKZJ012_03575_TODO_00","Mit dem langhaarigen Jungen auf dem Wasser vor Brandungsfels reden"
25,"TEXT_LUCKZJ012_03575_TODO_01","<Clickable(<SheetDe(EventItem,2,2002857,1,4,1)/>)/> erhalten"
26,"TEXT_LUCKZJ012_03575_TODO_02","Dem langhaarigen Jungen <SheetDe(EventItem,2,2002857,1,4,1)/> geben"
27,"TEXT_LUCKZJ012_03575_TODO_03","Mit Ortwil reden"
28,"TEXT_LUCKZJ012_03575_TODO_04",""
29,"TEXT_LUCKZJ012_03575_TODO_05",""
30,"TEXT_LUCKZJ012_03575_TODO_06",""
31,"TEXT_LUCKZJ012_03575_TODO_07",""
