0,"TEXT_GAIUSB613_00895_SEQ_00","You sense that there is a pact of sorts between you and Stephannot now, and he gives every indication that he has another mission for you."
1,"TEXT_GAIUSB613_00895_SEQ_01","The recruit that died in a croc attack leaves a father, another knight of Ishgard at Camp Dragonhead. The memento of the young soldier, a silvery ring, must reach this Theobalin."
2,"TEXT_GAIUSB613_00895_SEQ_02","Despite some misgivings, you honor the pact and tell Theobalin of his son's glorious death in combat. Theobalin's heart seems to be made lighter by the fact that his family's grim legacy is now unbroken."
3,"TEXT_GAIUSB613_00895_SEQ_03","dummy"
4,"TEXT_GAIUSB613_00895_SEQ_04","dummy"
5,"TEXT_GAIUSB613_00895_SEQ_05","dummy"
6,"TEXT_GAIUSB613_00895_SEQ_06","dummy"
7,"TEXT_GAIUSB613_00895_SEQ_07","dummy"
8,"TEXT_GAIUSB613_00895_SEQ_08","dummy"
9,"TEXT_GAIUSB613_00895_SEQ_09","dummy"
10,"TEXT_GAIUSB613_00895_SEQ_10","dummy"
11,"TEXT_GAIUSB613_00895_SEQ_11","dummy"
12,"TEXT_GAIUSB613_00895_SEQ_12","dummy"
13,"TEXT_GAIUSB613_00895_SEQ_13","dummy"
14,"TEXT_GAIUSB613_00895_SEQ_14","dummy"
15,"TEXT_GAIUSB613_00895_SEQ_15","dummy"
16,"TEXT_GAIUSB613_00895_SEQ_16","dummy"
17,"TEXT_GAIUSB613_00895_SEQ_17","dummy"
18,"TEXT_GAIUSB613_00895_SEQ_18","dummy"
19,"TEXT_GAIUSB613_00895_SEQ_19","dummy"
20,"TEXT_GAIUSB613_00895_SEQ_20","dummy"
21,"TEXT_GAIUSB613_00895_SEQ_21","dummy"
22,"TEXT_GAIUSB613_00895_SEQ_22","dummy"
23,"TEXT_GAIUSB613_00895_SEQ_23","dummy"
24,"TEXT_GAIUSB613_00895_TODO_00","Deliver the silvery ring to Theobalin."
25,"TEXT_GAIUSB613_00895_TODO_01","dummy"
26,"TEXT_GAIUSB613_00895_TODO_02","dummy"
27,"TEXT_GAIUSB613_00895_TODO_03","dummy"
28,"TEXT_GAIUSB613_00895_TODO_04","dummy"
29,"TEXT_GAIUSB613_00895_TODO_05","dummy"
30,"TEXT_GAIUSB613_00895_TODO_06","dummy"
31,"TEXT_GAIUSB613_00895_TODO_07","dummy"
32,"TEXT_GAIUSB613_00895_TODO_08","dummy"
33,"TEXT_GAIUSB613_00895_TODO_09","dummy"
34,"TEXT_GAIUSB613_00895_TODO_10","dummy"
35,"TEXT_GAIUSB613_00895_TODO_11","dummy"
36,"TEXT_GAIUSB613_00895_TODO_12","dummy"
37,"TEXT_GAIUSB613_00895_TODO_13","dummy"
38,"TEXT_GAIUSB613_00895_TODO_14","dummy"
39,"TEXT_GAIUSB613_00895_TODO_15","dummy"
40,"TEXT_GAIUSB613_00895_TODO_16","dummy"
41,"TEXT_GAIUSB613_00895_TODO_17","dummy"
42,"TEXT_GAIUSB613_00895_TODO_18","dummy"
43,"TEXT_GAIUSB613_00895_TODO_19","dummy"
44,"TEXT_GAIUSB613_00895_TODO_20","dummy"
45,"TEXT_GAIUSB613_00895_TODO_21","dummy"
46,"TEXT_GAIUSB613_00895_TODO_22","dummy"
47,"TEXT_GAIUSB613_00895_TODO_23","dummy"
48,"TEXT_GAIUSB613_00895_STEPHANNOT_000_000","I mislike adventurers, as well you know, but that wretched death on the north road binds us together. It is the will of the Fury. After much reflection, I have decided to send you to Camp Dragonhead with the ring\xe2\x94\x80for Theobalin, the boy's father."
49,"TEXT_GAIUSB613_00895_STEPHANNOT_000_001","It ill becomes a knight to prevaricate, but I have added the boy's name to the patrol that was lost to dragons. You must tell Theobalin that his son died gloriously in battle. Let his name not stand in shame\xe2\x94\x80he deserved better."
50,"TEXT_GAIUSB613_00895_THEOBALIN_000_010","You seek Theobalin? I am he. A ring? Talk sense, adventurer."
51,"TEXT_GAIUSB613_00895_THEOBALIN_000_020","This is my wife's naming ring, which I took off her cold finger so many years ago. I gave it to our son after his swearing of the sword. You need not look so beetle-browed, adventurer. I know what this means\xe2\x94\x80my son is dead, my line is ended."
52,"TEXT_GAIUSB613_00895_THEOBALIN_000_021","Yes, I know what this means...\x02\x10\x01\x03There was a patrol out of Skyfire Locks last night that was killed to the last man. Was he one of them?"
53,"TEXT_GAIUSB613_00895_THEOBALIN_000_022","Ah, then he died well, for I heard they brought down two dragons before the fire came for them."
54,"TEXT_GAIUSB613_00895_THEOBALIN_000_023","In every generation of my family, at least one son has died in the crusade. I scarce remember my father, who fell manning the ballista at the Locks, and I am the last of three brothers."
55,"TEXT_GAIUSB613_00895_THEOBALIN_000_024","I had four sons and a daughter. Two of the boys did not live to see their first nameday, and my wife died in childbirth with the third. Sickness took my daughter along with her babes."
56,"TEXT_GAIUSB613_00895_THEOBALIN_000_025","Yet, our honor is intact, for my son gave his life to the cause. Would that he had known more days, fought more battles ere he fell! That is my only regret. Thank you for the message. You lack no courage to make your way to Coerthas in these troubled times..."
