key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZG008_04283_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Callias se plaint d'être débordé de travail."
1,"TEXT_AKTKZG008_04283_SEQ_01",""
2,"TEXT_AKTKZG008_04283_SEQ_02",""
3,"TEXT_AKTKZG008_04283_SEQ_03",""
4,"TEXT_AKTKZG008_04283_SEQ_04",""
5,"TEXT_AKTKZG008_04283_SEQ_05",""
6,"TEXT_AKTKZG008_04283_SEQ_06",""
7,"TEXT_AKTKZG008_04283_SEQ_07",""
8,"TEXT_AKTKZG008_04283_SEQ_08",""
9,"TEXT_AKTKZG008_04283_SEQ_09",""
10,"TEXT_AKTKZG008_04283_SEQ_10",""
11,"TEXT_AKTKZG008_04283_SEQ_11",""
12,"TEXT_AKTKZG008_04283_SEQ_12",""
13,"TEXT_AKTKZG008_04283_SEQ_13",""
14,"TEXT_AKTKZG008_04283_SEQ_14",""
15,"TEXT_AKTKZG008_04283_SEQ_15",""
16,"TEXT_AKTKZG008_04283_SEQ_16",""
17,"TEXT_AKTKZG008_04283_SEQ_17",""
18,"TEXT_AKTKZG008_04283_SEQ_18",""
19,"TEXT_AKTKZG008_04283_SEQ_19",""
20,"TEXT_AKTKZG008_04283_SEQ_20",""
21,"TEXT_AKTKZG008_04283_SEQ_21",""
22,"TEXT_AKTKZG008_04283_SEQ_22",""
23,"TEXT_AKTKZG008_04283_SEQ_23",""
24,"TEXT_AKTKZG008_04283_TODO_00","Inspecter les nids de dédalions"
25,"TEXT_AKTKZG008_04283_TODO_01","Donner les œufs de dédalion à Callias"
26,"TEXT_AKTKZG008_04283_TODO_02",""
27,"TEXT_AKTKZG008_04283_TODO_03",""
28,"TEXT_AKTKZG008_04283_TODO_04",""
29,"TEXT_AKTKZG008_04283_TODO_05",""
30,"TEXT_AKTKZG008_04283_TODO_06",""
31,"TEXT_AKTKZG008_04283_TODO_07",""
32,"TEXT_AKTKZG008_04283_TODO_08",""
33,"TEXT_AKTKZG008_04283_TODO_09",""
34,"TEXT_AKTKZG008_04283_TODO_10",""
35,"TEXT_AKTKZG008_04283_TODO_11",""
