0,TEXT_AKTKZD013_04237_SEQ_00,"**Règle spéciale :  synchronisation de quête**
La sergente Kochacha cherche de l'aide pour accomplir sa tâche."
1,TEXT_AKTKZD013_04237_SEQ_01,
2,TEXT_AKTKZD013_04237_SEQ_02,
3,TEXT_AKTKZD013_04237_SEQ_03,
4,TEXT_AKTKZD013_04237_SEQ_04,
5,TEXT_AKTKZD013_04237_SEQ_05,
6,TEXT_AKTKZD013_04237_SEQ_06,
7,TEXT_AKTKZD013_04237_SEQ_07,
8,TEXT_AKTKZD013_04237_SEQ_08,
9,TEXT_AKTKZD013_04237_SEQ_09,
10,TEXT_AKTKZD013_04237_SEQ_10,
11,TEXT_AKTKZD013_04237_SEQ_11,
12,TEXT_AKTKZD013_04237_SEQ_12,
13,TEXT_AKTKZD013_04237_SEQ_13,
14,TEXT_AKTKZD013_04237_SEQ_14,
15,TEXT_AKTKZD013_04237_SEQ_15,
16,TEXT_AKTKZD013_04237_SEQ_16,
17,TEXT_AKTKZD013_04237_SEQ_17,
18,TEXT_AKTKZD013_04237_SEQ_18,
19,TEXT_AKTKZD013_04237_SEQ_19,
20,TEXT_AKTKZD013_04237_SEQ_20,
21,TEXT_AKTKZD013_04237_SEQ_21,
22,TEXT_AKTKZD013_04237_SEQ_22,
23,TEXT_AKTKZD013_04237_SEQ_23,
24,TEXT_AKTKZD013_04237_TODO_00,Mettre la main sur les armes abandonnées
25,TEXT_AKTKZD013_04237_TODO_01,Donner les armes abandonnées à Kochacha
26,TEXT_AKTKZD013_04237_TODO_02,
27,TEXT_AKTKZD013_04237_TODO_03,
28,TEXT_AKTKZD013_04237_TODO_04,
29,TEXT_AKTKZD013_04237_TODO_05,
30,TEXT_AKTKZD013_04237_TODO_06,
31,TEXT_AKTKZD013_04237_TODO_07,
32,TEXT_AKTKZD013_04237_TODO_08,
33,TEXT_AKTKZD013_04237_TODO_09,
34,TEXT_AKTKZD013_04237_TODO_10,
35,TEXT_AKTKZD013_04237_TODO_11,
36,TEXT_AKTKZD013_04237_TODO_12,
37,TEXT_AKTKZD013_04237_TODO_13,
38,TEXT_AKTKZD013_04237_TODO_14,
39,TEXT_AKTKZD013_04237_TODO_15,
40,TEXT_AKTKZD013_04237_TODO_16,
41,TEXT_AKTKZD013_04237_TODO_17,
42,TEXT_AKTKZD013_04237_TODO_18,
43,TEXT_AKTKZD013_04237_TODO_19,
44,TEXT_AKTKZD013_04237_TODO_20,
45,TEXT_AKTKZD013_04237_TODO_21,
46,TEXT_AKTKZD013_04237_TODO_22,
47,TEXT_AKTKZD013_04237_TODO_23,
48,TEXT_AKTKZD013_04237_KOCHACHA_000_000,"Dites, Player, êtes-vous au courant que toutes les armes abandonnées doivent être retrouvées ?"
49,TEXT_AKTKZD013_04237_KOCHACHA_000_001,"Non ? Alors écoutez bien ce que je vais vous dire. Depuis que la 1re légion a accepté les termes du cessez-le-feu, beaucoup de combattants se sont débarrassés de leurs armes. Le problème, c'est qu'un bon nombre d'entre elles n'ont pas été récupérées et traînent un peu partout dans la capitale."
50,TEXT_AKTKZD013_04237_KOCHACHA_000_002,"En conséquence, ordre a été donné de récupérer toutes celles que l'on trouvera abandonnées çà et là, y compris celles qu'on a jetées loin du centre afin d'éviter qu'elles tombent entre de mauvaises mains."
51,TEXT_AKTKZD013_04237_KOCHACHA_000_004,"Nous comptons également sur vous, Player. Si vous trouvez de telles armes, veuillez me les rapporter !"
52,TEXT_AKTKZD013_04237_KOCHACHA_000_008,"Nous comptons également sur vous, Player. Si vous trouvez de telles armes, veuillez me les rapporter !"
53,TEXT_AKTKZD013_04237_KOCHACHA_000_010,Avez-vous des armes abandonnées à me remettre ?
54,TEXT_AKTKZD013_04237_KOCHACHA_000_011,"Les ordres sont les ordres, et je suis heureuse de l'aide que vous m'apportez dans ma tâche."
55,TEXT_AKTKZD013_04237_KOCHACHA_000_012,"Entre nous, on a beau dire que les armes des Impériaux diffèrent selon la légion à laquelle ils appartiennent, pour moi elles se ressemblent toutes... Peut-être parce qu'elles sont produites dans un seul et même endroit : les fonderies de l'Enceladeum."
56,TEXT_AKTKZD013_04237_KOCHACHA_000_013,"À l'époque de la république de Garlemald, l'armement devait être un peu plus varié. Par exemple, je sais qu'on recrutait alors des mercenaires roegadyns venus de la chaîne de montagnes du centre du continent. Ces combattants devaient forcément utiliser leur panoplie tra­di­tion­nel­le."
57,TEXT_AKTKZD013_04237_KOCHACHA_000_014,"À présent, l'Empire ne jure que par la technologie magitek. Elle permet certes de produire des armes en masse, mais, comme je le disais, ce sont toujours les mêmes modèles..."
58,TEXT_AKTKZD013_04237_ILSABARD04237_000_000,（★未使用／削除予定★）
59,TEXT_AKTKZD013_04237_ILSABARD04237_000_001,（★未使用／削除予定★）
60,TEXT_AKTKZD013_04237_ILSABARD04237_000_002,（★未使用／削除予定★）
61,TEXT_AKTKZD013_04237_ILSABARD04237_000_003,（★未使用／削除予定★）
62,TEXT_AKTKZD013_04237_ILSABARD04237_000_004,（★未使用／削除予定★）
63,TEXT_AKTKZD013_04237_ILSABARD04237_000_010,（★未使用／削除予定★）
64,TEXT_AKTKZD013_04237_ILSABARD04237_000_011,（★未使用／削除予定★）
65,TEXT_AKTKZD013_04237_ILSABARD04237_000_012,（★未使用／削除予定★）
66,TEXT_AKTKZD013_04237_ILSABARD04237_000_013,（★未使用／削除予定★）
67,TEXT_AKTKZD013_04237_ILSABARD04237_000_014,（★未使用／削除予定★）
