key,0,1
#,,
int32,str,str
0,"TEXT_KINGMB103_04882_SEQ_00","Koana wartet geduldig darauf, dass die Prüfung des Topfes beginnen möge."
1,"TEXT_KINGMB103_04882_SEQ_01",""
2,"TEXT_KINGMB103_04882_SEQ_02",""
3,"TEXT_KINGMB103_04882_SEQ_03",""
4,"TEXT_KINGMB103_04882_SEQ_04",""
5,"TEXT_KINGMB103_04882_SEQ_05",""
6,"TEXT_KINGMB103_04882_SEQ_06",""
7,"TEXT_KINGMB103_04882_SEQ_07",""
8,"TEXT_KINGMB103_04882_SEQ_08",""
9,"TEXT_KINGMB103_04882_SEQ_09",""
10,"TEXT_KINGMB103_04882_SEQ_10",""
11,"TEXT_KINGMB103_04882_SEQ_11",""
12,"TEXT_KINGMB103_04882_SEQ_12",""
13,"TEXT_KINGMB103_04882_SEQ_13",""
14,"TEXT_KINGMB103_04882_SEQ_14",""
15,"TEXT_KINGMB103_04882_SEQ_15",""
16,"TEXT_KINGMB103_04882_SEQ_16",""
17,"TEXT_KINGMB103_04882_SEQ_17",""
18,"TEXT_KINGMB103_04882_SEQ_18",""
19,"TEXT_KINGMB103_04882_SEQ_19",""
20,"TEXT_KINGMB103_04882_SEQ_20",""
21,"TEXT_KINGMB103_04882_SEQ_21",""
22,"TEXT_KINGMB103_04882_SEQ_22",""
23,"TEXT_KINGMB103_04882_SEQ_23",""
24,"TEXT_KINGMB103_04882_TODO_00","Mit Rediroq sprechen"
25,"TEXT_KINGMB103_04882_TODO_01","Mit Wuk Lamat sprechen"
26,"TEXT_KINGMB103_04882_TODO_02","Zu Ropli gehen"
27,"TEXT_KINGMB103_04882_TODO_03","Mit Fonjeantaine sprechen"
28,"TEXT_KINGMB103_04882_TODO_04","Mit Wuk Lamat sprechen"
29,"TEXT_KINGMB103_04882_TODO_05",""
30,"TEXT_KINGMB103_04882_TODO_06",""
31,"TEXT_KINGMB103_04882_TODO_07",""
32,"TEXT_KINGMB103_04882_TODO_08",""
33,"TEXT_KINGMB103_04882_TODO_09",""
34,"TEXT_KINGMB103_04882_TODO_10",""
35,"TEXT_KINGMB103_04882_TODO_11",""
36,"TEXT_KINGMB103_04882_TODO_12",""
37,"TEXT_KINGMB103_04882_TODO_13",""
38,"TEXT_KINGMB103_04882_TODO_14",""
