key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_NO_PERMIT_TO_BUY1","Um ein Grundstück für sich selbst zu kaufen, muss nicht nur der Kaufpreis beglichen werden, sondern auch Stufe 50 in einer Charakterklasse erreicht sein. "
1,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_NO_PERMIT_TO_BUY2","Außerdem muss man mindestens den Rang eines Zweiten Sturmbootsmanns, Zweiten Schlangenpriesters oder Zweiten Legionsfähnrichs bekleiden."
2,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_KUGANE_NOT_OPENED","Der Verkauf von Grundstücken in Shirogane startet bald."
3,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_KUGANE_NOT_ARROWED_TO_BUY","Um Grundstücke in Shirogane zu erwerben, muss der Auftrag des Hauptszenarios „Misere auf der <Emphasis>Misery</Emphasis>“ abgeschlossen sein."
4,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_ISHGARD_NOT_OPENED","Der Verkauf von Grundstücken im Empyreum startet bald."
5,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_ISHGARD_NOT_ARROWED_TO_BUY","Um Grundstücke im Empyreum zu erwerben, muss der Auftrag des Hauptszenarios (Heavensward) „Das Ende eines langen Weges“ abgeschlossen sein."
6,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_LAND_LOTTERY_LOTTED","Du nimmst an der Verlosung von <Sheet(PlaceName,<Sheet(TerritoryType,IntegerParameter(1),5)/>,0)/>, <Value>IntegerParameter(2)</Value>. Bezirk, Hausnummer <Value>IntegerParameter(3)</Value> teil. Deine Losnummer ist <Value>IntegerParameter(4)</Value>. Das Ergebnis der Ziehung kann ab dem <Time(IntegerParameter(5))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<Value>TopLevelParameter(222)</Value> um <Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue> Uhr eingesehen werden."
7,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_LAND_LOTTERY_LOTTED_2","Grundstück, Losnummer und Grundstücksart können im Reiter „Unterkunft“ (Hauptmenü → Spielinhalte) eingesehen werden."
8,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_LAND_LOTTERY_REFUND_FULL_GIL","Die Entschädigung für den Grundstückspreis kann nicht ausgezahlt werden, weil du so viele Gil nicht zusätzlich tragen kannst."
9,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_LAND_LOTTERY_GUIDE","Du nimmst momentan an einer anderen Verlosung teil. Bitte rufe deren Ergebnis an der Informationstafel des folgenden Grundstücks ab.

<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow><Sheet(PlaceName,<Sheet(TerritoryType,IntegerParameter(1),5)/>,0)/>, <Value>IntegerParameter(2)</Value>. Bezirk, Hausnummer <Value>IntegerParameter(3)</Value><UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
10,"TEXT_CMNDEFHOUSINGSIGNBOARD_00135_LAND_LOTTERY_GUIDE_OK","Bestätigen"
