0,TEXT_LUCKMH103_03763_SEQ_00,"Alphinaud steht bereit, mit dir gemeinsam loszuziehen."
1,TEXT_LUCKMH103_03763_SEQ_01,
2,TEXT_LUCKMH103_03763_SEQ_02,
3,TEXT_LUCKMH103_03763_SEQ_03,
4,TEXT_LUCKMH103_03763_SEQ_04,
5,TEXT_LUCKMH103_03763_SEQ_05,
6,TEXT_LUCKMH103_03763_SEQ_06,
7,TEXT_LUCKMH103_03763_SEQ_07,
8,TEXT_LUCKMH103_03763_SEQ_08,
9,TEXT_LUCKMH103_03763_SEQ_09,
10,TEXT_LUCKMH103_03763_SEQ_10,
11,TEXT_LUCKMH103_03763_SEQ_11,
12,TEXT_LUCKMH103_03763_SEQ_12,
13,TEXT_LUCKMH103_03763_SEQ_13,
14,TEXT_LUCKMH103_03763_SEQ_14,
15,TEXT_LUCKMH103_03763_SEQ_15,
16,TEXT_LUCKMH103_03763_SEQ_16,
17,TEXT_LUCKMH103_03763_SEQ_17,
18,TEXT_LUCKMH103_03763_SEQ_18,
19,TEXT_LUCKMH103_03763_SEQ_19,
20,TEXT_LUCKMH103_03763_SEQ_20,
21,TEXT_LUCKMH103_03763_SEQ_21,
22,TEXT_LUCKMH103_03763_SEQ_22,
23,TEXT_LUCKMH103_03763_SEQ_23,
24,TEXT_LUCKMH103_03763_TODO_00,Mit Lyna auf der Exedra sprechen
25,TEXT_LUCKMH103_03763_TODO_01,Lyna in der Jobb-Feste treffen
26,TEXT_LUCKMH103_03763_TODO_02,Mit dem Späher sprechen
27,TEXT_LUCKMH103_03763_TODO_03,Mit Lyna sprechen
28,TEXT_LUCKMH103_03763_TODO_04,
29,TEXT_LUCKMH103_03763_TODO_05,
30,TEXT_LUCKMH103_03763_TODO_06,
31,TEXT_LUCKMH103_03763_TODO_07,
32,TEXT_LUCKMH103_03763_TODO_08,
33,TEXT_LUCKMH103_03763_TODO_09,
34,TEXT_LUCKMH103_03763_TODO_10,
35,TEXT_LUCKMH103_03763_TODO_11,
