key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZJ010_03573_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Quest Sync<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Chora-Kai of Weed has a pensive look about her."
1,"TEXT_LUCKZJ010_03573_SEQ_01",""
2,"TEXT_LUCKZJ010_03573_SEQ_02",""
3,"TEXT_LUCKZJ010_03573_SEQ_03",""
4,"TEXT_LUCKZJ010_03573_SEQ_04",""
5,"TEXT_LUCKZJ010_03573_SEQ_05",""
6,"TEXT_LUCKZJ010_03573_SEQ_06",""
7,"TEXT_LUCKZJ010_03573_SEQ_07",""
8,"TEXT_LUCKZJ010_03573_SEQ_08",""
9,"TEXT_LUCKZJ010_03573_SEQ_09",""
10,"TEXT_LUCKZJ010_03573_SEQ_10",""
11,"TEXT_LUCKZJ010_03573_SEQ_11",""
12,"TEXT_LUCKZJ010_03573_SEQ_12",""
13,"TEXT_LUCKZJ010_03573_SEQ_13",""
14,"TEXT_LUCKZJ010_03573_SEQ_14",""
15,"TEXT_LUCKZJ010_03573_SEQ_15",""
16,"TEXT_LUCKZJ010_03573_SEQ_16",""
17,"TEXT_LUCKZJ010_03573_SEQ_17",""
18,"TEXT_LUCKZJ010_03573_SEQ_18",""
19,"TEXT_LUCKZJ010_03573_SEQ_19",""
20,"TEXT_LUCKZJ010_03573_SEQ_20",""
21,"TEXT_LUCKZJ010_03573_SEQ_21",""
22,"TEXT_LUCKZJ010_03573_SEQ_22",""
23,"TEXT_LUCKZJ010_03573_SEQ_23",""
24,"TEXT_LUCKZJ010_03573_TODO_00","Confront the mopish man with a /furious anger."
25,"TEXT_LUCKZJ010_03573_TODO_01","Speak with Chora-Kai."
26,"TEXT_LUCKZJ010_03573_TODO_02",""
27,"TEXT_LUCKZJ010_03573_TODO_03",""
28,"TEXT_LUCKZJ010_03573_TODO_04",""
29,"TEXT_LUCKZJ010_03573_TODO_05",""
30,"TEXT_LUCKZJ010_03573_TODO_06",""
31,"TEXT_LUCKZJ010_03573_TODO_07",""
32,"TEXT_LUCKZJ010_03573_TODO_08",""
33,"TEXT_LUCKZJ010_03573_TODO_09",""
34,"TEXT_LUCKZJ010_03573_TODO_10",""
35,"TEXT_LUCKZJ010_03573_TODO_11",""
