0,TEXT_FESVLT005_01301_SEQ_00,"* *Cette quête est un événement à durée limitée.*

Lisette voudrait s'assurer que votre rôle d'émissaire de l'amour vous tient à cœur."
1,TEXT_FESVLT005_01301_SEQ_01,"Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.

Lisette fait l'éloge de vos actions au nom de la famille Valention, ses sens ancestraux lui révélant que vous avez soulagé la peine de nombreuses victimes de l'amour. Pour vous récompenser de vos efforts, elle aimerait vous offrir l'opportunité à vous aussi de trouver le grand amour. Faites échange avec quelqu'un du sexe opposé de façon à obtenir  et . Une fois réunis, vous devrez alors les apporter à Lisette."
2,TEXT_FESVLT005_01301_SEQ_02,"Lisette accepte de bon cœur vos chocolats, semblant soulagée que les festivités de la Valention touchent à leur fin. Malgré tous ses efforts pour aider les amoureux du monde entier, il semble que l'Ishgardaise passionnée ne soit pas très heureuse en amour..."
3,TEXT_FESVLT005_01301_SEQ_03,
4,TEXT_FESVLT005_01301_SEQ_04,
5,TEXT_FESVLT005_01301_SEQ_05,
6,TEXT_FESVLT005_01301_SEQ_06,
7,TEXT_FESVLT005_01301_SEQ_07,
8,TEXT_FESVLT005_01301_SEQ_08,
9,TEXT_FESVLT005_01301_SEQ_09,
10,TEXT_FESVLT005_01301_SEQ_10,
11,TEXT_FESVLT005_01301_SEQ_11,
12,TEXT_FESVLT005_01301_SEQ_12,
13,TEXT_FESVLT005_01301_SEQ_13,
14,TEXT_FESVLT005_01301_SEQ_14,
15,TEXT_FESVLT005_01301_SEQ_15,
16,TEXT_FESVLT005_01301_SEQ_16,
17,TEXT_FESVLT005_01301_SEQ_17,
18,TEXT_FESVLT005_01301_SEQ_18,
19,TEXT_FESVLT005_01301_SEQ_19,
20,TEXT_FESVLT005_01301_SEQ_20,
21,TEXT_FESVLT005_01301_SEQ_21,
22,TEXT_FESVLT005_01301_SEQ_22,
23,TEXT_FESVLT005_01301_SEQ_23,
24,TEXT_FESVLT005_01301_TODO_00,Donner  et  à Lisette
