key,0,1
#,,
int32,str,str
0,"TEXT_BANKJN505_02995_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Zukin hat Ärger mit störrischen Muscheln."
1,"TEXT_BANKJN505_02995_SEQ_01",""
2,"TEXT_BANKJN505_02995_SEQ_02",""
3,"TEXT_BANKJN505_02995_SEQ_03",""
4,"TEXT_BANKJN505_02995_SEQ_04",""
5,"TEXT_BANKJN505_02995_SEQ_05",""
6,"TEXT_BANKJN505_02995_SEQ_06",""
7,"TEXT_BANKJN505_02995_SEQ_07",""
8,"TEXT_BANKJN505_02995_SEQ_08",""
9,"TEXT_BANKJN505_02995_SEQ_09",""
10,"TEXT_BANKJN505_02995_SEQ_10",""
11,"TEXT_BANKJN505_02995_SEQ_11",""
12,"TEXT_BANKJN505_02995_SEQ_12",""
13,"TEXT_BANKJN505_02995_SEQ_13",""
14,"TEXT_BANKJN505_02995_SEQ_14",""
15,"TEXT_BANKJN505_02995_SEQ_15",""
16,"TEXT_BANKJN505_02995_SEQ_16",""
17,"TEXT_BANKJN505_02995_SEQ_17",""
18,"TEXT_BANKJN505_02995_SEQ_18",""
19,"TEXT_BANKJN505_02995_SEQ_19",""
20,"TEXT_BANKJN505_02995_SEQ_20",""
21,"TEXT_BANKJN505_02995_SEQ_21",""
22,"TEXT_BANKJN505_02995_SEQ_22",""
23,"TEXT_BANKJN505_02995_SEQ_23",""
24,"TEXT_BANKJN505_02995_TODO_00","Auf Bekko mit dem Blaupanzer-Muschelsammler sprechen"
25,"TEXT_BANKJN505_02995_TODO_01","<Clickable(<SheetDe(EObj,2,2009124,2,4,1)/>)/> mit <SheetDe(EventItem,2,2002414,1,3,1)/> zerkleinern"
26,"TEXT_BANKJN505_02995_TODO_02","Mit dem Blaupanzer-Muschelsammler sprechen"
27,"TEXT_BANKJN505_02995_TODO_03","Mit Zukin sprechen"
28,"TEXT_BANKJN505_02995_TODO_04",""
29,"TEXT_BANKJN505_02995_TODO_05",""
30,"TEXT_BANKJN505_02995_TODO_06",""
31,"TEXT_BANKJN505_02995_TODO_07",""
32,"TEXT_BANKJN505_02995_TODO_08",""
