0,"TEXT_JOBDEFBLM_00096_LALAI_000_010","I am Lalai, a thaumaturge of the Order. It is my charge to give guidance to those who visit our Milvaneth Sacrarium in search of it."
1,"TEXT_JOBDEFBLM_00096_LALAI_000_011","Sadly, as you can very well see, we have had to close our doors while repairs are underway. As such, we have had no visitors of late, and I find myself with a wealth of spare time."
2,"TEXT_JOBDEFBLM_00096_LALAI_000_013","As a servant of Nald'thal, it saddens me that I have had to put aside my sacred duties for the nonce. I am, however, glad to be afforded the freedom to pursue my interests in the arcane."
3,"TEXT_JOBDEFBLM_00096_LALAI_000_000","What business brings you to Milvaneth Sacrarium, friend?"
4,"TEXT_JOBDEFBLM_00096_Q1_000_001","What would you like to ask?"
5,"TEXT_JOBDEFBLM_00096_A1_000_001","Tell me about yourself."
6,"TEXT_JOBDEFBLM_00096_A1_000_002","What is a black mage?"
7,"TEXT_JOBDEFBLM_00096_A1_000_003","Nothing."
8,"TEXT_JOBDEFBLM_00096_LALAI_000_020","The origins of black magic can be traced back many, many years\xe2\x94\x80to the beginning of the Fifth Astral Era, to be precise. There lived at that time in Eorzea a powerful sorceress named Shatotto, who strived to push the destructive power of magic to its very limits."
9,"TEXT_JOBDEFBLM_00096_LALAI_000_021","The typical practice of magi is to weave magic using their own aether. The ability to do so is the greatest magical gift, yet at the same time that gift's greatest limit."
10,"TEXT_JOBDEFBLM_00096_LALAI_000_022","Shatotto was able to overcome such inherent limitations by developing a new technique which allowed her to draw upon the aether all around her as the fount of her magic. It was this technique that came to be known as black magic."
11,"TEXT_JOBDEFBLM_00096_LALAI_000_023","To take up the mantle of black mage is to revive this ancient art and command the aether everywhere to one's will."
12,"TEXT_JOBDEFBLM_00096_LALAI_000_024","Following the War of the Magi and the Sixth Umbral Calamity, however, black magic was branded far too great a danger to life, and so its use and even its mere mention were made forbidden. Over time, it came to be forgotten entirely. Or so it was thought..."
13,"TEXT_JOBDEFBLM_00096_LALAI_000_025","This changed one hundred years ago, when a prophet among mages stepped forth to revive this ancient and unrivaled art. That man was none other than my master and mentor, Ququruka Tataruka."
14,"TEXT_JOBDEFBLM_00096_LALAI_000_030","\x02)\x03\xeb\x02\x03 of the black returns. What business brings you back to the Sacrarium?"
15,"TEXT_JOBDEFBLM_00096_LALAI_000_040","\x02)\x03\xeb\x02\x03 of the black. Bringing to justice the vile thieves that stole the Book of Thal will be no trivial task. Have you mastered the destructive powers needed to do so?"
16,"TEXT_JOBDEFBLM_00096_LALAI_000_050","\x02)\x03\xeb\x02\x03 of the black. The power within you grows. I daresay it now surpasses that of even the great Ququruka."
17,"TEXT_JOBDEFBLM_00096_Q2_000_001","What would you like to ask?"
18,"TEXT_JOBDEFBLM_00096_A2_000_001","How fare you of late?"
19,"TEXT_JOBDEFBLM_00096_A2_000_002","What is a black mage?"
20,"TEXT_JOBDEFBLM_00096_A2_000_003","Nothing."
21,"TEXT_JOBDEFBLM_00096_LALAI_000_100","I was a fool, \x02,\r\xff\x07\x02)\x03\xeb\x02\x03\xff\x02 \x02\x03. My single-minded devotion to my master blinded me to the truth, but you helped me to see..."
22,"TEXT_JOBDEFBLM_00096_LALAI_000_101","It brings me much comfort to know that he found peace in the end. I would not deny his crimes, but neither can I deny the man he once was, and all that he imparted to me."
23,"TEXT_JOBDEFBLM_00096_LALAI_000_102","Were he still with us, I would call him Master still. But he is not, and few will remember his name as fondly as I do. No, these feelings I must ever keep within..."
24,"TEXT_JOBDEFBLM_00096_LALAI_000_140","The book Ququruka left\xe2\x94\x80the Book of Nald\xe2\x94\x80is filled with secret black magic."
25,"TEXT_JOBDEFBLM_00096_LALAI_000_141","As the late master's disciple in the dark arts, I am duty-bound to see the fruits of his tireless research preserved."
26,"TEXT_JOBDEFBLM_00096_LALAI_000_142","I shall decipher the mysteries within the tome, and teach to you the destructive magicks therewithin. With this power, we shall recover the grimoire's twin\xe2\x94\x80the Book of Thal!"
27,"TEXT_JOBDEFBLM_00096_LALAI_000_150","We have finally recovered both books of Nald'thal. And such fascinating books they are!"
28,"TEXT_JOBDEFBLM_00096_LALAI_000_151","The further I delve into the mysteries described within, the more awed I am by Ququruka's devotion to the dark arts\xe2\x94\x80and the destructive power that his devotion unlocked."
29,"TEXT_JOBDEFBLM_00096_LALAI_000_152","I shall not let these grimoires leave my sight. I cannot suffer to see them fall once more into the hands of some crazed madman. The War of the Magi has shown us the dangers inherent in these powers."
30,"TEXT_JOBDEFBLM_00096_LALAI_000_110","Hm. I would think that \x02\x1a\x02\x02\x03you\x02\x1a\x02\x01\x03 of all people, \x02,\r\xff\x07\x02)\x03\xeb\x02\x03\xff\x02 \x02\x03, would know the answer to that. And yet given the nature of our dark art, perhaps it is for the best that you would not forget whence our power comes..."
31,"TEXT_JOBDEFBLM_00096_LALAI_000_111","The origins of black magic can be traced back many, many years\xe2\x94\x80to the beginning of the Fifth Astral Era, to be precise. There lived at that time in Eorzea a powerful sorceress named Shatotto, who strived to push the destructive power of magic to its very limits."
32,"TEXT_JOBDEFBLM_00096_LALAI_000_112","The typical practice of magi is to weave magic using their own aether. The ability to do so is the greatest magical gift, yet at the same time that gift's greatest limit."
33,"TEXT_JOBDEFBLM_00096_LALAI_000_113","Shatotto was able to overcome such inherent limitations by developing a new technique which allowed her to draw upon the aether all around her as the fount of her magic. It was this technique that came to be known as black magic."
34,"TEXT_JOBDEFBLM_00096_LALAI_000_114","To take up the mantle of black mage is to revive this ancient art and command the aether everywhere to one's will."
35,"TEXT_JOBDEFBLM_00096_LALAI_000_115","Following the War of the Magi and the Sixth Umbral Calamity, however, black magic was branded far too great a danger to life, and so its use and even its mere mention were made forbidden. Over time, it came to be forgotten entirely. Or so it was thought..."
