key,0,1
#,,
int32,str,str
0,"TEXT_STMBDC107_03028_SEQ_00","Nach dem Kampf gegen die Rotpanzer hat Asahi genug Aufregung für einen Tag erlebt."
1,"TEXT_STMBDC107_03028_SEQ_01",""
2,"TEXT_STMBDC107_03028_SEQ_02",""
3,"TEXT_STMBDC107_03028_SEQ_03",""
4,"TEXT_STMBDC107_03028_SEQ_04",""
5,"TEXT_STMBDC107_03028_SEQ_05",""
6,"TEXT_STMBDC107_03028_SEQ_06",""
7,"TEXT_STMBDC107_03028_SEQ_07",""
8,"TEXT_STMBDC107_03028_SEQ_08",""
9,"TEXT_STMBDC107_03028_SEQ_09",""
10,"TEXT_STMBDC107_03028_SEQ_10",""
11,"TEXT_STMBDC107_03028_SEQ_11",""
12,"TEXT_STMBDC107_03028_SEQ_12",""
13,"TEXT_STMBDC107_03028_SEQ_13",""
14,"TEXT_STMBDC107_03028_SEQ_14",""
15,"TEXT_STMBDC107_03028_SEQ_15",""
16,"TEXT_STMBDC107_03028_SEQ_16",""
17,"TEXT_STMBDC107_03028_SEQ_17",""
18,"TEXT_STMBDC107_03028_SEQ_18",""
19,"TEXT_STMBDC107_03028_SEQ_19",""
20,"TEXT_STMBDC107_03028_SEQ_20",""
21,"TEXT_STMBDC107_03028_SEQ_21",""
22,"TEXT_STMBDC107_03028_SEQ_22",""
23,"TEXT_STMBDC107_03028_SEQ_23",""
24,"TEXT_STMBDC107_03028_TODO_00","In der Enklave mit Yugiri sprechen"
25,"TEXT_STMBDC107_03028_TODO_01","Im Kienkan mit Hien sprechen"
26,"TEXT_STMBDC107_03028_TODO_02",""
27,"TEXT_STMBDC107_03028_TODO_03",""
28,"TEXT_STMBDC107_03028_TODO_04",""
29,"TEXT_STMBDC107_03028_TODO_05",""
30,"TEXT_STMBDC107_03028_TODO_06",""
31,"TEXT_STMBDC107_03028_TODO_07",""
32,"TEXT_STMBDC107_03028_TODO_08",""
33,"TEXT_STMBDC107_03028_TODO_09",""
34,"TEXT_STMBDC107_03028_TODO_10",""
35,"TEXT_STMBDC107_03028_TODO_11",""
36,"TEXT_STMBDC107_03028_TODO_12",""
37,"TEXT_STMBDC107_03028_TODO_13",""
38,"TEXT_STMBDC107_03028_TODO_14",""
39,"TEXT_STMBDC107_03028_TODO_15",""
