key,0,1
#,,
int32,str,str
0,"TEXT_BANANA301_03042_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Eshana macht sich Sorgen um die Moral der Grenzwache."
1,"TEXT_BANANA301_03042_SEQ_01",""
2,"TEXT_BANANA301_03042_SEQ_02",""
3,"TEXT_BANANA301_03042_SEQ_03",""
4,"TEXT_BANANA301_03042_SEQ_04",""
5,"TEXT_BANANA301_03042_SEQ_05",""
6,"TEXT_BANANA301_03042_SEQ_06",""
7,"TEXT_BANANA301_03042_SEQ_07",""
8,"TEXT_BANANA301_03042_SEQ_08",""
9,"TEXT_BANANA301_03042_SEQ_09",""
10,"TEXT_BANANA301_03042_SEQ_10",""
11,"TEXT_BANANA301_03042_SEQ_11",""
12,"TEXT_BANANA301_03042_SEQ_12",""
13,"TEXT_BANANA301_03042_SEQ_13",""
14,"TEXT_BANANA301_03042_SEQ_14",""
15,"TEXT_BANANA301_03042_SEQ_15",""
16,"TEXT_BANANA301_03042_SEQ_16",""
17,"TEXT_BANANA301_03042_SEQ_17",""
18,"TEXT_BANANA301_03042_SEQ_18",""
19,"TEXT_BANANA301_03042_SEQ_19",""
20,"TEXT_BANANA301_03042_SEQ_20",""
21,"TEXT_BANANA301_03042_SEQ_21",""
22,"TEXT_BANANA301_03042_SEQ_22",""
23,"TEXT_BANANA301_03042_SEQ_23",""
24,"TEXT_BANANA301_03042_TODO_00","Am Pikensturz <SheetDe(EventItem,5,2002431,2,4,1)/> finden"
25,"TEXT_BANANA301_03042_TODO_01","<Clickable(<SheetDe(EventItem,2,2002431,2,4,1)/>)/> zur Ananta-Wahrsagerin in Castellum Velodyna bringen"
26,"TEXT_BANANA301_03042_TODO_02","Eshana Bericht erstatten"
27,"TEXT_BANANA301_03042_TODO_03",""
28,"TEXT_BANANA301_03042_TODO_04",""
29,"TEXT_BANANA301_03042_TODO_05",""
30,"TEXT_BANANA301_03042_TODO_06",""
31,"TEXT_BANANA301_03042_TODO_07",""
32,"TEXT_BANANA301_03042_TODO_08",""
33,"TEXT_BANANA301_03042_TODO_09",""
34,"TEXT_BANANA301_03042_TODO_10",""
