key,0,1
#,,
int32,str,str
0,"TEXT_BANANA308_03049_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Eshana möchte den Proviant auffrischen."
1,"TEXT_BANANA308_03049_SEQ_01",""
2,"TEXT_BANANA308_03049_SEQ_02",""
3,"TEXT_BANANA308_03049_SEQ_03",""
4,"TEXT_BANANA308_03049_SEQ_04",""
5,"TEXT_BANANA308_03049_SEQ_05",""
6,"TEXT_BANANA308_03049_SEQ_06",""
7,"TEXT_BANANA308_03049_SEQ_07",""
8,"TEXT_BANANA308_03049_SEQ_08",""
9,"TEXT_BANANA308_03049_SEQ_09",""
10,"TEXT_BANANA308_03049_SEQ_10",""
11,"TEXT_BANANA308_03049_SEQ_11",""
12,"TEXT_BANANA308_03049_SEQ_12",""
13,"TEXT_BANANA308_03049_SEQ_13",""
14,"TEXT_BANANA308_03049_SEQ_14",""
15,"TEXT_BANANA308_03049_SEQ_15",""
16,"TEXT_BANANA308_03049_SEQ_16",""
17,"TEXT_BANANA308_03049_SEQ_17",""
18,"TEXT_BANANA308_03049_SEQ_18",""
19,"TEXT_BANANA308_03049_SEQ_19",""
20,"TEXT_BANANA308_03049_SEQ_20",""
21,"TEXT_BANANA308_03049_SEQ_21",""
22,"TEXT_BANANA308_03049_SEQ_22",""
23,"TEXT_BANANA308_03049_SEQ_23",""
24,"TEXT_BANANA308_03049_TODO_00","In Virdjala <SheetDe(BNpcName,5,7024,2,4,1)/> aufspüren und <SheetDe(EventItem,5,2002436,2,4,1)/> erbeuten"
25,"TEXT_BANANA308_03049_TODO_01","Eshana <SheetDe(EventItem,2,2002436,2,4,1)/> bringen"
26,"TEXT_BANANA308_03049_TODO_02",""
27,"TEXT_BANANA308_03049_TODO_03",""
28,"TEXT_BANANA308_03049_TODO_04",""
29,"TEXT_BANANA308_03049_TODO_05",""
30,"TEXT_BANANA308_03049_TODO_06",""
31,"TEXT_BANANA308_03049_TODO_07",""
32,"TEXT_BANANA308_03049_TODO_08",""
33,"TEXT_BANANA308_03049_TODO_09",""
34,"TEXT_BANANA308_03049_TODO_10",""
35,"TEXT_BANANA308_03049_TODO_11",""
36,"TEXT_BANANA308_03049_TODO_12",""
37,"TEXT_BANANA308_03049_TODO_13",""
38,"TEXT_BANANA308_03049_TODO_14",""
39,"TEXT_BANANA308_03049_TODO_15",""
40,"TEXT_BANANA308_03049_TODO_16",""
41,"TEXT_BANANA308_03049_TODO_17",""
42,"TEXT_BANANA308_03049_TODO_18",""
43,"TEXT_BANANA308_03049_TODO_19",""
44,"TEXT_BANANA308_03049_TODO_20",""
45,"TEXT_BANANA308_03049_TODO_21",""
46,"TEXT_BANANA308_03049_TODO_22",""
47,"TEXT_BANANA308_03049_TODO_23",""
48,"TEXT_BANANA308_03049_ESHANA_000_000","<If(PlayerParameter(4))>Kameradin<Else/>Kamerad</If>, unser Proviant geht zur Neige. Kannssst du uns Nachschub besorgen?"
49,"TEXT_BANANA308_03049_ESHANA_000_001","Grundnahrungsmittel haben wir noch genug, aber fassst kein Fleisch mehr. <SheetDe(EventItem,5,2002436,2,1,1)/> wären eine willkommene Abwechslung."
50,"TEXT_BANANA308_03049_ESHANA_000_002","In Virdjala streunen große Gazellen umher, die sicher ausreichend Fleisch abwerfen. Ich markiere dir die Orte, wo sie zuletzt gesehen wurden. Viel Glück bei der Jagd!"
51,"TEXT_BANANA308_03049_ESHANA_000_010","<If(PlayerParameter(4))>Kameradin<Else/>Kamerad</If>! Hassst du die Gazellen erlegt?"
52,"TEXT_BANANA308_03049_ESHANA_000_011","Danke, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Das Fleisch ausss den Hinterkeulen der Gazellen ist ziemlich zäh, aber für unsss Ananta ist es besonders wertvoll, weil esss unseren Schuppen Kraft und Glanz verleiht."
53,"TEXT_BANANA308_03049_ESHANA_000_012","Leider denkt die Be<SoftHyphen/>freiungs<SoftHyphen/>armee bei den Proviantlieferungen nicht an unsere Vorlieben, und wir sind zu sehr mit unseren Wachaufgaben beschäftigt, um selbst auf Jagd zu gehen."
54,"TEXT_BANANA308_03049_ESHANA_000_013","Dank dir kommen wir in den Genusss des Gazellenfleisches. Das ist gut für unsere Moral und für unsere Schuppen. Wenn du wieder auf die Jagd gehen möchtest, sagen wir bestimmt nicht Nein."
