key,0,1
#,,
int32,str,str
0,"TEXT_KINGMA109_04868_SEQ_00","オック・ハヌのリヌハヌは、船大工のところへ案内したいようだ。"
1,"TEXT_KINGMA109_04868_SEQ_01",""
2,"TEXT_KINGMA109_04868_SEQ_02",""
3,"TEXT_KINGMA109_04868_SEQ_03",""
4,"TEXT_KINGMA109_04868_SEQ_04",""
5,"TEXT_KINGMA109_04868_SEQ_05",""
6,"TEXT_KINGMA109_04868_SEQ_06",""
7,"TEXT_KINGMA109_04868_SEQ_07",""
8,"TEXT_KINGMA109_04868_SEQ_08",""
9,"TEXT_KINGMA109_04868_SEQ_09",""
10,"TEXT_KINGMA109_04868_SEQ_10",""
11,"TEXT_KINGMA109_04868_SEQ_11",""
12,"TEXT_KINGMA109_04868_SEQ_12",""
13,"TEXT_KINGMA109_04868_SEQ_13",""
14,"TEXT_KINGMA109_04868_SEQ_14",""
15,"TEXT_KINGMA109_04868_SEQ_15",""
16,"TEXT_KINGMA109_04868_SEQ_16",""
17,"TEXT_KINGMA109_04868_SEQ_17",""
18,"TEXT_KINGMA109_04868_SEQ_18",""
19,"TEXT_KINGMA109_04868_SEQ_19",""
20,"TEXT_KINGMA109_04868_SEQ_20",""
21,"TEXT_KINGMA109_04868_SEQ_21",""
22,"TEXT_KINGMA109_04868_SEQ_22",""
23,"TEXT_KINGMA109_04868_SEQ_23",""
24,"TEXT_KINGMA109_04868_TODO_00","リヌハヌと話す"
25,"TEXT_KINGMA109_04868_TODO_01","ウケブと話す"
26,"TEXT_KINGMA109_04868_TODO_02","リヌハヌと話す"
27,"TEXT_KINGMA109_04868_TODO_03","クルルと話す"
28,"TEXT_KINGMA109_04868_TODO_04","リヌハヌと話す"
29,"TEXT_KINGMA109_04868_TODO_05","<Sheet(EObj,2013627,0)/>を調べ
<Sheet(EventItem,2003491,0)/>を探す"
30,"TEXT_KINGMA109_04868_TODO_06","リヌハヌに<Sheet(EventItem,2003491,0)/>を見せる"
31,"TEXT_KINGMA109_04868_TODO_07","ウケブに<Sheet(EventItem,2003491,0)/>を渡す"
32,"TEXT_KINGMA109_04868_TODO_08","ウクラマトと話す"
33,"TEXT_KINGMA109_04868_TODO_09",""
34,"TEXT_KINGMA109_04868_TODO_10",""
35,"TEXT_KINGMA109_04868_TODO_11",""
