key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMI102_03772_SEQ_00","Eirwel trépigne d'excitation."
1,"TEXT_LUCKMI102_03772_SEQ_01",""
2,"TEXT_LUCKMI102_03772_SEQ_02",""
3,"TEXT_LUCKMI102_03772_SEQ_03",""
4,"TEXT_LUCKMI102_03772_SEQ_04",""
5,"TEXT_LUCKMI102_03772_SEQ_05",""
6,"TEXT_LUCKMI102_03772_SEQ_06",""
7,"TEXT_LUCKMI102_03772_SEQ_07",""
8,"TEXT_LUCKMI102_03772_SEQ_08",""
9,"TEXT_LUCKMI102_03772_SEQ_09",""
10,"TEXT_LUCKMI102_03772_SEQ_10",""
11,"TEXT_LUCKMI102_03772_SEQ_11",""
12,"TEXT_LUCKMI102_03772_SEQ_12",""
13,"TEXT_LUCKMI102_03772_SEQ_13",""
14,"TEXT_LUCKMI102_03772_SEQ_14",""
15,"TEXT_LUCKMI102_03772_SEQ_15",""
16,"TEXT_LUCKMI102_03772_SEQ_16",""
17,"TEXT_LUCKMI102_03772_SEQ_17",""
18,"TEXT_LUCKMI102_03772_SEQ_18",""
19,"TEXT_LUCKMI102_03772_SEQ_19",""
20,"TEXT_LUCKMI102_03772_SEQ_20",""
21,"TEXT_LUCKMI102_03772_SEQ_21",""
22,"TEXT_LUCKMI102_03772_SEQ_22",""
23,"TEXT_LUCKMI102_03772_SEQ_23",""
24,"TEXT_LUCKMI102_03772_TODO_00","Retrouver Alisaie à la porte de l'Exarque, côté Grand-Lac"
25,"TEXT_LUCKMI102_03772_TODO_01","Placer les <SheetFr(EventItem,12,2003001,2,1)/> aux emplacements indiqués et récupérer des crocs de chauve-souris"
26,"TEXT_LUCKMI102_03772_TODO_02","Remettre <SheetFr(EventItem,2,2003002,2,1)/> à Ryne"
27,"TEXT_LUCKMI102_03772_TODO_03","Méditer à l'endroit indiqué, à Cristarium"
28,"TEXT_LUCKMI102_03772_TODO_04","Parler à l'exarque du Cristal"
29,"TEXT_LUCKMI102_03772_TODO_05",""
30,"TEXT_LUCKMI102_03772_TODO_06",""
31,"TEXT_LUCKMI102_03772_TODO_07",""
32,"TEXT_LUCKMI102_03772_TODO_08",""
33,"TEXT_LUCKMI102_03772_TODO_09",""
34,"TEXT_LUCKMI102_03772_TODO_10",""
