key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZD015_03422_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
ヴォレクドルフのケン＝ベークは、老いを感じているようだ。"
1,"TEXT_LUCKZD015_03422_SEQ_01",""
2,"TEXT_LUCKZD015_03422_SEQ_02",""
3,"TEXT_LUCKZD015_03422_SEQ_03",""
4,"TEXT_LUCKZD015_03422_SEQ_04",""
5,"TEXT_LUCKZD015_03422_SEQ_05",""
6,"TEXT_LUCKZD015_03422_SEQ_06",""
7,"TEXT_LUCKZD015_03422_SEQ_07",""
8,"TEXT_LUCKZD015_03422_SEQ_08",""
9,"TEXT_LUCKZD015_03422_SEQ_09",""
10,"TEXT_LUCKZD015_03422_SEQ_10",""
11,"TEXT_LUCKZD015_03422_SEQ_11",""
12,"TEXT_LUCKZD015_03422_SEQ_12",""
13,"TEXT_LUCKZD015_03422_SEQ_13",""
14,"TEXT_LUCKZD015_03422_SEQ_14",""
15,"TEXT_LUCKZD015_03422_SEQ_15",""
16,"TEXT_LUCKZD015_03422_SEQ_16",""
17,"TEXT_LUCKZD015_03422_SEQ_17",""
18,"TEXT_LUCKZD015_03422_SEQ_18",""
19,"TEXT_LUCKZD015_03422_SEQ_19",""
20,"TEXT_LUCKZD015_03422_SEQ_20",""
21,"TEXT_LUCKZD015_03422_SEQ_21",""
22,"TEXT_LUCKZD015_03422_SEQ_22",""
23,"TEXT_LUCKZD015_03422_SEQ_23",""
24,"TEXT_LUCKZD015_03422_TODO_00","<Sheet(BNpcName,8577,0)/>から<Sheet(EventItem,2002876,0)/>を入手"
25,"TEXT_LUCKZD015_03422_TODO_01","ケン＝ベークに<Sheet(EventItem,2002876,0)/>を渡す"
26,"TEXT_LUCKZD015_03422_TODO_02",""
27,"TEXT_LUCKZD015_03422_TODO_03",""
28,"TEXT_LUCKZD015_03422_TODO_04",""
29,"TEXT_LUCKZD015_03422_TODO_05",""
30,"TEXT_LUCKZD015_03422_TODO_06",""
31,"TEXT_LUCKZD015_03422_TODO_07",""
32,"TEXT_LUCKZD015_03422_TODO_08",""
33,"TEXT_LUCKZD015_03422_TODO_09",""
