0,TEXT_LUCKZF002_03461_SEQ_00,"**特殊ルール： レベルアジャスト**
ファノヴの里のキュイルは、急ぎの頼みがあるようだ。"
1,TEXT_LUCKZF002_03461_SEQ_01,
2,TEXT_LUCKZF002_03461_SEQ_02,
3,TEXT_LUCKZF002_03461_SEQ_03,
4,TEXT_LUCKZF002_03461_SEQ_04,
5,TEXT_LUCKZF002_03461_SEQ_05,
6,TEXT_LUCKZF002_03461_SEQ_06,
7,TEXT_LUCKZF002_03461_SEQ_07,
8,TEXT_LUCKZF002_03461_SEQ_08,
9,TEXT_LUCKZF002_03461_SEQ_09,
10,TEXT_LUCKZF002_03461_SEQ_10,
11,TEXT_LUCKZF002_03461_SEQ_11,
12,TEXT_LUCKZF002_03461_SEQ_12,
13,TEXT_LUCKZF002_03461_SEQ_13,
14,TEXT_LUCKZF002_03461_SEQ_14,
15,TEXT_LUCKZF002_03461_SEQ_15,
16,TEXT_LUCKZF002_03461_SEQ_16,
17,TEXT_LUCKZF002_03461_SEQ_17,
18,TEXT_LUCKZF002_03461_SEQ_18,
19,TEXT_LUCKZF002_03461_SEQ_19,
20,TEXT_LUCKZF002_03461_SEQ_20,
21,TEXT_LUCKZF002_03461_SEQ_21,
22,TEXT_LUCKZF002_03461_SEQ_22,
23,TEXT_LUCKZF002_03461_SEQ_23,
24,TEXT_LUCKZF002_03461_TODO_00,ブルーディアー・ドゥからを入手
25,TEXT_LUCKZF002_03461_TODO_01,にを使う
26,TEXT_LUCKZF002_03461_TODO_02,で待機し、スカード・カラカルを討伐
27,TEXT_LUCKZF002_03461_TODO_03,キュイルにとを渡す
28,TEXT_LUCKZF002_03461_TODO_04,
29,TEXT_LUCKZF002_03461_TODO_05,
30,TEXT_LUCKZF002_03461_TODO_06,
31,TEXT_LUCKZF002_03461_TODO_07,
32,TEXT_LUCKZF002_03461_TODO_08,
33,TEXT_LUCKZF002_03461_TODO_09,
34,TEXT_LUCKZF002_03461_TODO_10,
35,TEXT_LUCKZF002_03461_TODO_11,
36,TEXT_LUCKZF002_03461_TODO_12,
37,TEXT_LUCKZF002_03461_TODO_13,
38,TEXT_LUCKZF002_03461_TODO_14,
39,TEXT_LUCKZF002_03461_TODO_15,
40,TEXT_LUCKZF002_03461_TODO_16,
41,TEXT_LUCKZF002_03461_TODO_17,
42,TEXT_LUCKZF002_03461_TODO_18,
43,TEXT_LUCKZF002_03461_TODO_19,
44,TEXT_LUCKZF002_03461_TODO_20,
45,TEXT_LUCKZF002_03461_TODO_21,
46,TEXT_LUCKZF002_03461_TODO_22,
47,TEXT_LUCKZF002_03461_TODO_23,
