key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZD002_03409_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
プラ・エンニ茸窟のギュフ＝ダエンは、厄介な隣人に困っているようだ。"
1,"TEXT_LUCKZD002_03409_SEQ_01",""
2,"TEXT_LUCKZD002_03409_SEQ_02",""
3,"TEXT_LUCKZD002_03409_SEQ_03",""
4,"TEXT_LUCKZD002_03409_SEQ_04",""
5,"TEXT_LUCKZD002_03409_SEQ_05",""
6,"TEXT_LUCKZD002_03409_SEQ_06",""
7,"TEXT_LUCKZD002_03409_SEQ_07",""
8,"TEXT_LUCKZD002_03409_SEQ_08",""
9,"TEXT_LUCKZD002_03409_SEQ_09",""
10,"TEXT_LUCKZD002_03409_SEQ_10",""
11,"TEXT_LUCKZD002_03409_SEQ_11",""
12,"TEXT_LUCKZD002_03409_SEQ_12",""
13,"TEXT_LUCKZD002_03409_SEQ_13",""
14,"TEXT_LUCKZD002_03409_SEQ_14",""
15,"TEXT_LUCKZD002_03409_SEQ_15",""
16,"TEXT_LUCKZD002_03409_SEQ_16",""
17,"TEXT_LUCKZD002_03409_SEQ_17",""
18,"TEXT_LUCKZD002_03409_SEQ_18",""
19,"TEXT_LUCKZD002_03409_SEQ_19",""
20,"TEXT_LUCKZD002_03409_SEQ_20",""
21,"TEXT_LUCKZD002_03409_SEQ_21",""
22,"TEXT_LUCKZD002_03409_SEQ_22",""
23,"TEXT_LUCKZD002_03409_SEQ_23",""
24,"TEXT_LUCKZD002_03409_TODO_00","リダ・ラーンのユル＝フェオに<Sheet(EventItem,2002640,0)/>を渡す"
25,"TEXT_LUCKZD002_03409_TODO_01","<Sheet(EventItem,2002641,0)/>を集める"
26,"TEXT_LUCKZD002_03409_TODO_02","プラ・エンニ茸窟のギュフ＝ダエンに<Sheet(EventItem,2002641,0)/>を渡す"
27,"TEXT_LUCKZD002_03409_TODO_03",""
28,"TEXT_LUCKZD002_03409_TODO_04",""
29,"TEXT_LUCKZD002_03409_TODO_05",""
30,"TEXT_LUCKZD002_03409_TODO_06",""
31,"TEXT_LUCKZD002_03409_TODO_07",""
32,"TEXT_LUCKZD002_03409_TODO_08",""
