key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZD010_03417_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
プラ・エンニ茸窟の張り切ったン・モゥは、冒険者と取引がしたいようだ。"
1,"TEXT_LUCKZD010_03417_SEQ_01",""
2,"TEXT_LUCKZD010_03417_SEQ_02",""
3,"TEXT_LUCKZD010_03417_SEQ_03",""
4,"TEXT_LUCKZD010_03417_SEQ_04",""
5,"TEXT_LUCKZD010_03417_SEQ_05",""
6,"TEXT_LUCKZD010_03417_SEQ_06",""
7,"TEXT_LUCKZD010_03417_SEQ_07",""
8,"TEXT_LUCKZD010_03417_SEQ_08",""
9,"TEXT_LUCKZD010_03417_SEQ_09",""
10,"TEXT_LUCKZD010_03417_SEQ_10",""
11,"TEXT_LUCKZD010_03417_SEQ_11",""
12,"TEXT_LUCKZD010_03417_SEQ_12",""
13,"TEXT_LUCKZD010_03417_SEQ_13",""
14,"TEXT_LUCKZD010_03417_SEQ_14",""
15,"TEXT_LUCKZD010_03417_SEQ_15",""
16,"TEXT_LUCKZD010_03417_SEQ_16",""
17,"TEXT_LUCKZD010_03417_SEQ_17",""
18,"TEXT_LUCKZD010_03417_SEQ_18",""
19,"TEXT_LUCKZD010_03417_SEQ_19",""
20,"TEXT_LUCKZD010_03417_SEQ_20",""
21,"TEXT_LUCKZD010_03417_SEQ_21",""
22,"TEXT_LUCKZD010_03417_SEQ_22",""
23,"TEXT_LUCKZD010_03417_SEQ_23",""
24,"TEXT_LUCKZD010_03417_TODO_00","ン・モゥたちに聞き込みを行う"
25,"TEXT_LUCKZD010_03417_TODO_01","張り切ったン・モゥと話す"
26,"TEXT_LUCKZD010_03417_TODO_02","弱らせた<Sheet(BNpcName,8569,0)/>に<Sheet(EventItem,2002661,0)/>を使い捕獲"
27,"TEXT_LUCKZD010_03417_TODO_03","張り切ったン・モゥに<Sheet(EventItem,2002662,0)/>を渡す"
28,"TEXT_LUCKZD010_03417_TODO_04",""
29,"TEXT_LUCKZD010_03417_TODO_05",""
30,"TEXT_LUCKZD010_03417_TODO_06",""
31,"TEXT_LUCKZD010_03417_TODO_07",""
