key,0,1
#,,
int32,str,str
0,"TEXT_AKTKME118_04436_SEQ_00","Hythlodaeus denkt angestrengt nach."
1,"TEXT_AKTKME118_04436_SEQ_01",""
2,"TEXT_AKTKME118_04436_SEQ_02",""
3,"TEXT_AKTKME118_04436_SEQ_03",""
4,"TEXT_AKTKME118_04436_SEQ_04",""
5,"TEXT_AKTKME118_04436_SEQ_05",""
6,"TEXT_AKTKME118_04436_SEQ_06",""
7,"TEXT_AKTKME118_04436_SEQ_07",""
8,"TEXT_AKTKME118_04436_SEQ_08",""
9,"TEXT_AKTKME118_04436_SEQ_09",""
10,"TEXT_AKTKME118_04436_SEQ_10",""
11,"TEXT_AKTKME118_04436_SEQ_11",""
12,"TEXT_AKTKME118_04436_SEQ_12",""
13,"TEXT_AKTKME118_04436_SEQ_13",""
14,"TEXT_AKTKME118_04436_SEQ_14",""
15,"TEXT_AKTKME118_04436_SEQ_15",""
16,"TEXT_AKTKME118_04436_SEQ_16",""
17,"TEXT_AKTKME118_04436_SEQ_17",""
18,"TEXT_AKTKME118_04436_SEQ_18",""
19,"TEXT_AKTKME118_04436_SEQ_19",""
20,"TEXT_AKTKME118_04436_SEQ_20",""
21,"TEXT_AKTKME118_04436_SEQ_21",""
22,"TEXT_AKTKME118_04436_SEQ_22",""
23,"TEXT_AKTKME118_04436_SEQ_23",""
24,"TEXT_AKTKME118_04436_TODO_00","In Begleitung von Emet-Selch am <SheetDe(EObj,5,2012167,1,3,1)/> nach Meteion suchen"
25,"TEXT_AKTKME118_04436_TODO_01","In Begleitung von Emet-Selch am nächsten <SheetDe(EObj,5,2012167,1,3,1)/> nach Meteion suchen"
26,"TEXT_AKTKME118_04436_TODO_02","In Begleitung von Emet-Selch am <SheetDe(EObj,5,2012167,1,3,1)/> umsehen"
27,"TEXT_AKTKME118_04436_TODO_03","In Begleitung von Emet-Selch am nächsten <SheetDe(EObj,5,2012167,1,3,1)/> umsehen"
28,"TEXT_AKTKME118_04436_TODO_04","Mit Emet-Selch sprechen"
29,"TEXT_AKTKME118_04436_TODO_05",""
30,"TEXT_AKTKME118_04436_TODO_06",""
31,"TEXT_AKTKME118_04436_TODO_07",""
32,"TEXT_AKTKME118_04436_TODO_08",""
33,"TEXT_AKTKME118_04436_TODO_09",""
