key,0,1
#,,
int32,str,str
0,"TEXT_AKTKME113_04431_SEQ_00","ポイエテーン・オイコスのヴェーネスは、わかったことを反芻しているようだ。"
1,"TEXT_AKTKME113_04431_SEQ_01",""
2,"TEXT_AKTKME113_04431_SEQ_02",""
3,"TEXT_AKTKME113_04431_SEQ_03",""
4,"TEXT_AKTKME113_04431_SEQ_04",""
5,"TEXT_AKTKME113_04431_SEQ_05",""
6,"TEXT_AKTKME113_04431_SEQ_06",""
7,"TEXT_AKTKME113_04431_SEQ_07",""
8,"TEXT_AKTKME113_04431_SEQ_08",""
9,"TEXT_AKTKME113_04431_SEQ_09",""
10,"TEXT_AKTKME113_04431_SEQ_10",""
11,"TEXT_AKTKME113_04431_SEQ_11",""
12,"TEXT_AKTKME113_04431_SEQ_12",""
13,"TEXT_AKTKME113_04431_SEQ_13",""
14,"TEXT_AKTKME113_04431_SEQ_14",""
15,"TEXT_AKTKME113_04431_SEQ_15",""
16,"TEXT_AKTKME113_04431_SEQ_16",""
17,"TEXT_AKTKME113_04431_SEQ_17",""
18,"TEXT_AKTKME113_04431_SEQ_18",""
19,"TEXT_AKTKME113_04431_SEQ_19",""
20,"TEXT_AKTKME113_04431_SEQ_20",""
21,"TEXT_AKTKME113_04431_SEQ_21",""
22,"TEXT_AKTKME113_04431_SEQ_22",""
23,"TEXT_AKTKME113_04431_SEQ_23",""
24,"TEXT_AKTKME113_04431_TODO_00","ヴェーネスと話す"
25,"TEXT_AKTKME113_04431_TODO_01","晶蔵院の職員と話す"
26,"TEXT_AKTKME113_04431_TODO_02","晶蔵院の職員と再度話す"
27,"TEXT_AKTKME113_04431_TODO_03","気さくそうな職員と話す"
28,"TEXT_AKTKME113_04431_TODO_04","休憩中の観察者と話す"
29,"TEXT_AKTKME113_04431_TODO_05","ヴェーネスと話す"
30,"TEXT_AKTKME113_04431_TODO_06",""
31,"TEXT_AKTKME113_04431_TODO_07",""
32,"TEXT_AKTKME113_04431_TODO_08",""
33,"TEXT_AKTKME113_04431_TODO_09",""
34,"TEXT_AKTKME113_04431_TODO_10",""
35,"TEXT_AKTKME113_04431_TODO_11",""
36,"TEXT_AKTKME113_04431_TODO_12",""
37,"TEXT_AKTKME113_04431_TODO_13",""
38,"TEXT_AKTKME113_04431_TODO_14",""
