0,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_100_000,Shales Fleiß hat sich bezahlt gemacht. Die bisher gesperrten Forschungsziele können nun eingesehen werden.
1,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_000,Das ist wohl eine Art Einführung für neue Mitglieder. Da sind einige Punkte aufgelistet ...
2,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_Q1_000_000,Was möchtest du lesen?
3,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_A1_000_001,Dienstvorschriften
4,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_A1_000_002,Forschungsziele
5,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_A1_000_003,Liste der Ver­ant­wort­li­chen
6,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_A1_000_004,Nichts
7,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_010,(-Dienstvorschriften-)Einrichtung „Lagerhülle 10-29“ ist aus Gründen der Sicherheit und Geheimhaltung offiziell als Logistikkomplex registriert. Diese Information darf unter keinen Umständen an die Außenwelt gelangen. Missachtungen werden als Verrat geahndet.
8,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_011,(-Dienstvorschriften-)Forschende haben ihre Arbeit an dem ihnen zugeteilten Platz durchzuführen. Unbefugtes Betreten anderer Forschungsmodule wird als Verrat geahndet.
9,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_012,"(-Dienstvorschriften-)Sicherheitspässe sind stets mitzuführen. Nur Türen zu Räumen, zu denen eine Zugangsberechtigung erteilt wurde, können geöffnet werden."
10,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_013,(-Dienstvorschriften-)Ständiges Regulatortragen ist Pflicht. Das Besitz- und Änderungsrecht von Erinnerungen aller Mitglieder fällt aus Gründen der Sicherheit und Geheimhaltung der Organisation zu. 
11,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_020,Zugriff verweigert. Mitarbeiterkonto benötigt.
12,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_025,"(-Forschungsziele-)<Freigegeben für alle Mitarbeiter>
Das oberste Forschungsziel von Lagerhülle 10-29 ist die dauerhafte Erhaltung der Endlosen."
13,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_026,"(-Forschungsziele-)Die fortlaufenden Verbesserungen der Seelenzellen und Regulatoren sollen die Verwaltung und Überwachung der Lebenden Erinnerung durch die Endlose Sphene erleichtern. Mit diesem fortschreitenden Prozess bemühen wir uns, die mit der Schöpfung von Endlosen verbundenen Probleme zu ermitteln und zu lösen."
14,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_027,"(-Forschungsziele-)An erster Stelle unter den bisher identifizierten Maßnahmen steht die Schaffung eines Mechanismus zur Kontrolle über den Schlüssel. Wenn es uns nicht gelingt, die Splitter­welten als un­er­schöpf­li­che Quelle lebenswichtigen Äthers zu erschließen, wird unser oberstes Ziel für immer unerreichbar bleiben."
15,TEXT_REGSAKPRESERVATIONLABOCOMMON_00949_SYSTEM_000_030,"(-Liste der Ver­ant­wort­li­chen-)Forschungsleiter: Demetrius
Laborleiter Versuchslabor I: Eosphor
Laborleiter Versuchslabor II: Gelöscht
"
